#q_sq i k_sq Re(fg) Im(fg)
5.94557e-06 1 1.3895e-05 -4.55606e+07 0
5.94557e-06 1 2.15443e-05 -2.93822e+07 0
5.94557e-06 1 3.34048e-05 -1.89479e+07 0
5.94557e-06 1 5.17947e-05 -1.22184e+07 0
5.94557e-06 1 8.03086e-05 -7.87816e+06 0
5.94557e-06 1 0.00012452 -5.07897e+06 0
5.94557e-06 1 0.00019307 -3.27364e+06 0
5.94557e-06 1 0.000299358 -2.1093e+06 0
5.94557e-06 1 0.000464159 -1.35837e+06 0
5.94557e-06 1 0.000719686 -874060 0
5.94557e-06 1 0.00111588 -561713 0
5.94557e-06 1 0.0017302 -360277 0
5.94557e-06 1 0.0026827 -230377 0
5.94557e-06 1 0.00415956 -146622 0
5.94557e-06 1 0.00644947 -92640.6 0
5.94557e-06 1 0.01 -57880.4 0
5.94557e-06 1 0.0155052 -35544.1 0
5.94557e-06 1 0.024041 -21259.2 0
5.94557e-06 1 0.0372759 -12219.8 0
5.94557e-06 1 0.0577969 -6631.53 0
5.94557e-06 1 0.0896151 -3340.9 0
5.94557e-06 1 0.13895 -1588.48 0
5.94557e-06 1 0.215443 -832.531 0
5.94557e-06 1 0.334048 -622.187 0
5.94557e-06 1 0.517947 -576.939 0
5.94557e-06 1 0.803086 -466.387 0
5.94557e-06 1 1.2452 -271.461 0
5.94557e-06 1 1.9307 -109.613 0
5.94557e-06 1 2.99358 -34.969 0
5.94557e-06 1 4.64159 -6.8754 0
5.94557e-06 1 7.19686 -1.17295 0
5.94557e-06 1 11.1588 -0.418027 0
5.94557e-06 1 17.302 -0.058732 0
5.94557e-06 1 26.827 -0.00589694 0
5.94557e-06 1 41.5956 -0.00137295 0
5.94557e-06 1 64.4947 -0.00041244 0
5.94557e-06 1 100 -0.000131457 0
5.94557e-06 1 155.052 -5.48163e-05 0
5.94557e-06 1 240.41 -1.88222e-05 0
5.94557e-06 1 372.759 -5.38538e-06 0
5.94557e-06 1 577.969 -2.06927e-06 0
5.94557e-06 1 896.151 -8.94573e-07 0
5.94557e-06 1 1389.5 -2.74556e-07 0
5.94557e-06 1 2154.43 -9.2596e-08 0
5.94557e-06 1 3340.48 -3.58148e-08 0
5.94557e-06 1 5179.47 -1.39387e-08 0
5.94557e-06 1 8030.86 -5.37938e-09 0
5.94557e-06 1 12452 -1.81275e-09 0
5.94557e-06 1 19307 -6.43503e-10 0
5.94557e-06 1 29935.8 -2.45997e-10 0
5.94557e-06 1 46415.9 -9.31922e-11 0
5.94557e-06 1 71968.6 -3.56555e-11 0
5.94557e-06 1 111588 -1.4202e-11 0
5.94557e-06 1 173020 -4.60384e-12 0
5.94557e-06 1 268270 -1.61089e-12 0
5.94557e-06 1 415956 -4.14956e-13 0
5.94557e-06 1 644947 3.50563e-14 0
5.94557e-06 1 1e+06 1.86599e-13 0

1.44974e-05 1 1e-06 -2.59653e+08 0
1.44974e-05 1 1.55052e-06 -1.67462e+08 0
1.44974e-05 1 2.4041e-06 -1.08003e+08 0
1.44974e-05 1 3.72759e-06 -6.96554e+07 0
1.44974e-05 1 5.77969e-06 -4.49232e+07 0
1.44974e-05 1 8.96151e-06 -2.89722e+07 0
