#q_sq i k_sq Re(fg) Im(fg)
1e-06 3 1e-06 -0.83581 0
1e-06 3 1.55052e-06 -0.835809 0
1e-06 3 2.4041e-06 -0.835808 0
1e-06 3 3.72759e-06 -0.835806 0
1e-06 3 5.77969e-06 -0.835804 0
1e-06 3 8.96151e-06 -0.8358 0
1e-06 3 1.3895e-05 -0.835793 0
1e-06 3 2.15443e-05 -0.835784 0
1e-06 3 3.34048e-05 -0.835769 0
1e-06 3 5.17947e-05 -0.835745 0
1e-06 3 8.03086e-05 -0.835709 0
1e-06 3 0.00012452 -0.835652 0
1e-06 3 0.00019307 -0.835565 0
1e-06 3 0.000299358 -0.835429 0
1e-06 3 0.000464159 -0.835219 0
1e-06 3 0.000719686 -0.834893 0
1e-06 3 0.00111588 -0.834388 0
1e-06 3 0.0017302 -0.833606 0
1e-06 3 0.0026827 -0.832394 0
1e-06 3 0.00415956 -0.830519 0
1e-06 3 0.00644947 -0.82762 0
1e-06 3 0.01 -0.823143 0
1e-06 3 0.0155052 -0.81625 0
1e-06 3 0.024041 -0.805673 0
1e-06 3 0.0372759 -0.789539 0
1e-06 3 0.0577969 -0.765163 0
1e-06 3 0.0896151 -0.728863 0
1e-06 3 0.13895 -0.67605 0
1e-06 3 0.215443 -0.602035 0
1e-06 3 0.334048 -0.504156 0
1e-06 3 0.517947 -0.385991 0
1e-06 3 0.803086 -0.262159 0
1e-06 3 1.2452 -0.156539 0
1e-06 3 1.9307 -0.0862157 0
1e-06 3 2.99358 -0.0480524 0
1e-06 3 4.64159 -0.0254819 0
1e-06 3 7.19686 -0.0109769 0
1e-06 3 11.1588 -0.00657463 0
1e-06 3 17.302 -0.00308311 0
1e-06 3 26.827 -0.00154538 0
1e-06 3 41.5956 -0.000961749 0
1e-06 3 64.4947 -0.000599087 0
1e-06 3 100 -0.000366309 0
1e-06 3 155.052 -0.000229708 0
1e-06 3 240.41 -0.000143418 0
1e-06 3 372.759 -8.71263e-05 0
1e-06 3 577.969 -5.37433e-05 0
1e-06 3 896.151 -3.38975e-05 0
1e-06 3 1389.5 -2.09338e-05 0
1e-06 3 2154.43 -1.28185e-05 0
1e-06 3 3340.48 -7.90653e-06 0
1e-06 3 5179.47 -4.92336e-06 0
1e-06 3 8030.86 -3.08531e-06 0
1e-06 3 12452 -1.91884e-06 0
1e-06 3 19307 -1.18845e-06 0
1e-06 3 29935.8 -7.36994e-07 0
1e-06 3 46415.9 -4.57345e-07 0
1e-06 3 71968.6 -2.83863e-07 0
1e-06 3 111588 -1.75501e-07 0
1e-06 3 173020 -1.06422e-07 0
1e-06 3 268270 -6.34416e-08 0
1e-06 3 415956 -3.64458e-08 0
1e-06 3 644947 -1.94933e-08 0
1e-06 3 1e+06 -9.16147e-09 0

2.43835e-06 3 1e-06 -0.83581 0
2.43835e-06 3 1.55052e-06 -0.835809 0
2.43835e-06 3 2.4041e-06 -0.835808 0
2.43835e-06 3 3.72759e-06 -0.835806 0
2.43835e-06 3 5.77969e-06 -0.835804 0
2.43835e-06 3 8.96151e-06 -0.835799 0
2.43835e-06 3 1.3895e-05 -0.835793 0
2.43835e-06 3 2.15443e-05 -0.835783 0
2.43835e-06 3 3.34048e-05 -0.835768 0
2.43835e-06 3 5.17947e-05 -0.835745 0
2.43835e-06 3 8.03086e-05 -0.835708 0
2.43835e-06 3 0.00012452 -0.835652 0
2.43835e-06 3 0.00019307 -0.835565 0
2.43835e-06 3 0.000299358 -0.835429 0
2.43835e-06 3 0.000464159 -0.835219 0
2.43835e-06 3 0.000719686 -0.834893 0
2.43835e-06 3 0.00111588 -0.834388 0
2.43835e-06 3 0.0017302 -0.833606 0
2.43835e-06 3 0.0026827 -0.832394 0
2.43835e-06 3 0.00415956 -0.830519 0
2.43835e-06 3 0.00644947 -0.827619 0
2.43835e-06 3 0.01 -0.823143 0
2.43835e-06 3 0.0155052 -0.81625 0
2.43835e-06 3 0.024041 -0.805673 0
2.43835e-06 3 0.0372759 -0.789539 0
2.43835e-06 3 0.0577969 -0.765163 0
2.43835e-06 3 0.0896151 -0.728862 0
2.43835e-06 3 0.13895 -0.676049 0
2.43835e-06 3 0.215443 -0.602035 0
2.43835e-06 3 0.334048 -0.504156 0
2.43835e-06 3 0.517947 -0.385991 0
2.43835e-06 3 0.803086 -0.262159 0
2.43835e-06 3 1.2452 -0.156539 0
2.43835e-06 3 1.9307 -0.0862157 0
2.43835e-06 3 2.99358 -0.0480524 0
2.43835e-06 3 4.64159 -0.0254819 0
2.43835e-06 3 7.19686 -0.0109769 0
2.43835e-06 3 11.1588 -0.00657463 0
2.43835e-06 3 17.302 -0.00308311 0
2.43835e-06 3 26.827 -0.00154538 0
2.43835e-06 3 41.5956 -0.000961749 0
2.43835e-06 3 64.4947 -0.000599087 0
2.43835e-06 3 100 -0.000366309 0
2.43835e-06 3 155.052 -0.000229708 0
2.43835e-06 3 240.41 -0.000143418 0
2.43835e-06 3 372.759 -8.71263e-05 0
2.43835e-06 3 577.969 -5.37433e-05 0
2.43835e-06 3 896.151 -3.38975e-05 0
2.43835e-06 3 1389.5 -2.09338e-05 0
2.43835e-06 3 2154.43 -1.28185e-05 0
2.43835e-06 3 3340.48 -7.90653e-06 0
2.43835e-06 3 5179.47 -4.92336e-06 0
2.43835e-06 3 8030.86 -3.08531e-06 0
2.43835e-06 3 12452 -1.91884e-06 0
2.43835e-06 3 19307 -1.18845e-06 0
2.43835e-06 3 29935.8 -7.36994e-07 0
2.43835e-06 3 46415.9 -4.57345e-07 0
2.43835e-06 3 71968.6 -2.83863e-07 0
