#q_sq i k_sq Re(fg) Im(fg)
1e-06 9 1e-06 -0.598183 0
1e-06 9 1.55052e-06 -0.598181 0
1e-06 9 2.4041e-06 -0.598177 0
1e-06 9 3.72759e-06 -0.59817 0
1e-06 9 5.77969e-06 -0.598161 0
1e-06 9 8.96151e-06 -0.598146 0
1e-06 9 1.3895e-05 -0.598122 0
1e-06 9 2.15443e-05 -0.598086 0
1e-06 9 3.34048e-05 -0.59803 0
1e-06 9 5.17947e-05 -0.597943 0
1e-06 9 8.03086e-05 -0.597808 0
1e-06 9 0.00012452 -0.597598 0
1e-06 9 0.00019307 -0.597274 0
1e-06 9 0.000299358 -0.596771 0
1e-06 9 0.000464159 -0.595991 0
1e-06 9 0.000719686 -0.594782 0
1e-06 9 0.00111588 -0.592912 0
1e-06 9 0.0017302 -0.590018 0
1e-06 9 0.0026827 -0.585542 0
1e-06 9 0.00415956 -0.578637 0
1e-06 9 0.00644947 -0.568016 0
1e-06 9 0.01 -0.551739 0
1e-06 9 0.0155052 -0.526958 0
1e-06 9 0.024041 -0.489647 0
1e-06 9 0.0372759 -0.434356 0
1e-06 9 0.0577969 -0.354487 0
1e-06 9 0.0896151 -0.243858 0
1e-06 9 0.13895 -0.100615 0
1e-06 9 0.215443 0.0646992 0
1e-06 9 0.334048 0.219323 0
1e-06 9 0.517947 0.310093 0
1e-06 9 0.803086 0.301508 0
1e-06 9 1.2452 0.229448 0
1e-06 9 1.9307 0.149141 0
1e-06 9 2.99358 0.0796075 0
1e-06 9 4.64159 0.03471 0
1e-06 9 7.19686 0.0112594 0
1e-06 9 11.1588 0.00451605 0
1e-06 9 17.302 0.00126318 0
1e-06 9 26.827 0.000276008 0
1e-06 9 41.5956 0.00012171 0
1e-06 9 64.4947 5.71272e-05 0
1e-06 9 100 2.55294e-05 0
1e-06 9 155.052 1.36415e-05 0
1e-06 9 240.41 6.23736e-06 0
1e-06 9 372.759 1.85977e-06 0
1e-06 9 577.969 8.10127e-07 0
1e-06 9 896.151 4.6073e-07 0
1e-06 9 1389.5 1.20119e-09 0
1e-06 9 2154.43 -1.94193e-07 0
1e-06 9 3340.48 -1.76251e-07 0
1e-06 9 5179.47 -1.06428e-07 0
1e-06 9 8030.86 -6.56873e-08 0
1e-06 9 12452 -5.24816e-08 0
1e-06 9 19307 -4.24025e-08 0
1e-06 9 29935.8 -3.13513e-08 0
1e-06 9 46415.9 -2.191e-08 0
1e-06 9 71968.6 -1.51211e-08 0
1e-06 9 111588 -1.13513e-08 0
1e-06 9 173020 -8.97819e-09 0
1e-06 9 268270 -7.11055e-09 0
1e-06 9 415956 -5.76294e-09 0
1e-06 9 644947 -4.68856e-09 0
1e-06 9 1e+06 -3.4409e-09 0

2.43835e-06 9 1e-06 -0.598181 0
2.43835e-06 9 1.55052e-06 -0.598179 0
2.43835e-06 9 2.4041e-06 -0.598175 0
2.43835e-06 9 3.72759e-06 -0.598168 0
2.43835e-06 9 5.77969e-06 -0.598159 0
2.43835e-06 9 8.96151e-06 -0.598144 0
2.43835e-06 9 1.3895e-05 -0.59812 0
2.43835e-06 9 2.15443e-05 -0.598084 0
2.43835e-06 9 3.34048e-05 -0.598028 0
2.43835e-06 9 5.17947e-05 -0.597941 0
2.43835e-06 9 8.03086e-05 -0.597806 0
2.43835e-06 9 0.00012452 -0.597597 0
2.43835e-06 9 0.00019307 -0.597272 0
2.43835e-06 9 0.000299358 -0.596769 0
2.43835e-06 9 0.000464159 -0.595989 0
2.43835e-06 9 0.000719686 -0.59478 0
2.43835e-06 9 0.00111588 -0.59291 0
2.43835e-06 9 0.0017302 -0.590016 0
2.43835e-06 9 0.0026827 -0.58554 0
2.43835e-06 9 0.00415956 -0.578635 0
2.43835e-06 9 0.00644947 -0.568014 0
2.43835e-06 9 0.01 -0.551737 0
2.43835e-06 9 0.0155052 -0.526956 0
2.43835e-06 9 0.024041 -0.489645 0
2.43835e-06 9 0.0372759 -0.434355 0
2.43835e-06 9 0.0577969 -0.354485 0
2.43835e-06 9 0.0896151 -0.243857 0
2.43835e-06 9 0.13895 -0.100615 0
2.43835e-06 9 0.215443 0.0646997 0
2.43835e-06 9 0.334048 0.219323 0
2.43835e-06 9 0.517947 0.310093 0
2.43835e-06 9 0.803086 0.301508 0
2.43835e-06 9 1.2452 0.229448 0
2.43835e-06 9 1.9307 0.149141 0
2.43835e-06 9 2.99358 0.0796075 0
2.43835e-06 9 4.64159 0.03471 0
2.43835e-06 9 7.19686 0.0112594 0
2.43835e-06 9 11.1588 0.00451605 0
2.43835e-06 9 17.302 0.00126318 0
2.43835e-06 9 26.827 0.000276008 0
2.43835e-06 9 41.5956 0.00012171 0
2.43835e-06 9 64.4947 5.71272e-05 0
2.43835e-06 9 100 2.55294e-05 0
2.43835e-06 9 155.052 1.36415e-05 0
2.43835e-06 9 240.41 6.23736e-06 0
2.43835e-06 9 372.759 1.85977e-06 0
2.43835e-06 9 577.969 8.10127e-07 0
2.43835e-06 9 896.151 4.6073e-07 0
2.43835e-06 9 1389.5 1.20119e-09 0
2.43835e-06 9 2154.43 -1.94193e-07 0
2.43835e-06 9 3340.48 -1.76251e-07 0
2.43835e-06 9 5179.47 -1.06428e-07 0
2.43835e-06 9 8030.86 -6.56873e-08 0
2.43835e-06 9 12452 -5.24816e-08 0
2.43835e-06 9 19307 -4.24025e-08 0
2.43835e-06 9 29935.8 -3.13513e-08 0
2.43835e-06 9 46415.9 -2.191e-08 0
2.43835e-06 9 71968.6 -1.51211e-08 0
2.43835e-06 9 111588 -1.13513e-08 0
2.43835e-06 9 173020 -8.97819e-09 0
2.43835e-06 9 268270 -7.11055e-09 0
2.43835e-06 9 415956 -5.76294e-09 0
2.43835e-06 9 644947 -4.68856e-09 0
2.43835e-06 9 1e+06 -3.4409e-09 0

5.94557e-06 9 1e-06 -0.598177 0
5.94557e-06 9 1.55052e-06 -0.598174 0
5.94557e-06 9 2.4041e-06 -0.59817 0
5.94557e-06 9 3.72759e-06 -0.598164 0
5.94557e-06 9 5.77969e-06 -0.598154 0
5.94557e-06 9 8.96151e-06 -0.598139 0
5.94557e-06 9 1.3895e-05 -0.598116 0
5.94557e-06 9 2.15443e-05 -0.59808 0
5.94557e-06 9 3.34048e-05 -0.598024 0
5.94557e-06 9 5.17947e-05 -0.597937 0
5.94557e-06 9 8.03086e-05 -0.597802 0
5.94557e-06 9 0.00012452 -0.597592 0
5.94557e-06 9 0.00019307 -0.597268 0
5.94557e-06 9 0.000299358 -0.596765 0
5.94557e-06 9 0.000464159 -0.595985 0
5.94557e-06 9 0.000719686 -0.594776 0
5.94557e-06 9 0.00111588 -0.592906 0
5.94557e-06 9 0.0017302 -0.590012 0
5.94557e-06 9 0.0026827 -0.585536 0
5.94557e-06 9 0.00415956 -0.578631 0
5.94557e-06 9 0.00644947 -0.56801 0
5.94557e-06 9 0.01 -0.551733 0
5.94557e-06 9 0.0155052 -0.526952 0
5.94557e-06 9 0.024041 -0.489642 0
5.94557e-06 9 0.0372759 -0.434351 0
5.94557e-06 9 0.0577969 -0.354482 0
5.94557e-06 9 0.0896151 -0.243855 0
5.94557e-06 9 0.13895 -0.100613 0
5.94557e-06 9 0.215443 0.0647009 0
5.94557e-06 9 0.334048 0.219324 0
5.94557e-06 9 0.517947 0.310093 0
5.94557e-06 9 0.803086 0.301508 0
5.94557e-06 9 1.2452 0.229447 0
5.94557e-06 9 1.9307 0.149141 0
5.94557e-06 9 2.99358 0.0796074 0
5.94557e-06 9 4.64159 0.03471 0
5.94557e-06 9 7.19686 0.0112594 0
5.94557e-06 9 11.1588 0.00451605 0
5.94557e-06 9 17.302 0.00126318 0
5.94557e-06 9 26.827 0.000276008 0
5.94557e-06 9 41.5956 0.00012171 0
5.94557e-06 9 64.4947 5.71272e-05 0
5.94557e-06 9 100 2.55294e-05 0
5.94557e-06 9 155.052 1.36415e-05 0
5.94557e-06 9 240.41 6.23736e-06 0
5.94557e-06 9 372.759 1.85977e-06 0
5.94557e-06 9 577.969 8.10127e-07 0
5.94557e-06 9 896.151 4.6073e-07 0
5.94557e-06 9 1389.5 1.20118e-09 0
5.94557e-06 9 2154.43 -1.94193e-07 0
5.94557e-06 9 3340.48 -1.76251e-07 0
5.94557e-06 9 5179.47 -1.06428e-07 0
5.94557e-06 9 8030.86 -6.56873e-08 0
5.94557e-06 9 12452 -5.24816e-08 0
5.94557e-06 9 19307 -4.24025e-08 0
5.94557e-06 9 29935.8 -3.13513e-08 0
5.94557e-06 9 46415.9 -2.191e-08 0
5.94557e-06 9 71968.6 -1.51211e-08 0
5.94557e-06 9 111588 -1.13513e-08 0
5.94557e-06 9 173020 -8.97819e-09 0
5.94557e-06 9 268270 -7.11055e-09 0
5.94557e-06 9 415956 -5.76294e-09 0
