#q_sq i k_sq Re(fg) Im(fg)
1e-06 10 1e-06 0.567265 0
1e-06 10 1.55052e-06 0.567265 0
1e-06 10 2.4041e-06 0.567265 0
1e-06 10 3.72759e-06 0.567265 0
1e-06 10 5.77969e-06 0.567265 0
1e-06 10 8.96151e-06 0.567265 0
1e-06 10 1.3895e-05 0.567264 0
1e-06 10 2.15443e-05 0.567264 0
1e-06 10 3.34048e-05 0.567263 0
1e-06 10 5.17947e-05 0.567261 0
1e-06 10 8.03086e-05 0.567259 0
1e-06 10 0.00012452 0.567256 0
1e-06 10 0.00019307 0.56725 0
1e-06 10 0.000299358 0.567242 0
1e-06 10 0.000464159 0.567229 0
1e-06 10 0.000719686 0.567209 0
1e-06 10 0.00111588 0.567176 0
1e-06 10 0.0017302 0.567125 0
1e-06 10 0.0026827 0.567042 0
1e-06 10 0.00415956 0.566905 0
1e-06 10 0.00644947 0.566674 0
1e-06 10 0.01 0.566269 0
1e-06 10 0.0155052 0.565533 0
1e-06 10 0.024041 0.564144 0
1e-06 10 0.0372759 0.561429 0
1e-06 10 0.0577969 0.555994 0
1e-06 10 0.0896151 0.545047 0
1e-06 10 0.13895 0.523378 0
1e-06 10 0.215443 0.482521 0
1e-06 10 0.334048 0.412159 0
1e-06 10 0.517947 0.307798 0
1e-06 10 0.803086 0.185146 0
1e-06 10 1.2452 0.0824494 0
1e-06 10 1.9307 0.0264065 0
1e-06 10 2.99358 0.0067657 0
1e-06 10 4.64159 0.00183332 0
1e-06 10 7.19686 0.000529085 0
1e-06 10 11.1588 0.000222867 0
1e-06 10 17.302 8.53301e-05 0
1e-06 10 26.827 3.69879e-05 0
1e-06 10 41.5956 1.90033e-05 0
1e-06 10 64.4947 1.01737e-05 0
1e-06 10 100 5.54298e-06 0
1e-06 10 155.052 3.14928e-06 0
1e-06 10 240.41 1.81895e-06 0
1e-06 10 372.759 1.04425e-06 0
1e-06 10 577.969 6.13173e-07 0
1e-06 10 896.151 3.6958e-07 0
1e-06 10 1389.5 2.20478e-07 0
1e-06 10 2154.43 1.31081e-07 0
1e-06 10 3340.48 7.86789e-08 0
1e-06 10 5179.47 4.77587e-08 0
1e-06 10 8030.86 2.92037e-08 0
1e-06 10 12452 1.77767e-08 0
1e-06 10 19307 1.07952e-08 0
1e-06 10 29935.8 6.56978e-09 0
1e-06 10 46415.9 4.00529e-09 0
1e-06 10 71968.6 2.44425e-09 0
1e-06 10 111588 1.48649e-09 0
1e-06 10 173020 8.89075e-10 0
1e-06 10 268270 5.22734e-10 0
1e-06 10 415956 2.96637e-10 0
1e-06 10 644947 1.57189e-10 0
1e-06 10 1e+06 7.40243e-11 0

2.43835e-06 10 1e-06 0.567266 0
2.43835e-06 10 1.55052e-06 0.567265 0
2.43835e-06 10 2.4041e-06 0.567265 0
2.43835e-06 10 3.72759e-06 0.567265 0
