#q_sq i k_sq z Re(w) Im(w)
1e-06 1 2.15443e-05 -0.617876 0.132572 0
1e-06 1 2.15443e-05 -0.458017 0.133159 0
1e-06 1 2.15443e-05 -0.281604 0.132654 0
1e-06 1 2.15443e-05 -0.0950125 0.133548 0
1e-06 1 2.15443e-05 0.0950125 0.133548 0
1e-06 1 2.15443e-05 0.281604 0.132654 0
1e-06 1 2.15443e-05 0.458017 0.133159 0
1e-06 1 2.15443e-05 0.617876 0.132572 0
1e-06 1 2.15443e-05 0.755404 0.132975 0
1e-06 1 2.15443e-05 0.865631 0.133097 0
1e-06 1 2.15443e-05 0.944575 0.132904 0
1e-06 1 2.15443e-05 0.989401 0.132824 0
1e-06 1 3.34048e-05 -0.989401 0.132811 0
1e-06 1 3.34048e-05 -0.944575 0.132899 0
1e-06 1 3.34048e-05 -0.865631 0.133096 0
1e-06 1 3.34048e-05 -0.755404 0.133119 0
1e-06 1 3.34048e-05 -0.617876 0.132611 0
1e-06 1 3.34048e-05 -0.458017 0.132975 0
1e-06 1 3.34048e-05 -0.281604 0.13321 0
1e-06 1 3.34048e-05 -0.0950125 0.130641 0
1e-06 1 3.34048e-05 0.0950125 0.130641 0
1e-06 1 3.34048e-05 0.281604 0.13321 0
1e-06 1 3.34048e-05 0.458017 0.132975 0
1e-06 1 3.34048e-05 0.617876 0.132611 0
1e-06 1 3.34048e-05 0.755404 0.133119 0
1e-06 1 3.34048e-05 0.865631 0.133096 0
1e-06 1 3.34048e-05 0.944575 0.132899 0
1e-06 1 3.34048e-05 0.989401 0.132811 0
1e-06 1 5.17947e-05 -0.989401 0.132723 0
1e-06 1 5.17947e-05 -0.944575 0.132787 0
1e-06 1 5.17947e-05 -0.865631 0.13293 0
1e-06 1 5.17947e-05 -0.755404 0.133209 0
1e-06 1 5.17947e-05 -0.617876 0.133052 0
1e-06 1 5.17947e-05 -0.458017 0.132045 0
1e-06 1 5.17947e-05 -0.281604 0.132996 0
1e-06 1 5.17947e-05 -0.0950125 0.135545 0
1e-06 1 5.17947e-05 0.0950125 0.135545 0
1e-06 1 5.17947e-05 0.281604 0.132996 0
1e-06 1 5.17947e-05 0.458017 0.132045 0
1e-06 1 5.17947e-05 0.617876 0.133052 0
1e-06 1 5.17947e-05 0.755404 0.133209 0
1e-06 1 5.17947e-05 0.865631 0.13293 0
1e-06 1 5.17947e-05 0.944575 0.132787 0
1e-06 1 5.17947e-05 0.989401 0.132723 0
1e-06 1 8.03086e-05 -0.989401 0.132682 0
1e-06 1 8.03086e-05 -0.944575 0.132701 0
1e-06 1 8.03086e-05 -0.865631 0.132749 0
1e-06 1 8.03086e-05 -0.755404 0.132856 0
1e-06 1 8.03086e-05 -0.617876 0.133078 0
1e-06 1 8.03086e-05 -0.458017 0.133544 0
1e-06 1 8.03086e-05 -0.281604 0.131556 0
1e-06 1 8.03086e-05 -0.0950125 0.131463 0
1e-06 1 8.03086e-05 0.0950125 0.131463 0
1e-06 1 8.03086e-05 0.281604 0.131556 0
1e-06 1 8.03086e-05 0.458017 0.133544 0
1e-06 1 8.03086e-05 0.617876 0.133078 0
1e-06 1 8.03086e-05 0.755404 0.132856 0
1e-06 1 8.03086e-05 0.865631 0.132749 0
1e-06 1 8.03086e-05 0.944575 0.132701 0
1e-06 1 8.03086e-05 0.989401 0.132682 0
1e-06 1 0.00012452 -0.989401 0.132444 0
1e-06 1 0.00012452 -0.944575 0.132607 0
1e-06 1 0.00012452 -0.865631 0.133015 0
1e-06 1 0.00012452 -0.755404 0.133004 0
