#q_sq i k_sq z Re(fg) Im(fg)
1e-06 3 1e-06 -0.989401 -0.83581 0
1e-06 3 1e-06 -0.944575 -0.83581 0
1e-06 3 1e-06 -0.865631 -0.83581 0
1e-06 3 1e-06 -0.755404 -0.83581 0
1e-06 3 1e-06 -0.617876 -0.83581 0
1e-06 3 1e-06 -0.458017 -0.83581 0
1e-06 3 1e-06 -0.281604 -0.83581 0
1e-06 3 1e-06 -0.0950125 -0.83581 0
1e-06 3 1e-06 0.0950125 -0.83581 0
1e-06 3 1e-06 0.281604 -0.83581 0
1e-06 3 1e-06 0.458017 -0.83581 0
1e-06 3 1e-06 0.617876 -0.83581 0
1e-06 3 1e-06 0.755404 -0.83581 0
1e-06 3 1e-06 0.865631 -0.83581 0
1e-06 3 1e-06 0.944575 -0.83581 0
1e-06 3 1e-06 0.989401 -0.83581 0
1e-06 3 1.55052e-06 -0.989401 -0.835809 0
1e-06 3 1.55052e-06 -0.944575 -0.835809 0
1e-06 3 1.55052e-06 -0.865631 -0.835809 0
1e-06 3 1.55052e-06 -0.755404 -0.835809 0
1e-06 3 1.55052e-06 -0.617876 -0.835809 0
1e-06 3 1.55052e-06 -0.458017 -0.835809 0
1e-06 3 1.55052e-06 -0.281604 -0.835809 0
1e-06 3 1.55052e-06 -0.0950125 -0.835809 0
1e-06 3 1.55052e-06 0.0950125 -0.835809 0
1e-06 3 1.55052e-06 0.281604 -0.835809 0
1e-06 3 1.55052e-06 0.458017 -0.835809 0
1e-06 3 1.55052e-06 0.617876 -0.835809 0
1e-06 3 1.55052e-06 0.755404 -0.835809 0
1e-06 3 1.55052e-06 0.865631 -0.835809 0
1e-06 3 1.55052e-06 0.944575 -0.835809 0
1e-06 3 1.55052e-06 0.989401 -0.835809 0
1e-06 3 2.4041e-06 -0.989401 -0.835808 0
1e-06 3 2.4041e-06 -0.944575 -0.835808 0
1e-06 3 2.4041e-06 -0.865631 -0.835808 0
1e-06 3 2.4041e-06 -0.755404 -0.835808 0
1e-06 3 2.4041e-06 -0.617876 -0.835808 0
1e-06 3 2.4041e-06 -0.458017 -0.835808 0
1e-06 3 2.4041e-06 -0.281604 -0.835808 0
1e-06 3 2.4041e-06 -0.0950125 -0.835808 0
1e-06 3 2.4041e-06 0.0950125 -0.835808 0
1e-06 3 2.4041e-06 0.281604 -0.835808 0
1e-06 3 2.4041e-06 0.458017 -0.835808 0
1e-06 3 2.4041e-06 0.617876 -0.835808 0
1e-06 3 2.4041e-06 0.755404 -0.835808 0
1e-06 3 2.4041e-06 0.865631 -0.835808 0
1e-06 3 2.4041e-06 0.944575 -0.835808 0
1e-06 3 2.4041e-06 0.989401 -0.835808 0
1e-06 3 3.72759e-06 -0.989401 -0.835806 0
1e-06 3 3.72759e-06 -0.944575 -0.835806 0
1e-06 3 3.72759e-06 -0.865631 -0.835806 0
1e-06 3 3.72759e-06 -0.755404 -0.835806 0
1e-06 3 3.72759e-06 -0.617876 -0.835806 0
1e-06 3 3.72759e-06 -0.458017 -0.835806 0
1e-06 3 3.72759e-06 -0.281604 -0.835806 0
