#q_sq i k_sq z Re(fg) Im(fg)
1e-06 7 1e-06 -0.989401 176916 -0
1e-06 7 1e-06 -0.944575 34611 -0
1e-06 7 1e-06 -0.865631 14879.9 -0
1e-06 7 1e-06 -0.755404 8687.11 -0
1e-06 7 1e-06 -0.617876 6032.91 -0
1e-06 7 1e-06 -0.458017 4719.59 -0
1e-06 7 1e-06 -0.281604 4050.58 -0
1e-06 7 1e-06 -0.0950125 3763.26 -0
1e-06 7 1e-06 0.0950125 3763.26 -0
1e-06 7 1e-06 0.281604 4050.58 -0
1e-06 7 1e-06 0.458017 4719.59 -0
1e-06 7 1e-06 0.617876 6032.91 -0
1e-06 7 1e-06 0.755404 8687.11 -0
1e-06 7 1e-06 0.865631 14879.9 -0
1e-06 7 1e-06 0.944575 34611 -0
1e-06 7 1e-06 0.989401 176916 -0
1e-06 7 1.55052e-06 -0.989401 114101 -0
1e-06 7 1.55052e-06 -0.944575 22321.8 -0
1e-06 7 1.55052e-06 -0.865631 9596.36 -0
1e-06 7 1.55052e-06 -0.755404 5602.32 -0
1e-06 7 1.55052e-06 -0.617876 3890.5 -0
1e-06 7 1.55052e-06 -0.458017 3043.48 -0
1e-06 7 1.55052e-06 -0.281604 2612 -0
1e-06 7 1.55052e-06 -0.0950125 2426.7 -0
1e-06 7 1.55052e-06 0.0950125 2426.7 -0
1e-06 7 1.55052e-06 0.281604 2612 -0
1e-06 7 1.55052e-06 0.458017 3043.48 -0
1e-06 7 1.55052e-06 0.617876 3890.5 -0
1e-06 7 1.55052e-06 0.755404 5602.32 -0
1e-06 7 1.55052e-06 0.865631 9596.36 -0
1e-06 7 1.55052e-06 0.944575 22321.8 -0
1e-06 7 1.55052e-06 0.989401 114101 -0
1e-06 7 2.4041e-06 -0.989401 73588.5 -0
1e-06 7 2.4041e-06 -0.944575 14396 -0
1e-06 7 2.4041e-06 -0.865631 6188.73 -0
1e-06 7 2.4041e-06 -0.755404 3612.79 -0
1e-06 7 2.4041e-06 -0.617876 2508.75 -0
1e-06 7 2.4041e-06 -0.458017 1962.47 -0
1e-06 7 2.4041e-06 -0.281604 1684.19 -0
1e-06 7 2.4041e-06 -0.0950125 1564.68 -0
1e-06 7 2.4041e-06 0.0950125 1564.68 -0
1e-06 7 2.4041e-06 0.281604 1684.19 -0
1e-06 7 2.4041e-06 0.458017 1962.47 -0
1e-06 7 2.4041e-06 0.617876 2508.75 -0
1e-06 7 2.4041e-06 0.755404 3612.79 -0
1e-06 7 2.4041e-06 0.865631 6188.73 -0
1e-06 7 2.4041e-06 0.944575 14396 -0
1e-06 7 2.4041e-06 0.989401 73588.5 -0
