#q_sq i k_sq z Re(fg) Im(fg)
1e-06 6 1e-06 -0.989401 -8.92686e+11 -0
1e-06 6 1e-06 -0.944575 -1.74646e+11 -0
1e-06 6 1e-06 -0.865631 -7.5087e+10 -0
1e-06 6 1e-06 -0.755404 -4.38393e+10 -0
1e-06 6 1e-06 -0.617876 -3.04467e+10 -0
1e-06 6 1e-06 -0.458017 -2.382e+10 -0
1e-06 6 1e-06 -0.281604 -2.04443e+10 -0
1e-06 6 1e-06 -0.0950125 -1.89946e+10 -0
1e-06 6 1e-06 0.0950125 -1.89946e+10 -0
1e-06 6 1e-06 0.281604 -2.04443e+10 -0
1e-06 6 1e-06 0.458017 -2.382e+10 -0
1e-06 6 1e-06 0.617876 -3.04467e+10 -0
1e-06 6 1e-06 0.755404 -4.38393e+10 -0
1e-06 6 1e-06 0.865631 -7.5087e+10 -0
1e-06 6 1e-06 0.944575 -1.74646e+11 -0
1e-06 6 1e-06 0.989401 -8.92686e+11 -0
1e-06 6 1.55052e-06 -0.989401 -5.75735e+11 -0
1e-06 6 1.55052e-06 -0.944575 -1.12637e+11 -0
1e-06 6 1.55052e-06 -0.865631 -4.84271e+10 -0
1e-06 6 1.55052e-06 -0.755404 -2.8274e+10 -0
1e-06 6 1.55052e-06 -0.617876 -1.96365e+10 -0
1e-06 6 1.55052e-06 -0.458017 -1.53627e+10 -0
1e-06 6 1.55052e-06 -0.281604 -1.31855e+10 -0
1e-06 6 1.55052e-06 -0.0950125 -1.22505e+10 -0
1e-06 6 1.55052e-06 0.0950125 -1.22505e+10 -0
1e-06 6 1.55052e-06 0.281604 -1.31855e+10 -0
1e-06 6 1.55052e-06 0.458017 -1.53627e+10 -0
1e-06 6 1.55052e-06 0.617876 -1.96365e+10 -0
1e-06 6 1.55052e-06 0.755404 -2.8274e+10 -0
1e-06 6 1.55052e-06 0.865631 -4.84271e+10 -0
1e-06 6 1.55052e-06 0.944575 -1.12637e+11 -0
1e-06 6 1.55052e-06 0.989401 -5.75735e+11 -0
1e-06 6 2.4041e-06 -0.989401 -3.71318e+11 -0
1e-06 6 2.4041e-06 -0.944575 -7.2645e+10 -0
1e-06 6 2.4041e-06 -0.865631 -3.12329e+10 -0
1e-06 6 2.4041e-06 -0.755404 -1.82352e+10 -0
1e-06 6 2.4041e-06 -0.617876 -1.26645e+10 -0
1e-06 6 2.4041e-06 -0.458017 -9.90811e+09 -0
1e-06 6 2.4041e-06 -0.281604 -8.50397e+09 -0
1e-06 6 2.4041e-06 -0.0950125 -7.90093e+09 -0
1e-06 6 2.4041e-06 0.0950125 -7.90093e+09 -0
1e-06 6 2.4041e-06 0.281604 -8.50397e+09 -0
1e-06 6 2.4041e-06 0.458017 -9.90811e+09 -0
1e-06 6 2.4041e-06 0.617876 -1.26645e+10 -0
1e-06 6 2.4041e-06 0.755404 -1.82352e+10 -0
1e-06 6 2.4041e-06 0.865631 -3.12329e+10 -0
1e-06 6 2.4041e-06 0.944575 -7.2645e+10 -0
1e-06 6 2.4041e-06 0.989401 -3.71318e+11 -0
1e-06 6 3.72759e-06 -0.989401 -2.39479e+11 -0
1e-06 6 3.72759e-06 -0.944575 -4.6852e+10 -0
1e-06 6 3.72759e-06 -0.865631 -2.01435e+10 -0
1e-06 6 3.72759e-06 -0.755404 -1.17608e+10 -0
1e-06 6 3.72759e-06 -0.617876 -8.16796e+09 -0
1e-06 6 3.72759e-06 -0.458017 -6.39022e+09 -0
1e-06 6 3.72759e-06 -0.281604 -5.48463e+09 -0
1e-06 6 3.72759e-06 -0.0950125 -5.0957e+09 -0
1e-06 6 3.72759e-06 0.0950125 -5.0957e+09 -0
1e-06 6 3.72759e-06 0.281604 -5.48463e+09 -0
1e-06 6 3.72759e-06 0.458017 -6.39022e+09 -0
1e-06 6 3.72759e-06 0.617876 -8.16796e+09 -0
1e-06 6 3.72759e-06 0.755404 -1.17608e+10 -0
1e-06 6 3.72759e-06 0.865631 -2.01435e+10 -0
1e-06 6 3.72759e-06 0.944575 -4.6852e+10 -0
1e-06 6 3.72759e-06 0.989401 -2.39479e+11 -0
1e-06 6 5.77969e-06 -0.989401 -1.54451e+11 -0
1e-06 6 5.77969e-06 -0.944575 -3.0217e+10 -0
1e-06 6 5.77969e-06 -0.865631 -1.29915e+10 -0
1e-06 6 5.77969e-06 -0.755404 -7.58507e+09 -0
1e-06 6 5.77969e-06 -0.617876 -5.26791e+09 -0
1e-06 6 5.77969e-06 -0.458017 -4.12137e+09 -0
1e-06 6 5.77969e-06 -0.281604 -3.53731e+09 -0
1e-06 6 5.77969e-06 -0.0950125 -3.28648e+09 -0
1e-06 6 5.77969e-06 0.0950125 -3.28648e+09 -0
1e-06 6 5.77969e-06 0.281604 -3.53731e+09 -0
1e-06 6 5.77969e-06 0.458017 -4.12137e+09 -0
