#q_sq i k_sq z Re(w) Im(w)
1e-06 2 1e-06 -0.989401 -1.02879 0
1e-06 2 1e-06 -0.944575 -1.02834 0
1e-06 2 1e-06 -0.865631 -1.02884 0
1e-06 2 1e-06 -0.755404 -1.02811 0
1e-06 2 1e-06 -0.617876 -1.02775 0
1e-06 2 1e-06 -0.458017 -1.02827 0
1e-06 2 1e-06 -0.281604 -1.0289 0
1e-06 2 1e-06 -0.0950125 -1.02862 0
1e-06 2 1e-06 0.0950125 -1.02862 0
1e-06 2 1e-06 0.281604 -1.0289 0
1e-06 2 1e-06 0.458017 -1.02827 0
1e-06 2 1e-06 0.617876 -1.02775 0
1e-06 2 1e-06 0.755404 -1.02811 0
1e-06 2 1e-06 0.865631 -1.02884 0
1e-06 2 1e-06 0.944575 -1.02834 0
1e-06 2 1e-06 0.989401 -1.02879 0
1e-06 2 1.55052e-06 -0.989401 -1.0288 0
1e-06 2 1.55052e-06 -0.944575 -1.02819 0
1e-06 2 1.55052e-06 -0.865631 -1.02875 0
1e-06 2 1.55052e-06 -0.755404 -1.02788 0
1e-06 2 1.55052e-06 -0.617876 -1.02855 0
1e-06 2 1.55052e-06 -0.458017 -1.02797 0
1e-06 2 1.55052e-06 -0.281604 -1.02786 0
1e-06 2 1.55052e-06 -0.0950125 -1.02878 0
1e-06 2 1.55052e-06 0.0950125 -1.02878 0
1e-06 2 1.55052e-06 0.281604 -1.02786 0
1e-06 2 1.55052e-06 0.458017 -1.02797 0
1e-06 2 1.55052e-06 0.617876 -1.02855 0
1e-06 2 1.55052e-06 0.755404 -1.02788 0
1e-06 2 1.55052e-06 0.865631 -1.02875 0
1e-06 2 1.55052e-06 0.944575 -1.02819 0
1e-06 2 1.55052e-06 0.989401 -1.0288 0
1e-06 2 2.4041e-06 -0.989401 -1.02892 0
1e-06 2 2.4041e-06 -0.944575 -1.0289 0
1e-06 2 2.4041e-06 -0.865631 -1.02814 0
1e-06 2 2.4041e-06 -0.755404 -1.02914 0
1e-06 2 2.4041e-06 -0.617876 -1.02895 0
1e-06 2 2.4041e-06 -0.458017 -1.02863 0
1e-06 2 2.4041e-06 -0.281604 -1.02924 0
1e-06 2 2.4041e-06 -0.0950125 -1.03097 0
1e-06 2 2.4041e-06 0.0950125 -1.03097 0
1e-06 2 2.4041e-06 0.281604 -1.02924 0
1e-06 2 2.4041e-06 0.458017 -1.02863 0
1e-06 2 2.4041e-06 0.617876 -1.02895 0
1e-06 2 2.4041e-06 0.755404 -1.02914 0
1e-06 2 2.4041e-06 0.865631 -1.02814 0
1e-06 2 2.4041e-06 0.944575 -1.0289 0
1e-06 2 2.4041e-06 0.989401 -1.02892 0
1e-06 2 3.72759e-06 -0.989401 -1.0282 0
1e-06 2 3.72759e-06 -0.944575 -1.02892 0
1e-06 2 3.72759e-06 -0.865631 -1.02891 0
1e-06 2 3.72759e-06 -0.755404 -1.02856 0
1e-06 2 3.72759e-06 -0.617876 -1.0286 0
1e-06 2 3.72759e-06 -0.458017 -1.02887 0
1e-06 2 3.72759e-06 -0.281604 -1.03074 0
1e-06 2 3.72759e-06 -0.0950125 -1.03094 0
1e-06 2 3.72759e-06 0.0950125 -1.03094 0
1e-06 2 3.72759e-06 0.281604 -1.03074 0
1e-06 2 3.72759e-06 0.458017 -1.02887 0
1e-06 2 3.72759e-06 0.617876 -1.0286 0
1e-06 2 3.72759e-06 0.755404 -1.02856 0
1e-06 2 3.72759e-06 0.865631 -1.02891 0
1e-06 2 3.72759e-06 0.944575 -1.02892 0
1e-06 2 3.72759e-06 0.989401 -1.0282 0
1e-06 2 5.77969e-06 -0.989401 -1.02898 0
1e-06 2 5.77969e-06 -0.944575 -1.02895 0
1e-06 2 5.77969e-06 -0.865631 -1.02769 0
1e-06 2 5.77969e-06 -0.755404 -1.02888 0
1e-06 2 5.77969e-06 -0.617876 -1.02691 0
1e-06 2 5.77969e-06 -0.458017 -1.02868 0
1e-06 2 5.77969e-06 -0.281604 -1.02917 0
1e-06 2 5.77969e-06 -0.0950125 -1.02921 0
1e-06 2 5.77969e-06 0.0950125 -1.02921 0
1e-06 2 5.77969e-06 0.281604 -1.02917 0
1e-06 2 5.77969e-06 0.458017 -1.02868 0
1e-06 2 5.77969e-06 0.617876 -1.02691 0
1e-06 2 5.77969e-06 0.755404 -1.02888 0
1e-06 2 5.77969e-06 0.865631 -1.02769 0
1e-06 2 5.77969e-06 0.944575 -1.02895 0
1e-06 2 5.77969e-06 0.989401 -1.02898 0
1e-06 2 8.96151e-06 -0.989401 -1.02801 0
1e-06 2 8.96151e-06 -0.944575 -1.02793 0
1e-06 2 8.96151e-06 -0.865631 -1.02854 0
1e-06 2 8.96151e-06 -0.755404 -1.02996 0
1e-06 2 8.96151e-06 -0.617876 -1.02764 0
1e-06 2 8.96151e-06 -0.458017 -1.02864 0
1e-06 2 8.96151e-06 -0.281604 -1.02834 0
1e-06 2 8.96151e-06 -0.0950125 -1.02159 0
1e-06 2 8.96151e-06 0.0950125 -1.02159 0
1e-06 2 8.96151e-06 0.281604 -1.02834 0
1e-06 2 8.96151e-06 0.458017 -1.02864 0
1e-06 2 8.96151e-06 0.617876 -1.02764 0
1e-06 2 8.96151e-06 0.755404 -1.02996 0
1e-06 2 8.96151e-06 0.865631 -1.02854 0
1e-06 2 8.96151e-06 0.944575 -1.02793 0
1e-06 2 8.96151e-06 0.989401 -1.02801 0
1e-06 2 1.3895e-05 -0.989401 -1.02785 0
1e-06 2 1.3895e-05 -0.944575 -1.02813 0
1e-06 2 1.3895e-05 -0.865631 -1.02913 0
1e-06 2 1.3895e-05 -0.755404 -1.02903 0
1e-06 2 1.3895e-05 -0.617876 -1.02753 0
1e-06 2 1.3895e-05 -0.458017 -1.02898 0
1e-06 2 1.3895e-05 -0.281604 -1.02905 0
1e-06 2 1.3895e-05 -0.0950125 -1.02947 0
1e-06 2 1.3895e-05 0.0950125 -1.02947 0
1e-06 2 1.3895e-05 0.281604 -1.02905 0
1e-06 2 1.3895e-05 0.458017 -1.02898 0
1e-06 2 1.3895e-05 0.617876 -1.02753 0
1e-06 2 1.3895e-05 0.755404 -1.02903 0
1e-06 2 1.3895e-05 0.865631 -1.02913 0
1e-06 2 1.3895e-05 0.944575 -1.02813 0
1e-06 2 1.3895e-05 0.989401 -1.02785 0
1e-06 2 2.15443e-05 -0.989401 -1.02785 0
1e-06 2 2.15443e-05 -0.944575 -1.02846 0
1e-06 2 2.15443e-05 -0.865631 -1.02995 0
1e-06 2 2.15443e-05 -0.755404 -1.029 0
1e-06 2 2.15443e-05 -0.617876 -1.0259 0
1e-06 2 2.15443e-05 -0.458017 -1.03043 0
1e-06 2 2.15443e-05 -0.281604 -1.02651 0
1e-06 2 2.15443e-05 -0.0950125 -1.03344 0
1e-06 2 2.15443e-05 0.0950125 -1.03344 0
1e-06 2 2.15443e-05 0.281604 -1.02651 0
1e-06 2 2.15443e-05 0.458017 -1.03043 0
1e-06 2 2.15443e-05 0.617876 -1.0259 0
1e-06 2 2.15443e-05 0.755404 -1.029 0
1e-06 2 2.15443e-05 0.865631 -1.02995 0
1e-06 2 2.15443e-05 0.944575 -1.02846 0
1e-06 2 2.15443e-05 0.989401 -1.02785 0
1e-06 2 3.34048e-05 -0.989401 -1.02782 0
1e-06 2 3.34048e-05 -0.944575 -1.02849 0
1e-06 2 3.34048e-05 -0.865631 -1.03001 0
1e-06 2 3.34048e-05 -0.755404 -1.03018 0
1e-06 2 3.34048e-05 -0.617876 -1.02625 0
1e-06 2 3.34048e-05 -0.458017 -1.02909 0
1e-06 2 3.34048e-05 -0.281604 -1.03093 0
1e-06 2 3.34048e-05 -0.0950125 -1.01108 0
1e-06 2 3.34048e-05 0.0950125 -1.01108 0
1e-06 2 3.34048e-05 0.281604 -1.03093 0
1e-06 2 3.34048e-05 0.458017 -1.02909 0
1e-06 2 3.34048e-05 0.617876 -1.02625 0
1e-06 2 3.34048e-05 0.755404 -1.03018 0
1e-06 2 3.34048e-05 0.865631 -1.03001 0
1e-06 2 3.34048e-05 0.944575 -1.02849 0
1e-06 2 3.34048e-05 0.989401 -1.02782 0
1e-06 2 5.17947e-05 -0.989401 -1.02731 0
1e-06 2 5.17947e-05 -0.944575 -1.02781 0
1e-06 2 5.17947e-05 -0.865631 -1.02892 0
1e-06 2 5.17947e-05 -0.755404 -1.03109 0
1e-06 2 5.17947e-05 -0.617876 -1.02989 0
1e-06 2 5.17947e-05 -0.458017 -1.02211 0
1e-06 2 5.17947e-05 -0.281604 -1.02947 0
1e-06 2 5.17947e-05 -0.0950125 -1.04922 0
1e-06 2 5.17947e-05 0.0950125 -1.04922 0
1e-06 2 5.17947e-05 0.281604 -1.02947 0
1e-06 2 5.17947e-05 0.458017 -1.02211 0
1e-06 2 5.17947e-05 0.617876 -1.02989 0
1e-06 2 5.17947e-05 0.755404 -1.03109 0
1e-06 2 5.17947e-05 0.865631 -1.02892 0
1e-06 2 5.17947e-05 0.944575 -1.02781 0
1e-06 2 5.17947e-05 0.989401 -1.02731 0
1e-06 2 8.03086e-05 -0.989401 -1.02722 0
1e-06 2 8.03086e-05 -0.944575 -1.02737 0
1e-06 2 8.03086e-05 -0.865631 -1.02775 0
1e-06 2 8.03086e-05 -0.755404 -1.02858 0
1e-06 2 8.03086e-05 -0.617876 -1.0303 0
1e-06 2 8.03086e-05 -0.458017 -1.03392 0
1e-06 2 8.03086e-05 -0.281604 -1.01854 0
1e-06 2 8.03086e-05 -0.0950125 -1.01782 0
1e-06 2 8.03086e-05 0.0950125 -1.01782 0
1e-06 2 8.03086e-05 0.281604 -1.01854 0
1e-06 2 8.03086e-05 0.458017 -1.03392 0
1e-06 2 8.03086e-05 0.617876 -1.0303 0
1e-06 2 8.03086e-05 0.755404 -1.02858 0
1e-06 2 8.03086e-05 0.865631 -1.02775 0
1e-06 2 8.03086e-05 0.944575 -1.02737 0
1e-06 2 8.03086e-05 0.989401 -1.02722 0
1e-06 2 0.00012452 -0.989401 -1.02576 0
1e-06 2 0.00012452 -0.944575 -1.02702 0
1e-06 2 0.00012452 -0.865631 -1.03019 0
1e-06 2 0.00012452 -0.755404 -1.0301 0
1e-06 2 0.00012452 -0.617876 -1.02954 0
1e-06 2 0.00012452 -0.458017 -1.02879 0
1e-06 2 0.00012452 -0.281604 -1.02738 0
1e-06 2 0.00012452 -0.0950125 -1.02045 0
1e-06 2 0.00012452 0.0950125 -1.02045 0
1e-06 2 0.00012452 0.281604 -1.02738 0
1e-06 2 0.00012452 0.458017 -1.02879 0
1e-06 2 0.00012452 0.617876 -1.02954 0
1e-06 2 0.00012452 0.755404 -1.0301 0
1e-06 2 0.00012452 0.865631 -1.03019 0
1e-06 2 0.00012452 0.944575 -1.02702 0
1e-06 2 0.00012452 0.989401 -1.02576 0
1e-06 2 0.00019307 -0.989401 -1.02533 0
1e-06 2 0.00019307 -0.944575 -1.02424 0
1e-06 2 0.00019307 -0.865631 -1.02207 0
1e-06 2 0.00019307 -0.755404 -1.02267 0
1e-06 2 0.00019307 -0.617876 -1.02669 0
1e-06 2 0.00019307 -0.458017 -1.03457 0
1e-06 2 0.00019307 -0.281604 -1.04572 0
1e-06 2 0.00019307 -0.0950125 -1.04559 0
1e-06 2 0.00019307 0.0950125 -1.04559 0
1e-06 2 0.00019307 0.281604 -1.04572 0
1e-06 2 0.00019307 0.458017 -1.03457 0
1e-06 2 0.00019307 0.617876 -1.02669 0
1e-06 2 0.00019307 0.755404 -1.02267 0
1e-06 2 0.00019307 0.865631 -1.02207 0
1e-06 2 0.00019307 0.944575 -1.02424 0
1e-06 2 0.00019307 0.989401 -1.02533 0
1e-06 2 0.000299358 -0.989401 -1.03115 0
1e-06 2 0.000299358 -0.944575 -1.03158 0
1e-06 2 0.000299358 -0.865631 -1.03245 0
1e-06 2 0.000299358 -0.755404 -1.02978 0
1e-06 2 0.000299358 -0.617876 -1.02212 0
1e-06 2 0.000299358 -0.458017 -1.02039 0
1e-06 2 0.000299358 -0.281604 -1.02024 0
1e-06 2 0.000299358 -0.0950125 -1.02016 0
1e-06 2 0.000299358 0.0950125 -1.02016 0
1e-06 2 0.000299358 0.281604 -1.02024 0
1e-06 2 0.000299358 0.458017 -1.02039 0
1e-06 2 0.000299358 0.617876 -1.02212 0
1e-06 2 0.000299358 0.755404 -1.02978 0
1e-06 2 0.000299358 0.865631 -1.03245 0
1e-06 2 0.000299358 0.944575 -1.03158 0
1e-06 2 0.000299358 0.989401 -1.03115 0
1e-06 2 0.000464159 -0.989401 -1.02945 0
1e-06 2 0.000464159 -0.944575 -1.02892 0
1e-06 2 0.000464159 -0.865631 -1.02787 0
1e-06 2 0.000464159 -0.755404 -1.02606 0
1e-06 2 0.000464159 -0.617876 -1.02293 0
1e-06 2 0.000464159 -0.458017 -1.01698 0
1e-06 2 0.000464159 -0.281604 -1.00255 0
1e-06 2 0.000464159 -0.0950125 -0.997122 0
1e-06 2 0.000464159 0.0950125 -0.997122 0
1e-06 2 0.000464159 0.281604 -1.00255 0
1e-06 2 0.000464159 0.458017 -1.01698 0
1e-06 2 0.000464159 0.617876 -1.02293 0
1e-06 2 0.000464159 0.755404 -1.02606 0
1e-06 2 0.000464159 0.865631 -1.02787 0
1e-06 2 0.000464159 0.944575 -1.02892 0
1e-06 2 0.000464159 0.989401 -1.02945 0
1e-06 2 0.000719686 -0.989401 -1.02928 0
1e-06 2 0.000719686 -0.944575 -1.02979 0
1e-06 2 0.000719686 -0.865631 -1.03081 0
1e-06 2 0.000719686 -0.755404 -1.03261 0
1e-06 2 0.000719686 -0.617876 -1.03577 0
1e-06 2 0.000719686 -0.458017 -1.04184 0
1e-06 2 0.000719686 -0.281604 -1.05649 0
1e-06 2 0.000719686 -0.0950125 -1.06143 0
1e-06 2 0.000719686 0.0950125 -1.06143 0
1e-06 2 0.000719686 0.281604 -1.05649 0
1e-06 2 0.000719686 0.458017 -1.04184 0
1e-06 2 0.000719686 0.617876 -1.03577 0
1e-06 2 0.000719686 0.755404 -1.03261 0
1e-06 2 0.000719686 0.865631 -1.03081 0
1e-06 2 0.000719686 0.944575 -1.02979 0
1e-06 2 0.000719686 0.989401 -1.02928 0
1e-06 2 0.00111588 -0.989401 -1.03896 0
1e-06 2 0.00111588 -0.944575 -1.04087 0
1e-06 2 0.00111588 -0.865631 -1.04141 0
1e-06 2 0.00111588 -0.755404 -1.04135 0
1e-06 2 0.00111588 -0.617876 -1.0413 0
1e-06 2 0.00111588 -0.458017 -1.04124 0
1e-06 2 0.00111588 -0.281604 -1.0412 0
1e-06 2 0.00111588 -0.0950125 -1.04118 0
1e-06 2 0.00111588 0.0950125 -1.04118 0
1e-06 2 0.00111588 0.281604 -1.0412 0
1e-06 2 0.00111588 0.458017 -1.04124 0
1e-06 2 0.00111588 0.617876 -1.0413 0
1e-06 2 0.00111588 0.755404 -1.04135 0
1e-06 2 0.00111588 0.865631 -1.04141 0
1e-06 2 0.00111588 0.944575 -1.04087 0
1e-06 2 0.00111588 0.989401 -1.03896 0
1e-06 2 0.0017302 -0.989401 -1.02291 0
1e-06 2 0.0017302 -0.944575 -1.02289 0
1e-06 2 0.0017302 -0.865631 -1.02286 0
1e-06 2 0.0017302 -0.755404 -1.02283 0
1e-06 2 0.0017302 -0.617876 -1.02279 0
1e-06 2 0.0017302 -0.458017 -1.02276 0
1e-06 2 0.0017302 -0.281604 -1.02273 0
1e-06 2 0.0017302 -0.0950125 -1.02272 0
1e-06 2 0.0017302 0.0950125 -1.02272 0
1e-06 2 0.0017302 0.281604 -1.02273 0
1e-06 2 0.0017302 0.458017 -1.02276 0
1e-06 2 0.0017302 0.617876 -1.02279 0
1e-06 2 0.0017302 0.755404 -1.02283 0
1e-06 2 0.0017302 0.865631 -1.02286 0
1e-06 2 0.0017302 0.944575 -1.02289 0
1e-06 2 0.0017302 0.989401 -1.02291 0
1e-06 2 0.0026827 -0.989401 -1.00586 0
1e-06 2 0.0026827 -0.944575 -1.00585 0
1e-06 2 0.0026827 -0.865631 -1.00583 0
1e-06 2 0.0026827 -0.755404 -1.00581 0
1e-06 2 0.0026827 -0.617876 -1.00579 0
1e-06 2 0.0026827 -0.458017 -1.00577 0
1e-06 2 0.0026827 -0.281604 -1.00575 0
1e-06 2 0.0026827 -0.0950125 -1.00574 0
1e-06 2 0.0026827 0.0950125 -1.00574 0
1e-06 2 0.0026827 0.281604 -1.00575 0
1e-06 2 0.0026827 0.458017 -1.00577 0
1e-06 2 0.0026827 0.617876 -1.00579 0
1e-06 2 0.0026827 0.755404 -1.00581 0
1e-06 2 0.0026827 0.865631 -1.00583 0
1e-06 2 0.0026827 0.944575 -1.00585 0
1e-06 2 0.0026827 0.989401 -1.00586 0
1e-06 2 0.00415956 -0.989401 -1.00675 0
1e-06 2 0.00415956 -0.944575 -1.00549 0
1e-06 2 0.00415956 -0.865631 -1.00297 0
1e-06 2 0.00415956 -0.755404 -0.998559 0
1e-06 2 0.00415956 -0.617876 -0.990842 0
1e-06 2 0.00415956 -0.458017 -0.9899 0
1e-06 2 0.00415956 -0.281604 -0.98989 0
1e-06 2 0.00415956 -0.0950125 -0.989884 0
1e-06 2 0.00415956 0.0950125 -0.989884 0
1e-06 2 0.00415956 0.281604 -0.98989 0
1e-06 2 0.00415956 0.458017 -0.9899 0
1e-06 2 0.00415956 0.617876 -0.990842 0
1e-06 2 0.00415956 0.755404 -0.998559 0
1e-06 2 0.00415956 0.865631 -1.00297 0
1e-06 2 0.00415956 0.944575 -1.00549 0
1e-06 2 0.00415956 0.989401 -1.00675 0
1e-06 2 0.00644947 -0.989401 -1.02926 0
1e-06 2 0.00644947 -0.944575 -1.02983 0
1e-06 2 0.00644947 -0.865631 -1.03096 0
1e-06 2 0.00644947 -0.755404 -1.03294 0
1e-06 2 0.00644947 -0.617876 -1.0364 0
1e-06 2 0.00644947 -0.458017 -1.043 0
1e-06 2 0.00644947 -0.281604 -1.05894 0
1e-06 2 0.00644947 -0.0950125 -1.06076 0
1e-06 2 0.00644947 0.0950125 -1.06076 0
1e-06 2 0.00644947 0.281604 -1.05894 0
1e-06 2 0.00644947 0.458017 -1.043 0
1e-06 2 0.00644947 0.617876 -1.0364 0
1e-06 2 0.00644947 0.755404 -1.03294 0
1e-06 2 0.00644947 0.865631 -1.03096 0
1e-06 2 0.00644947 0.944575 -1.02983 0
1e-06 2 0.00644947 0.989401 -1.02926 0
1e-06 2 0.01 -0.989401 -1.0442 0
1e-06 2 0.01 -0.944575 -1.04419 0
1e-06 2 0.01 -0.865631 -1.04419 0
1e-06 2 0.01 -0.755404 -1.04418 0
1e-06 2 0.01 -0.617876 -1.04418 0
1e-06 2 0.01 -0.458017 -1.04417 0
1e-06 2 0.01 -0.281604 -1.04417 0
1e-06 2 0.01 -0.0950125 -1.04416 0
1e-06 2 0.01 0.0950125 -1.04416 0
1e-06 2 0.01 0.281604 -1.04417 0
1e-06 2 0.01 0.458017 -1.04417 0
1e-06 2 0.01 0.617876 -1.04418 0
1e-06 2 0.01 0.755404 -1.04418 0
1e-06 2 0.01 0.865631 -1.04419 0
1e-06 2 0.01 0.944575 -1.04419 0
1e-06 2 0.01 0.989401 -1.0442 0
1e-06 2 0.0155052 -0.989401 -1.02653 0
1e-06 2 0.0155052 -0.944575 -1.02653 0
1e-06 2 0.0155052 -0.865631 -1.02653 0
1e-06 2 0.0155052 -0.755404 -1.02652 0
1e-06 2 0.0155052 -0.617876 -1.02652 0
1e-06 2 0.0155052 -0.458017 -1.02651 0
1e-06 2 0.0155052 -0.281604 -1.02651 0
1e-06 2 0.0155052 -0.0950125 -1.02651 0
1e-06 2 0.0155052 0.0950125 -1.02651 0
1e-06 2 0.0155052 0.281604 -1.02651 0
1e-06 2 0.0155052 0.458017 -1.02651 0
1e-06 2 0.0155052 0.617876 -1.02652 0
1e-06 2 0.0155052 0.755404 -1.02652 0
1e-06 2 0.0155052 0.865631 -1.02653 0
1e-06 2 0.0155052 0.944575 -1.02653 0
1e-06 2 0.0155052 0.989401 -1.02653 0
1e-06 2 0.024041 -0.989401 -1.00644 0
1e-06 2 0.024041 -0.944575 -1.00644 0
1e-06 2 0.024041 -0.865631 -1.00644 0
1e-06 2 0.024041 -0.755404 -1.00644 0
1e-06 2 0.024041 -0.617876 -1.00643 0
1e-06 2 0.024041 -0.458017 -1.00643 0
1e-06 2 0.024041 -0.281604 -1.00643 0
1e-06 2 0.024041 -0.0950125 -1.00643 0
1e-06 2 0.024041 0.0950125 -1.00643 0
1e-06 2 0.024041 0.281604 -1.00643 0
1e-06 2 0.024041 0.458017 -1.00643 0
1e-06 2 0.024041 0.617876 -1.00643 0
1e-06 2 0.024041 0.755404 -1.00644 0
1e-06 2 0.024041 0.865631 -1.00644 0
1e-06 2 0.024041 0.944575 -1.00644 0
1e-06 2 0.024041 0.989401 -1.00644 0
