#q_sq i k_sq Re(fg) Im(fg)
1e-06 6 1e-06 -1.89946e+10 -0
1e-06 6 1.55052e-06 -1.22505e+10 -0
1e-06 6 2.4041e-06 -7.90093e+09 -0
1e-06 6 3.72759e-06 -5.0957e+09 -0
1e-06 6 5.77969e-06 -3.28648e+09 -0
1e-06 6 8.96151e-06 -2.11962e+09 -0
1e-06 6 1.3895e-05 -1.36706e+09 -0
1e-06 6 2.15443e-05 -8.81702e+08 -0
1e-06 6 3.34048e-05 -5.68671e+08 -0
1e-06 6 5.17947e-05 -3.66782e+08 -0
1e-06 6 8.03086e-05 -2.36575e+08 -0
1e-06 6 0.00012452 -1.52598e+08 -0
1e-06 6 0.00019307 -9.84374e+07 -0
1e-06 6 0.000299358 -6.35066e+07 -0
1e-06 6 0.000464159 -4.09782e+07 -0
1e-06 6 0.000719686 -2.64485e+07 -0
1e-06 6 0.00111588 -1.70775e+07 -0
1e-06 6 0.0017302 -1.10337e+07 -0
1e-06 6 0.0026827 -7.13561e+06 -0
1e-06 6 0.00415956 -4.62134e+06 -0
1e-06 6 0.00644947 -2.99945e+06 -0
1e-06 6 0.01 -1.95293e+06 -0
1e-06 6 0.0155052 -1.27725e+06 -0
1e-06 6 0.024041 -840386 -0
1e-06 6 0.0372759 -557058 -0
1e-06 6 0.0577969 -372113 -0
1e-06 6 0.0896151 -249887 -0
1e-06 6 0.13895 -167447 -0
1e-06 6 0.215443 -110339 -0
1e-06 6 0.334048 -69911.1 -0
1e-06 6 0.517947 -41279.7 -0
1e-06 6 0.803086 -21640.3 -0
1e-06 6 1.2452 -9777.65 -0
1e-06 6 1.9307 -4348.07 -0
1e-06 6 2.99358 -1442.33 -0
1e-06 6 4.64159 227.706 -0
1e-06 6 7.19686 40.4804 -0
1e-06 6 11.1588 308.214 -0
1e-06 6 17.302 3.76186 -0
1e-06 6 26.827 -154.898 -0
1e-06 6 41.5956 -105.247 -0
1e-06 6 64.4947 -63.3956 -0
1e-06 6 100 -39.7855 -0
1e-06 6 155.052 -24.0358 -0
1e-06 6 240.41 -14.043 -0
1e-06 6 372.759 -8.66356 -0
1e-06 6 577.969 -5.34078 -0
1e-06 6 896.151 -3.09799 -0
1e-06 6 1389.5 -1.83286 -0
1e-06 6 2154.43 -1.10097 -0
1e-06 6 3340.48 -0.659501 -0
1e-06 6 5179.47 -0.39238 -0
1e-06 6 8030.86 -0.226817 -0
1e-06 6 12452 -0.131188 -0
1e-06 6 19307 -0.0759367 -0
1e-06 6 29935.8 -0.0434514 -0
1e-06 6 46415.9 -0.0245512 -0
1e-06 6 71968.6 -0.0135409 -0
1e-06 6 111588 -0.00701442 -0
1e-06 6 173020 -0.00360371 -0
1e-06 6 268270 -0.00164634 -0
1e-06 6 415956 -0.000621964 -0
1e-06 6 644947 -0.000142834 -0
1e-06 6 1e+06 -5.37443e-05 -0

2.43835e-06 6 1e-06 -7.78991e+09 -0
2.43835e-06 6 1.55052e-06 -5.02408e+09 -0
2.43835e-06 6 2.4041e-06 -3.24027e+09 -0
2.43835e-06 6 3.72759e-06 -2.08981e+09 -0
2.43835e-06 6 5.77969e-06 -1.34783e+09 -0
2.43835e-06 6 8.96151e-06 -8.69284e+08 -0
2.43835e-06 6 1.3895e-05 -5.6065e+08 -0
2.43835e-06 6 2.15443e-05 -3.61597e+08 -0
2.43835e-06 6 3.34048e-05 -2.33219e+08 -0
2.43835e-06 6 5.17947e-05 -1.50422e+08 -0
2.43835e-06 6 8.03086e-05 -9.70223e+07 -0
2.43835e-06 6 0.00012452 -6.25824e+07 -0
2.43835e-06 6 0.00019307 -4.03704e+07 -0
2.43835e-06 6 0.000299358 -2.60449e+07 -0
2.43835e-06 6 0.000464159 -1.68057e+07 -0
2.43835e-06 6 0.000719686 -1.08469e+07 -0
2.43835e-06 6 0.00111588 -7.00372e+06 -0
2.43835e-06 6 0.0017302 -4.52506e+06 -0
2.43835e-06 6 0.0026827 -2.9264e+06 -0
2.43835e-06 6 0.00415956 -1.89527e+06 -0
2.43835e-06 6 0.00644947 -1.23011e+06 -0
2.43835e-06 6 0.01 -800921 -0
2.43835e-06 6 0.0155052 -523816 -0
2.43835e-06 6 0.024041 -344653 -0
2.43835e-06 6 0.0372759 -228457 -0
2.43835e-06 6 0.0577969 -152608 -0
2.43835e-06 6 0.0896151 -102482 -0
2.43835e-06 6 0.13895 -68672.1 -0
2.43835e-06 6 0.215443 -45251.4 -0
2.43835e-06 6 0.334048 -28671.5 -0
2.43835e-06 6 0.517947 -16929.4 -0
2.43835e-06 6 0.803086 -8874.95 -0
2.43835e-06 6 1.2452 -4009.94 -0
2.43835e-06 6 1.9307 -1783.2 -0
2.43835e-06 6 2.99358 -591.517 -0
2.43835e-06 6 4.64159 93.3849 -0
