#q_sq i k_sq Re(w) Im(w)
0.000210175 0 0.334048 1.5421 0
0.000210175 0 0.517947 1.51504 0
0.000210175 0 0.803086 1.46464 0
0.000210175 0 1.2452 1.39107 0
0.000210175 0 1.9307 1.30722 0
0.000210175 0 2.99358 1.22997 0
0.000210175 0 4.64159 1.16742 0
0.000210175 0 7.19686 1.11969 0
0.000210175 0 11.1588 1.08446 0
0.000210175 0 17.302 1.059 0
0.000210175 0 26.827 1.04082 0
0.000210175 0 41.5956 1.02787 0
0.000210175 0 64.4947 1.0186 0
0.000210175 0 100 1.01186 0
0.000210175 0 155.052 1.00673 0
0.000210175 0 240.41 1.00268 0
0.000210175 0 372.759 0.999685 0
0.000210175 0 577.969 0.997613 0
0.000210175 0 896.151 0.996016 0
0.000210175 0 1389.5 0.994625 0
0.000210175 0 2154.43 0.993375 0
0.000210175 0 3340.48 0.992248 0
0.000210175 0 5179.47 0.991227 0
0.000210175 0 8030.86 0.990297 0
0.000210175 0 12452 0.989448 0
0.000210175 0 19307 0.988669 0
0.000210175 0 29935.8 0.987951 0
0.000210175 0 46415.9 0.987286 0
0.000210175 0 71968.6 0.98667 0
0.000210175 0 111588 0.986097 0
0.000210175 0 173020 0.985562 0
0.000210175 0 268270 0.98506 0
0.000210175 0 415956 0.984591 0
0.000210175 0 644947 0.984149 0
0.000210175 0 1e+06 0.983729 0

0.000512481 0 1e-06 1.54828 0
0.000512481 0 1.55052e-06 1.54828 0
0.000512481 0 2.4041e-06 1.54828 0
0.000512481 0 3.72759e-06 1.54828 0
0.000512481 0 5.77969e-06 1.54828 0
0.000512481 0 8.96151e-06 1.54828 0
0.000512481 0 1.3895e-05 1.54828 0
0.000512481 0 2.15443e-05 1.54828 0
0.000512481 0 3.34048e-05 1.54828 0
0.000512481 0 5.17947e-05 1.54828 0
0.000512481 0 8.03086e-05 1.54829 0
0.000512481 0 0.00012452 1.54829 0
0.000512481 0 0.00019307 1.5483 0
0.000512481 0 0.000299358 1.54832 0
0.000512481 0 0.000464159 1.54834 0
0.000512481 0 0.000719686 1.54837 0
0.000512481 0 0.00111588 1.54843 0
0.000512481 0 0.0017302 1.54851 0
0.000512481 0 0.0026827 1.54863 0
0.000512481 0 0.00415956 1.54882 0
0.000512481 0 0.00644947 1.54911 0
0.000512481 0 0.01 1.54954 0
0.000512481 0 0.0155052 1.55019 0
0.000512481 0 0.024041 1.55111 0
0.000512481 0 0.0372759 1.55238 0
0.000512481 0 0.0577969 1.55396 0
0.000512481 0 0.0896151 1.55554 0
0.000512481 0 0.13895 1.55613 0
0.000512481 0 0.215443 1.55327 0
0.000512481 0 0.334048 1.54209 0
0.000512481 0 0.517947 1.51502 0
0.000512481 0 0.803086 1.46463 0
0.000512481 0 1.2452 1.39106 0
0.000512481 0 1.9307 1.30721 0
0.000512481 0 2.99358 1.22997 0
0.000512481 0 4.64159 1.16742 0
0.000512481 0 7.19686 1.11969 0
0.000512481 0 11.1588 1.08446 0
0.000512481 0 17.302 1.059 0
0.000512481 0 26.827 1.04082 0
0.000512481 0 41.5956 1.02787 0
0.000512481 0 64.4947 1.0186 0
0.000512481 0 100 1.01186 0
0.000512481 0 155.052 1.00673 0
0.000512481 0 240.41 1.00268 0
0.000512481 0 372.759 0.999685 0
0.000512481 0 577.969 0.997613 0
0.000512481 0 896.151 0.996016 0
0.000512481 0 1389.5 0.994625 0
0.000512481 0 2154.43 0.993375 0
0.000512481 0 3340.48 0.992248 0
0.000512481 0 5179.47 0.991227 0
0.000512481 0 8030.86 0.990297 0
0.000512481 0 12452 0.989448 0
0.000512481 0 19307 0.988669 0
0.000512481 0 29935.8 0.987951 0
0.000512481 0 46415.9 0.987286 0
0.000512481 0 71968.6 0.98667 0
0.000512481 0 111588 0.986097 0
0.000512481 0 173020 0.985562 0
0.000512481 0 268270 0.98506 0
0.000512481 0 415956 0.984591 0
0.000512481 0 644947 0.984149 0
0.000512481 0 1e+06 0.983729 0

0.00124961 0 1e-06 1.5483 0
0.00124961 0 1.55052e-06 1.5483 0
0.00124961 0 2.4041e-06 1.5483 0
0.00124961 0 3.72759e-06 1.5483 0
0.00124961 0 5.77969e-06 1.5483 0
0.00124961 0 8.96151e-06 1.5483 0
0.00124961 0 1.3895e-05 1.5483 0
0.00124961 0 2.15443e-05 1.54831 0
0.00124961 0 3.34048e-05 1.54831 0
0.00124961 0 5.17947e-05 1.54831 0
0.00124961 0 8.03086e-05 1.54831 0
0.00124961 0 0.00012452 1.54832 0
0.00124961 0 0.00019307 1.54833 0
0.00124961 0 0.000299358 1.54834 0
0.00124961 0 0.000464159 1.54836 0
0.00124961 0 0.000719686 1.5484 0
0.00124961 0 0.00111588 1.54845 0
0.00124961 0 0.0017302 1.54853 0
0.00124961 0 0.0026827 1.54865 0
0.00124961 0 0.00415956 1.54884 0
0.00124961 0 0.00644947 1.54913 0
0.00124961 0 0.01 1.54957 0
0.00124961 0 0.0155052 1.55021 0
0.00124961 0 0.024041 1.55113 0
0.00124961 0 0.0372759 1.5524 0
0.00124961 0 0.0577969 1.55398 0
0.00124961 0 0.0896151 1.55555 0
0.00124961 0 0.13895 1.55613 0
0.00124961 0 0.215443 1.55326 0
0.00124961 0 0.334048 1.54207 0
0.00124961 0 0.517947 1.515 0
0.00124961 0 0.803086 1.46459 0
0.00124961 0 1.2452 1.39103 0
0.00124961 0 1.9307 1.30719 0
0.00124961 0 2.99358 1.22996 0
0.00124961 0 4.64159 1.16741 0
0.00124961 0 7.19686 1.11969 0
0.00124961 0 11.1588 1.08446 0
0.00124961 0 17.302 1.059 0
0.00124961 0 26.827 1.04082 0
0.00124961 0 41.5956 1.02787 0
0.00124961 0 64.4947 1.0186 0
0.00124961 0 100 1.01186 0
0.00124961 0 155.052 1.00673 0
0.00124961 0 240.41 1.00268 0
0.00124961 0 372.759 0.999685 0
0.00124961 0 577.969 0.997613 0
0.00124961 0 896.151 0.996016 0
0.00124961 0 1389.5 0.994625 0
0.00124961 0 2154.43 0.993375 0
0.00124961 0 3340.48 0.992248 0
0.00124961 0 5179.47 0.991227 0
0.00124961 0 8030.86 0.990297 0
0.00124961 0 12452 0.989448 0
0.00124961 0 19307 0.988669 0
0.00124961 0 29935.8 0.987951 0
0.00124961 0 46415.9 0.987286 0
0.00124961 0 71968.6 0.98667 0
0.00124961 0 111588 0.986097 0
0.00124961 0 173020 0.985562 0
0.00124961 0 268270 0.98506 0
0.00124961 0 415956 0.984591 0
0.00124961 0 644947 0.984149 0
0.00124961 0 1e+06 0.983729 0

0.00304699 0 1e-06 1.54836 0
0.00304699 0 1.55052e-06 1.54836 0
0.00304699 0 2.4041e-06 1.54836 0
0.00304699 0 3.72759e-06 1.54836 0
0.00304699 0 5.77969e-06 1.54836 0
0.00304699 0 8.96151e-06 1.54836 0
0.00304699 0 1.3895e-05 1.54836 0
0.00304699 0 2.15443e-05 1.54836 0
0.00304699 0 3.34048e-05 1.54837 0
0.00304699 0 5.17947e-05 1.54837 0
0.00304699 0 8.03086e-05 1.54837 0
0.00304699 0 0.00012452 1.54838 0
0.00304699 0 0.00019307 1.54839 0
0.00304699 0 0.000299358 1.5484 0
0.00304699 0 0.000464159 1.54842 0
0.00304699 0 0.000719686 1.54846 0
0.00304699 0 0.00111588 1.54851 0
0.00304699 0 0.0017302 1.54859 0
0.00304699 0 0.0026827 1.54871 0
0.00304699 0 0.00415956 1.5489 0
0.00304699 0 0.00644947 1.54919 0
0.00304699 0 0.01 1.54962 0
0.00304699 0 0.0155052 1.55026 0
0.00304699 0 0.024041 1.55118 0
0.00304699 0 0.0372759 1.55244 0
0.00304699 0 0.0577969 1.554 0
0.00304699 0 0.0896151 1.55557 0
0.00304699 0 0.13895 1.55612 0
0.00304699 0 0.215443 1.55323 0
0.00304699 0 0.334048 1.54202 0
0.00304699 0 0.517947 1.51492 0
0.00304699 0 0.803086 1.4645 0
0.00304699 0 1.2452 1.39096 0
0.00304699 0 1.9307 1.30715 0
0.00304699 0 2.99358 1.22993 0
0.00304699 0 4.64159 1.1674 0
0.00304699 0 7.19686 1.11968 0
0.00304699 0 11.1588 1.08445 0
0.00304699 0 17.302 1.059 0
0.00304699 0 26.827 1.04082 0
0.00304699 0 41.5956 1.02787 0
0.00304699 0 64.4947 1.0186 0
0.00304699 0 100 1.01186 0
0.00304699 0 155.052 1.00673 0
0.00304699 0 240.41 1.00268 0
0.00304699 0 372.759 0.999685 0
0.00304699 0 577.969 0.997613 0
0.00304699 0 896.151 0.996016 0
0.00304699 0 1389.5 0.994625 0
0.00304699 0 2154.43 0.993375 0
0.00304699 0 3340.48 0.992248 0
0.00304699 0 5179.47 0.991227 0
0.00304699 0 8030.86 0.990297 0
0.00304699 0 12452 0.989448 0
0.00304699 0 19307 0.988669 0
0.00304699 0 29935.8 0.987951 0
0.00304699 0 46415.9 0.987286 0
0.00304699 0 71968.6 0.98667 0
0.00304699 0 111588 0.986097 0
0.00304699 0 173020 0.985562 0
0.00304699 0 268270 0.98506 0
0.00304699 0 415956 0.984591 0
0.00304699 0 644947 0.984149 0
0.00304699 0 1e+06 0.983729 0

