#q_sq i k_sq Re(w) Im(w)
1e-06 2 1e-06 -1.02862 0
1e-06 2 1.55052e-06 -1.02878 0
1e-06 2 2.4041e-06 -1.03097 0
1e-06 2 3.72759e-06 -1.03094 0
1e-06 2 5.77969e-06 -1.02921 0
1e-06 2 8.96151e-06 -1.02159 0
1e-06 2 1.3895e-05 -1.02947 0
1e-06 2 2.15443e-05 -1.03344 0
1e-06 2 3.34048e-05 -1.01108 0
1e-06 2 5.17947e-05 -1.04922 0
1e-06 2 8.03086e-05 -1.01782 0
1e-06 2 0.00012452 -1.02045 0
1e-06 2 0.00019307 -1.04559 0
1e-06 2 0.000299358 -1.02016 0
1e-06 2 0.000464159 -0.997122 0
1e-06 2 0.000719686 -1.06143 0
1e-06 2 0.00111588 -1.04118 0
1e-06 2 0.0017302 -1.02272 0
1e-06 2 0.0026827 -1.00574 0
1e-06 2 0.00415956 -0.989884 0
1e-06 2 0.00644947 -1.06076 0
1e-06 2 0.01 -1.04416 0
1e-06 2 0.0155052 -1.02651 0
1e-06 2 0.024041 -1.00643 0
1e-06 2 0.0372759 -0.981935 0
1e-06 2 0.0577969 -0.950162 0
1e-06 2 0.0896151 -0.907029 0
1e-06 2 0.13895 -0.84696 0
1e-06 2 0.215443 -0.763006 0
1e-06 2 0.334048 -0.64833 0
1e-06 2 0.517947 -0.500908 0
1e-06 2 0.803086 -0.332629 0
1e-06 2 1.2452 -0.163394 0
1e-06 2 1.9307 -0.0597048 0
1e-06 2 2.99358 -0.0158968 0
1e-06 2 4.64159 -0.00366395 0
1e-06 2 7.19686 -0.00102535 0
1e-06 2 11.1588 -0.000366987 0
1e-06 2 17.302 -0.000145134 0
1e-06 2 26.827 -6.06944e-05 0
1e-06 2 41.5956 -2.66356e-05 0
1e-06 2 64.4947 -1.22312e-05 0
1e-06 2 100 -5.87182e-06 0
1e-06 2 155.052 -2.94444e-06 0
1e-06 2 240.41 -1.46602e-06 0
1e-06 2 372.759 -7.84072e-07 0
1e-06 2 577.969 -4.34058e-07 0
1e-06 2 896.151 -2.48011e-07 0
1e-06 2 1389.5 -1.44376e-07 0
1e-06 2 2154.43 -8.36148e-08 0
1e-06 2 3340.48 -4.97865e-08 0
1e-06 2 5179.47 -2.98536e-08 0
1e-06 2 8030.86 -1.77741e-08 0
1e-06 2 12452 -1.07784e-08 0
1e-06 2 19307 -6.56096e-09 0
1e-06 2 29935.8 -3.96454e-09 0
1e-06 2 46415.9 -2.42915e-09 0
1e-06 2 71968.6 -1.47787e-09 0
1e-06 2 111588 -9.10042e-10 0
1e-06 2 173020 -5.5664e-10 0
1e-06 2 268270 -3.44189e-10 0
1e-06 2 415956 -2.1133e-10 0
1e-06 2 644947 -1.30255e-10 0
1e-06 2 1e+06 -8.03259e-11 0

2.43835e-06 2 1e-06 -1.02852 0
2.43835e-06 2 1.55052e-06 -1.02537 0
2.43835e-06 2 2.4041e-06 -1.02843 0
2.43835e-06 2 3.72759e-06 -1.03081 0
2.43835e-06 2 5.77969e-06 -1.03085 0
2.43835e-06 2 8.96151e-06 -1.02803 0
2.43835e-06 2 1.3895e-05 -1.02959 0
2.43835e-06 2 2.15443e-05 -1.0198 0
2.43835e-06 2 3.34048e-05 -1.02824 0
2.43835e-06 2 5.17947e-05 -1.0421 0
2.43835e-06 2 8.03086e-05 -1.01335 0
2.43835e-06 2 0.00012452 -1.03044 0
2.43835e-06 2 0.00019307 -1.04368 0
2.43835e-06 2 0.000299358 -1.01896 0
2.43835e-06 2 0.000464159 -0.996359 0
2.43835e-06 2 0.000719686 -1.06091 0
2.43835e-06 2 0.00111588 -1.04085 0
2.43835e-06 2 0.0017302 -1.02251 0
2.43835e-06 2 0.0026827 -1.00561 0
2.43835e-06 2 0.00415956 -0.9898 0
2.43835e-06 2 0.00644947 -1.0607 0
2.43835e-06 2 0.01 -1.04413 0
2.43835e-06 2 0.0155052 -1.02649 0
2.43835e-06 2 0.024041 -1.00641 0
2.43835e-06 2 0.0372759 -0.981926 0
2.43835e-06 2 0.0577969 -0.950156 0
