#q_sq i k_sq Re(fg) Im(fg)
1e-06 11 1e-06 -0.000613482 0
1e-06 11 1.41873e-06 -0.000613481 0
1e-06 11 2.01279e-06 -0.000613479 0
1e-06 11 2.85559e-06 -0.000613477 0
1e-06 11 4.0513e-06 -0.000613475 0
1e-06 11 5.74769e-06 -0.000613471 0
1e-06 11 8.15441e-06 -0.000613466 0
1e-06 11 1.15689e-05 -0.000613458 0
1e-06 11 1.64131e-05 -0.000613447 0
1e-06 11 2.32857e-05 -0.000613432 0
1e-06 11 3.3036e-05 -0.00061341 0
1e-06 11 4.6869e-05 -0.000613379 0
1e-06 11 6.64944e-05 -0.000613335 0
1e-06 11 9.43373e-05 -0.000613273 0
1e-06 11 0.000133839 -0.000613185 0
1e-06 11 0.000189881 -0.000613059 0
1e-06 11 0.000269389 -0.000612882 0
1e-06 11 0.000382189 -0.00061263 0
1e-06 11 0.000542222 -0.000612272 0
1e-06 11 0.000769265 -0.000611766 0
1e-06 11 0.00109138 -0.000611048 0
1e-06 11 0.00154837 -0.00061003 0
1e-06 11 0.00219671 -0.00060859 0
1e-06 11 0.00311653 -0.000606553 0
1e-06 11 0.0044215 -0.000603675 0
1e-06 11 0.0062729 -0.000599615 0
1e-06 11 0.00889953 -0.000593902 0
1e-06 11 0.012626 -0.000585892 0
1e-06 11 0.0179128 -0.000574715 0
1e-06 11 0.0254134 -0.000559227 0
1e-06 11 0.0360547 -0.000537978 0
1e-06 11 0.0511518 -0.000509229 0
1e-06 11 0.0725704 -0.000471091 0
1e-06 11 0.102958 -0.000421918 0
1e-06 11 0.146069 -0.000360972 0
1e-06 11 0.207231 -0.000289536 0
1e-06 11 0.294005 -0.000212228 0
1e-06 11 0.417112 -0.000137283 0
1e-06 11 0.591769 -7.48571e-05 0
1e-06 11 0.839558 -3.24517e-05 0
1e-06 11 1.1911 -1.02162e-05 0
1e-06 11 1.68985 -2.03913e-06 0
1e-06 11 2.39743 -3.72321e-07 0
1e-06 11 3.4013 -8.9026e-08 0
1e-06 11 4.82552 -3.01697e-08 0
1e-06 11 6.8461 -1.85556e-08 0
1e-06 11 9.71274 -5.54847e-09 0
1e-06 11 13.7797 -1.99619e-09 0
1e-06 11 19.5497 -7.58196e-10 0
1e-06 11 27.7356 -2.36478e-10 0
1e-06 11 39.3493 -8.02369e-11 0
1e-06 11 55.8259 -2.8286e-11 0
1e-06 11 79.2016 -9.93693e-12 0
1e-06 11 112.365 -3.60917e-12 0
1e-06 11 159.416 -1.35729e-12 0
1e-06 11 226.168 -5.10443e-13 0
1e-06 11 320.87 -1.92915e-13 0
1e-06 11 455.227 -7.54057e-14 0
1e-06 11 645.842 -3.05038e-14 0
1e-06 11 916.274 -1.20626e-14 0
1e-06 11 1299.94 -4.89492e-15 0
1e-06 11 1844.26 -2.044e-15 0
1e-06 11 2616.5 -8.74651e-16 0
1e-06 11 3712.11 -3.65102e-16 0
1e-06 11 5266.46 -1.53007e-16 0
1e-06 11 7471.67 -6.4472e-17 0
1e-06 11 10600.3 -2.70072e-17 0
1e-06 11 15038.9 -1.11344e-17 0
1e-06 11 21336 -4.48184e-18 0
1e-06 11 30270 -1.75432e-18 0
1e-06 11 42944.9 -6.66969e-19 0
1e-06 11 60927 -2.46381e-19 0
1e-06 11 86438.8 -8.86337e-20 0
1e-06 11 122633 -3.11217e-20 0
1e-06 11 173983 -1.08235e-20 0
