#q_sq i k_sq z Re(w) Im(w)
1e-06 2 1e-06 -0.997264 -1.02886 0
1e-06 2 1e-06 -0.985612 -1.02879 0
1e-06 2 1e-06 -0.964762 -1.02863 0
1e-06 2 1e-06 -0.934906 -1.0282 0
1e-06 2 1e-06 -0.896321 -1.02848 0
1e-06 2 1e-06 -0.849368 -1.02883 0
1e-06 2 1e-06 -0.794484 -1.02855 0
1e-06 2 1e-06 -0.732182 -1.02867 0
1e-06 2 1e-06 -0.663044 -1.02872 0
1e-06 2 1e-06 -0.587716 -1.02853 0
1e-06 2 1e-06 -0.5069 -1.02856 0
1e-06 2 1e-06 -0.421351 -1.029 0
1e-06 2 1e-06 -0.331869 -1.02815 0
1e-06 2 1e-06 -0.239287 -1.02773 0
1e-06 2 1e-06 -0.144472 -1.02912 0
1e-06 2 1e-06 -0.0483077 -1.02911 0
1e-06 2 1e-06 0.0483077 -1.02911 0
1e-06 2 1e-06 0.144472 -1.02912 0
1e-06 2 1e-06 0.239287 -1.02773 0
1e-06 2 1e-06 0.331869 -1.02815 0
1e-06 2 1e-06 0.421351 -1.029 0
1e-06 2 1e-06 0.5069 -1.02856 0
1e-06 2 1e-06 0.587716 -1.02853 0
1e-06 2 1e-06 0.663044 -1.02872 0
1e-06 2 1e-06 0.732182 -1.02867 0
1e-06 2 1e-06 0.794484 -1.02855 0
1e-06 2 1e-06 0.849368 -1.02883 0
1e-06 2 1e-06 0.896321 -1.02848 0
1e-06 2 1e-06 0.934906 -1.0282 0
1e-06 2 1e-06 0.964762 -1.02863 0
1e-06 2 1e-06 0.985612 -1.02879 0
1e-06 2 1e-06 0.997264 -1.02886 0
1e-06 2 1.41873e-06 -0.997264 -1.02893 0
1e-06 2 1.41873e-06 -0.985612 -1.02886 0
1e-06 2 1.41873e-06 -0.964762 -1.02892 0
1e-06 2 1.41873e-06 -0.934906 -1.02862 0
1e-06 2 1.41873e-06 -0.896321 -1.02805 0
1e-06 2 1.41873e-06 -0.849368 -1.02876 0
1e-06 2 1.41873e-06 -0.794484 -1.02882 0
1e-06 2 1.41873e-06 -0.732182 -1.02792 0
1e-06 2 1.41873e-06 -0.663044 -1.02914 0
1e-06 2 1.41873e-06 -0.587716 -1.02814 0
1e-06 2 1.41873e-06 -0.5069 -1.02883 0
1e-06 2 1.41873e-06 -0.421351 -1.02771 0
1e-06 2 1.41873e-06 -0.331869 -1.02958 0
1e-06 2 1.41873e-06 -0.239287 -1.03015 0
1e-06 2 1.41873e-06 -0.144472 -1.02937 0
1e-06 2 1.41873e-06 -0.0483077 -1.02688 0
1e-06 2 1.41873e-06 0.0483077 -1.02688 0
1e-06 2 1.41873e-06 0.144472 -1.02937 0
1e-06 2 1.41873e-06 0.239287 -1.03015 0
