#q_sq i k_sq z Re(fg) Im(fg)
1e-06 1 1e-06 -0.997264 -3.14794e+11 0
1e-06 1 1e-06 -0.985612 -6.0213e+10 0
1e-06 1 1e-06 -0.964762 -2.48474e+10 0
1e-06 1 1e-06 -0.934906 -1.36584e+10 0
1e-06 1 1e-06 -0.896321 -8.74977e+09 0
1e-06 1 1e-06 -0.849368 -6.17528e+09 0
1e-06 1 1e-06 -0.794484 -4.66458e+09 0
1e-06 1 1e-06 -0.732182 -3.70821e+09 0
1e-06 1 1e-06 -0.663044 -3.06988e+09 0
1e-06 1 1e-06 -0.587716 -2.62801e+09 0
1e-06 1 1e-06 -0.5069 -2.31514e+09 0
1e-06 1 1e-06 -0.421351 -2.09161e+09 0
1e-06 1 1e-06 -0.331869 -1.93318e+09 0
1e-06 1 1e-06 -0.239287 -1.82475e+09 0
1e-06 1 1e-06 -0.144472 -1.75694e+09 0
1e-06 1 1e-06 -0.0483077 -1.72429e+09 0
1e-06 1 1e-06 0.0483077 -1.72429e+09 0
1e-06 1 1e-06 0.144472 -1.75694e+09 0
1e-06 1 1e-06 0.239287 -1.82475e+09 0
1e-06 1 1e-06 0.331869 -1.93318e+09 0
1e-06 1 1e-06 0.421351 -2.09161e+09 0
1e-06 1 1e-06 0.5069 -2.31514e+09 0
1e-06 1 1e-06 0.587716 -2.62801e+09 0
1e-06 1 1e-06 0.663044 -3.06988e+09 0
1e-06 1 1e-06 0.732182 -3.70821e+09 0
1e-06 1 1e-06 0.794484 -4.66458e+09 0
1e-06 1 1e-06 0.849368 -6.17528e+09 0
1e-06 1 1e-06 0.896321 -8.74977e+09 0
1e-06 1 1e-06 0.934906 -1.36584e+10 0
1e-06 1 1e-06 0.964762 -2.48474e+10 0
1e-06 1 1e-06 0.985612 -6.0213e+10 0
1e-06 1 1e-06 0.997264 -3.14794e+11 0
1e-06 1 1.41873e-06 -0.997264 -2.21885e+11 0
1e-06 1 1.41873e-06 -0.985612 -4.24415e+10 0
1e-06 1 1.41873e-06 -0.964762 -1.75139e+10 0
1e-06 1 1.41873e-06 -0.934906 -9.6272e+09 0
1e-06 1 1.41873e-06 -0.896321 -6.16734e+09 0
1e-06 1 1.41873e-06 -0.849368 -4.35269e+09 0
1e-06 1 1.41873e-06 -0.794484 -3.28786e+09 0
1e-06 1 1.41873e-06 -0.732182 -2.61376e+09 0
1e-06 1 1.41873e-06 -0.663044 -2.16382e+09 0
1e-06 1 1.41873e-06 -0.587716 -1.85237e+09 0
1e-06 1 1.41873e-06 -0.5069 -1.63184e+09 0
1e-06 1 1.41873e-06 -0.421351 -1.47428e+09 0
1e-06 1 1.41873e-06 -0.331869 -1.36261e+09 0
1e-06 1 1.41873e-06 -0.239287 -1.28618e+09 0
1e-06 1 1.41873e-06 -0.144472 -1.23839e+09 0
1e-06 1 1.41873e-06 -0.0483077 -1.21537e+09 0
1e-06 1 1.41873e-06 0.0483077 -1.21537e+09 0
1e-06 1 1.41873e-06 0.144472 -1.23839e+09 0
1e-06 1 1.41873e-06 0.239287 -1.28618e+09 0
1e-06 1 1.41873e-06 0.331869 -1.36261e+09 0
1e-06 1 1.41873e-06 0.421351 -1.47428e+09 0
1e-06 1 1.41873e-06 0.5069 -1.63184e+09 0
1e-06 1 1.41873e-06 0.587716 -1.85237e+09 0
1e-06 1 1.41873e-06 0.663044 -2.16382e+09 0
1e-06 1 1.41873e-06 0.732182 -2.61376e+09 0
1e-06 1 1.41873e-06 0.794484 -3.28786e+09 0
1e-06 1 1.41873e-06 0.849368 -4.35269e+09 0
1e-06 1 1.41873e-06 0.896321 -6.16734e+09 0
1e-06 1 1.41873e-06 0.934906 -9.6272e+09 0
1e-06 1 1.41873e-06 0.964762 -1.75139e+10 0
1e-06 1 1.41873e-06 0.985612 -4.24415e+10 0
1e-06 1 1.41873e-06 0.997264 -2.21885e+11 0
1e-06 1 2.01279e-06 -0.997264 -1.56397e+11 0
1e-06 1 2.01279e-06 -0.985612 -2.99152e+10 0
1e-06 1 2.01279e-06 -0.964762 -1.23448e+10 0
1e-06 1 2.01279e-06 -0.934906 -6.7858e+09 0
1e-06 1 2.01279e-06 -0.896321 -4.34709e+09 0
1e-06 1 2.01279e-06 -0.849368 -3.06802e+09 0
1e-06 1 2.01279e-06 -0.794484 -2.31747e+09 0
1e-06 1 2.01279e-06 -0.732182 -1.84232e+09 0
1e-06 1 2.01279e-06 -0.663044 -1.52518e+09 0
1e-06 1 2.01279e-06 -0.587716 -1.30565e+09 0
1e-06 1 2.01279e-06 -0.5069 -1.15021e+09 0
1e-06 1 2.01279e-06 -0.421351 -1.03915e+09 0
1e-06 1 2.01279e-06 -0.331869 -9.60444e+08 0
1e-06 1 2.01279e-06 -0.239287 -9.06572e+08 0
1e-06 1 2.01279e-06 -0.144472 -8.72881e+08 0
1e-06 1 2.01279e-06 -0.0483077 -8.56661e+08 0
1e-06 1 2.01279e-06 0.0483077 -8.56661e+08 0
1e-06 1 2.01279e-06 0.144472 -8.72881e+08 0
1e-06 1 2.01279e-06 0.239287 -9.06572e+08 0
1e-06 1 2.01279e-06 0.331869 -9.60444e+08 0
1e-06 1 2.01279e-06 0.421351 -1.03915e+09 0
1e-06 1 2.01279e-06 0.5069 -1.15021e+09 0
1e-06 1 2.01279e-06 0.587716 -1.30565e+09 0
1e-06 1 2.01279e-06 0.663044 -1.52518e+09 0
1e-06 1 2.01279e-06 0.732182 -1.84232e+09 0
1e-06 1 2.01279e-06 0.794484 -2.31747e+09 0
1e-06 1 2.01279e-06 0.849368 -3.06802e+09 0
1e-06 1 2.01279e-06 0.896321 -4.34709e+09 0
1e-06 1 2.01279e-06 0.934906 -6.7858e+09 0
1e-06 1 2.01279e-06 0.964762 -1.23448e+10 0
1e-06 1 2.01279e-06 0.985612 -2.99152e+10 0
1e-06 1 2.01279e-06 0.997264 -1.56397e+11 0
1e-06 1 2.85559e-06 -0.997264 -1.10238e+11 0
1e-06 1 2.85559e-06 -0.985612 -2.1086e+10 0
1e-06 1 2.85559e-06 -0.964762 -8.70131e+09 0
1e-06 1 2.85559e-06 -0.934906 -4.78301e+09 0
1e-06 1 2.85559e-06 -0.896321 -3.06407e+09 0
1e-06 1 2.85559e-06 -0.849368 -2.16251e+09 0
1e-06 1 2.85559e-06 -0.794484 -1.63348e+09 0
1e-06 1 2.85559e-06 -0.732182 -1.29857e+09 0
1e-06 1 2.85559e-06 -0.663044 -1.07503e+09 0
1e-06 1 2.85559e-06 -0.587716 -9.20295e+08 0
1e-06 1 2.85559e-06 -0.5069 -8.10729e+08 0
1e-06 1 2.85559e-06 -0.421351 -7.3245e+08 0
1e-06 1 2.85559e-06 -0.331869 -6.76972e+08 0
1e-06 1 2.85559e-06 -0.239287 -6.39e+08 0
1e-06 1 2.85559e-06 -0.144472 -6.15253e+08 0
1e-06 1 2.85559e-06 -0.0483077 -6.0382e+08 0
1e-06 1 2.85559e-06 0.0483077 -6.0382e+08 0
1e-06 1 2.85559e-06 0.144472 -6.15253e+08 0
1e-06 1 2.85559e-06 0.239287 -6.39e+08 0
1e-06 1 2.85559e-06 0.331869 -6.76972e+08 0
1e-06 1 2.85559e-06 0.421351 -7.3245e+08 0
1e-06 1 2.85559e-06 0.5069 -8.10729e+08 0
1e-06 1 2.85559e-06 0.587716 -9.20295e+08 0
1e-06 1 2.85559e-06 0.663044 -1.07503e+09 0
1e-06 1 2.85559e-06 0.732182 -1.29857e+09 0
1e-06 1 2.85559e-06 0.794484 -1.63348e+09 0
1e-06 1 2.85559e-06 0.849368 -2.16251e+09 0
1e-06 1 2.85559e-06 0.896321 -3.06407e+09 0
1e-06 1 2.85559e-06 0.934906 -4.78301e+09 0
1e-06 1 2.85559e-06 0.964762 -8.70131e+09 0
1e-06 1 2.85559e-06 0.985612 -2.1086e+10 0
1e-06 1 2.85559e-06 0.997264 -1.10238e+11 0
1e-06 1 4.0513e-06 -0.997264 -7.77019e+10 0
1e-06 1 4.0513e-06 -0.985612 -1.48626e+10 0
1e-06 1 4.0513e-06 -0.964762 -6.13318e+09 0
1e-06 1 4.0513e-06 -0.934906 -3.37134e+09 0
1e-06 1 4.0513e-06 -0.896321 -2.15973e+09 0
1e-06 1 4.0513e-06 -0.849368 -1.52426e+09 0
1e-06 1 4.0513e-06 -0.794484 -1.15137e+09 0
1e-06 1 4.0513e-06 -0.732182 -9.15302e+08 0
1e-06 1 4.0513e-06 -0.663044 -7.57739e+08 0
1e-06 1 4.0513e-06 -0.587716 -6.48672e+08 0
1e-06 1 4.0513e-06 -0.5069 -5.71444e+08 0
1e-06 1 4.0513e-06 -0.421351 -5.16269e+08 0
1e-06 1 4.0513e-06 -0.331869 -4.77164e+08 0
1e-06 1 4.0513e-06 -0.239287 -4.50399e+08 0
1e-06 1 4.0513e-06 -0.144472 -4.33661e+08 0
1e-06 1 4.0513e-06 -0.0483077 -4.25602e+08 0
1e-06 1 4.0513e-06 0.0483077 -4.25602e+08 0
1e-06 1 4.0513e-06 0.144472 -4.33661e+08 0
1e-06 1 4.0513e-06 0.239287 -4.50399e+08 0
1e-06 1 4.0513e-06 0.331869 -4.77164e+08 0
1e-06 1 4.0513e-06 0.421351 -5.16269e+08 0
1e-06 1 4.0513e-06 0.5069 -5.71444e+08 0
1e-06 1 4.0513e-06 0.587716 -6.48672e+08 0
1e-06 1 4.0513e-06 0.663044 -7.57739e+08 0
1e-06 1 4.0513e-06 0.732182 -9.15302e+08 0
1e-06 1 4.0513e-06 0.794484 -1.15137e+09 0
1e-06 1 4.0513e-06 0.849368 -1.52426e+09 0
1e-06 1 4.0513e-06 0.896321 -2.15973e+09 0
1e-06 1 4.0513e-06 0.934906 -3.37134e+09 0
1e-06 1 4.0513e-06 0.964762 -6.13318e+09 0
1e-06 1 4.0513e-06 0.985612 -1.48626e+10 0
1e-06 1 4.0513e-06 0.997264 -7.77019e+10 0
1e-06 1 5.74769e-06 -0.997264 -5.47687e+10 0
1e-06 1 5.74769e-06 -0.985612 -1.0476e+10 0
1e-06 1 5.74769e-06 -0.964762 -4.32301e+09 0
1e-06 1 5.74769e-06 -0.934906 -2.37631e+09 0
1e-06 1 5.74769e-06 -0.896321 -1.5223e+09 0
1e-06 1 5.74769e-06 -0.849368 -1.07438e+09 0
1e-06 1 5.74769e-06 -0.794484 -8.11545e+08 0
1e-06 1 5.74769e-06 -0.732182 -6.45153e+08 0
1e-06 1 5.74769e-06 -0.663044 -5.34094e+08 0
1e-06 1 5.74769e-06 -0.587716 -4.57217e+08 0
1e-06 1 5.74769e-06 -0.5069 -4.02782e+08 0
1e-06 1 5.74769e-06 -0.421351 -3.63891e+08 0
1e-06 1 5.74769e-06 -0.331869 -3.36328e+08 0
1e-06 1 5.74769e-06 -0.239287 -3.17463e+08 0
1e-06 1 5.74769e-06 -0.144472 -3.05665e+08 0
1e-06 1 5.74769e-06 -0.0483077 -2.99985e+08 0
1e-06 1 5.74769e-06 0.0483077 -2.99985e+08 0
1e-06 1 5.74769e-06 0.144472 -3.05665e+08 0
1e-06 1 5.74769e-06 0.239287 -3.17463e+08 0
1e-06 1 5.74769e-06 0.331869 -3.36328e+08 0
1e-06 1 5.74769e-06 0.421351 -3.63891e+08 0
1e-06 1 5.74769e-06 0.5069 -4.02782e+08 0
1e-06 1 5.74769e-06 0.587716 -4.57217e+08 0
1e-06 1 5.74769e-06 0.663044 -5.34094e+08 0
1e-06 1 5.74769e-06 0.732182 -6.45153e+08 0
1e-06 1 5.74769e-06 0.794484 -8.11545e+08 0
1e-06 1 5.74769e-06 0.849368 -1.07438e+09 0
1e-06 1 5.74769e-06 0.896321 -1.5223e+09 0
1e-06 1 5.74769e-06 0.934906 -2.37631e+09 0
1e-06 1 5.74769e-06 0.964762 -4.32301e+09 0
1e-06 1 5.74769e-06 0.985612 -1.0476e+10 0
1e-06 1 5.74769e-06 0.997264 -5.47687e+10 0
1e-06 1 8.15441e-06 -0.997264 -3.86042e+10 0
1e-06 1 8.15441e-06 -0.985612 -7.3841e+09 0
1e-06 1 8.15441e-06 -0.964762 -3.0471e+09 0
1e-06 1 8.15441e-06 -0.934906 -1.67496e+09 0
1e-06 1 8.15441e-06 -0.896321 -1.073e+09 0
1e-06 1 8.15441e-06 -0.849368 -7.57282e+08 0
1e-06 1 8.15441e-06 -0.794484 -5.72019e+08 0
1e-06 1 8.15441e-06 -0.732182 -4.54737e+08 0
1e-06 1 8.15441e-06 -0.663044 -3.76456e+08 0
1e-06 1 8.15441e-06 -0.587716 -3.22269e+08 0
1e-06 1 8.15441e-06 -0.5069 -2.839e+08 0
1e-06 1 8.15441e-06 -0.421351 -2.56487e+08 0
1e-06 1 8.15441e-06 -0.331869 -2.37059e+08 0
1e-06 1 8.15441e-06 -0.239287 -2.23762e+08 0
1e-06 1 8.15441e-06 -0.144472 -2.15446e+08 0
1e-06 1 8.15441e-06 -0.0483077 -2.11442e+08 0
1e-06 1 8.15441e-06 0.0483077 -2.11442e+08 0
1e-06 1 8.15441e-06 0.144472 -2.15446e+08 0
1e-06 1 8.15441e-06 0.239287 -2.23762e+08 0
1e-06 1 8.15441e-06 0.331869 -2.37059e+08 0
1e-06 1 8.15441e-06 0.421351 -2.56487e+08 0
1e-06 1 8.15441e-06 0.5069 -2.839e+08 0
1e-06 1 8.15441e-06 0.587716 -3.22269e+08 0
1e-06 1 8.15441e-06 0.663044 -3.76456e+08 0
1e-06 1 8.15441e-06 0.732182 -4.54737e+08 0
1e-06 1 8.15441e-06 0.794484 -5.72019e+08 0
1e-06 1 8.15441e-06 0.849368 -7.57282e+08 0
1e-06 1 8.15441e-06 0.896321 -1.073e+09 0
1e-06 1 8.15441e-06 0.934906 -1.67496e+09 0
1e-06 1 8.15441e-06 0.964762 -3.0471e+09 0
1e-06 1 8.15441e-06 0.985612 -7.3841e+09 0
1e-06 1 8.15441e-06 0.997264 -3.86042e+10 0
1e-06 1 1.15689e-05 -0.997264 -2.72104e+10 0
1e-06 1 1.15689e-05 -0.985612 -5.20473e+09 0
1e-06 1 1.15689e-05 -0.964762 -2.14777e+09 0
1e-06 1 1.15689e-05 -0.934906 -1.1806e+09 0
1e-06 1 1.15689e-05 -0.896321 -7.56308e+08 0
1e-06 1 1.15689e-05 -0.849368 -5.33771e+08 0
1e-06 1 1.15689e-05 -0.794484 -4.03188e+08 0
1e-06 1 1.15689e-05 -0.732182 -3.2052e+08 0
1e-06 1 1.15689e-05 -0.663044 -2.65343e+08 0
1e-06 1 1.15689e-05 -0.587716 -2.27149e+08 0
1e-06 1 1.15689e-05 -0.5069 -2.00105e+08 0
