#q_sq i k_sq z Re(fg) Im(fg)
1e-06 5 1e-06 -0.989401 -8.42381e+11 -0
1e-06 5 1e-06 -0.944575 -1.64804e+11 -0
1e-06 5 1e-06 -0.865631 -7.08556e+10 -0
1e-06 5 1e-06 -0.755404 -4.13688e+10 -0
1e-06 5 1e-06 -0.617876 -2.87309e+10 -0
1e-06 5 1e-06 -0.458017 -2.24776e+10 -0
1e-06 5 1e-06 -0.281604 -1.92922e+10 -0
1e-06 5 1e-06 -0.0950125 -1.79241e+10 -0
1e-06 5 1e-06 0.0950125 -1.79241e+10 -0
1e-06 5 1e-06 0.281604 -1.92922e+10 -0
1e-06 5 1e-06 0.458017 -2.24776e+10 -0
1e-06 5 1e-06 0.617876 -2.87309e+10 -0
1e-06 5 1e-06 0.755404 -4.13688e+10 -0
1e-06 5 1e-06 0.865631 -7.08556e+10 -0
1e-06 5 1e-06 0.944575 -1.64804e+11 -0
1e-06 5 1e-06 0.989401 -8.42381e+11 -0
1e-06 5 1.55052e-06 -0.989401 -5.43291e+11 -0
1e-06 5 1.55052e-06 -0.944575 -1.0629e+11 -0
1e-06 5 1.55052e-06 -0.865631 -4.56981e+10 -0
1e-06 5 1.55052e-06 -0.755404 -2.66806e+10 -0
1e-06 5 1.55052e-06 -0.617876 -1.85299e+10 -0
1e-06 5 1.55052e-06 -0.458017 -1.44969e+10 -0
1e-06 5 1.55052e-06 -0.281604 -1.24424e+10 -0
1e-06 5 1.55052e-06 -0.0950125 -1.15601e+10 -0
1e-06 5 1.55052e-06 0.0950125 -1.15601e+10 -0
1e-06 5 1.55052e-06 0.281604 -1.24424e+10 -0
1e-06 5 1.55052e-06 0.458017 -1.44969e+10 -0
1e-06 5 1.55052e-06 0.617876 -1.85299e+10 -0
1e-06 5 1.55052e-06 0.755404 -2.66806e+10 -0
1e-06 5 1.55052e-06 0.865631 -4.56981e+10 -0
1e-06 5 1.55052e-06 0.944575 -1.0629e+11 -0
1e-06 5 1.55052e-06 0.989401 -5.43291e+11 -0
1e-06 5 2.4041e-06 -0.989401 -3.50393e+11 -0
1e-06 5 2.4041e-06 -0.944575 -6.85512e+10 -0
1e-06 5 2.4041e-06 -0.865631 -2.94728e+10 -0
1e-06 5 2.4041e-06 -0.755404 -1.72076e+10 -0
1e-06 5 2.4041e-06 -0.617876 -1.19508e+10 -0
1e-06 5 2.4041e-06 -0.458017 -9.34969e+09 -0
1e-06 5 2.4041e-06 -0.281604 -8.02468e+09 -0
1e-06 5 2.4041e-06 -0.0950125 -7.45563e+09 -0
