#q_sq i k_sq Re(fg) Im(fg)
1e-06 3 1e-06 -0.840151 0
1e-06 3 1.41873e-06 -0.84015 0
1e-06 3 2.01279e-06 -0.84015 0
1e-06 3 2.85559e-06 -0.840149 0
1e-06 3 4.0513e-06 -0.840147 0
1e-06 3 5.74769e-06 -0.840145 0
1e-06 3 8.15441e-06 -0.840142 0
1e-06 3 1.15689e-05 -0.840137 0
1e-06 3 1.64131e-05 -0.840131 0
1e-06 3 2.32857e-05 -0.840122 0
1e-06 3 3.3036e-05 -0.84011 0
1e-06 3 4.6869e-05 -0.840092 0
1e-06 3 6.64944e-05 -0.840067 0
1e-06 3 9.43373e-05 -0.840032 0
1e-06 3 0.000133839 -0.839982 0
1e-06 3 0.000189881 -0.83991 0
1e-06 3 0.000269389 -0.839809 0
1e-06 3 0.000382189 -0.839665 0
1e-06 3 0.000542222 -0.839462 0
1e-06 3 0.000769265 -0.839172 0
1e-06 3 0.00109138 -0.838763 0
1e-06 3 0.00154837 -0.838181 0
1e-06 3 0.00219671 -0.837357 0
1e-06 3 0.00311653 -0.836189 0
1e-06 3 0.0044215 -0.834535 0
1e-06 3 0.0062729 -0.832193 0
1e-06 3 0.00889953 -0.828879 0
1e-06 3 0.012626 -0.824199 0
1e-06 3 0.0179128 -0.817599 0
1e-06 3 0.0254134 -0.808317 0
1e-06 3 0.0360547 -0.795313 0
1e-06 3 0.0511518 -0.777194 0
1e-06 3 0.0725704 -0.752149 0
1e-06 3 0.102958 -0.717946 0
1e-06 3 0.146069 -0.672042 0
1e-06 3 0.207231 -0.611997 0
1e-06 3 0.294005 -0.536408 0
1e-06 3 0.417112 -0.446363 0
1e-06 3 0.591769 -0.34732 0
1e-06 3 0.839558 -0.250009 0
1e-06 3 1.1911 -0.167499 0
1e-06 3 1.68985 -0.107575 0
1e-06 3 2.39743 -0.0678686 0
1e-06 3 3.4013 -0.0410084 0
1e-06 3 4.82552 -0.02405 0
1e-06 3 6.8461 -0.0157552 0
1e-06 3 9.71274 -0.00899964 0
1e-06 3 13.7797 -0.00469106 0
1e-06 3 19.5497 -0.00350093 0
1e-06 3 27.7356 -0.00190036 0
1e-06 3 39.3493 -0.00110615 0
1e-06 3 55.8259 -0.000740437 0
1e-06 3 79.2016 -0.00048593 0
1e-06 3 112.365 -0.000327979 0
1e-06 3 159.416 -0.000226851 0
1e-06 3 226.168 -0.000154556 0
1e-06 3 320.87 -0.000103609 0
1e-06 3 455.227 -7.05557e-05 0
1e-06 3 645.842 -4.87561e-05 0
1e-06 3 916.274 -3.26283e-05 0
1e-06 3 1299.94 -2.18785e-05 0
1e-06 3 1844.26 -1.48295e-05 0
1e-06 3 2616.5 -1.01235e-05 0
1e-06 3 3712.11 -6.75856e-06 0
1e-06 3 5266.46 -4.47355e-06 0
1e-06 3 7471.67 -2.9498e-06 0
1e-06 3 10600.3 -1.93264e-06 0
1e-06 3 15038.9 -1.25398e-06 0
1e-06 3 21336 -8.03281e-07 0
1e-06 3 30270 -5.0658e-07 0
1e-06 3 42944.9 -3.13702e-07 0
1e-06 3 60927 -1.90313e-07 0
1e-06 3 86438.8 -1.12923e-07 0
1e-06 3 122633 -6.5589e-08 0
1e-06 3 173983 -3.75131e-08 0
1e-06 3 246834 -2.10845e-08 0
1e-06 3 350190 -1.14285e-08 0
1e-06 3 496824 -5.97979e-09 0
1e-06 3 704857 -2.90403e-09 0
1e-06 3 1e+06 -1.09468e-09 0

2.43835e-06 3 1e-06 -0.840151 0
2.43835e-06 3 1.41873e-06 -0.84015 0
2.43835e-06 3 2.01279e-06 -0.840149 0
2.43835e-06 3 2.85559e-06 -0.840148 0
2.43835e-06 3 4.0513e-06 -0.840147 0
2.43835e-06 3 5.74769e-06 -0.840145 0
2.43835e-06 3 8.15441e-06 -0.840142 0
2.43835e-06 3 1.15689e-05 -0.840137 0
2.43835e-06 3 1.64131e-05 -0.840131 0
2.43835e-06 3 2.32857e-05 -0.840122 0
2.43835e-06 3 3.3036e-05 -0.84011 0
2.43835e-06 3 4.6869e-05 -0.840092 0
2.43835e-06 3 6.64944e-05 -0.840067 0
2.43835e-06 3 9.43373e-05 -0.840032 0
2.43835e-06 3 0.000133839 -0.839981 0
2.43835e-06 3 0.000189881 -0.83991 0
2.43835e-06 3 0.000269389 -0.839809 0
2.43835e-06 3 0.000382189 -0.839665 0
2.43835e-06 3 0.000542222 -0.839461 0
2.43835e-06 3 0.000769265 -0.839172 0
2.43835e-06 3 0.00109138 -0.838762 0
