#q_sq i k_sq Re(fg) Im(fg)
1e-06 9 1e-06 -0.49933 0
1e-06 9 1.41873e-06 -0.499328 0
1e-06 9 2.01279e-06 -0.499326 0
1e-06 9 2.85559e-06 -0.499322 0
1e-06 9 4.0513e-06 -0.499317 0
1e-06 9 5.74769e-06 -0.49931 0
1e-06 9 8.15441e-06 -0.4993 0
1e-06 9 1.15689e-05 -0.499285 0
1e-06 9 1.64131e-05 -0.499265 0
1e-06 9 2.32857e-05 -0.499236 0
1e-06 9 3.3036e-05 -0.499194 0
1e-06 9 4.6869e-05 -0.499136 0
1e-06 9 6.64944e-05 -0.499053 0
1e-06 9 9.43373e-05 -0.498935 0
1e-06 9 0.000133839 -0.498768 0
1e-06 9 0.000189881 -0.498531 0
1e-06 9 0.000269389 -0.498195 0
1e-06 9 0.000382189 -0.497718 0
1e-06 9 0.000542222 -0.497042 0
1e-06 9 0.000769265 -0.496084 0
1e-06 9 0.00109138 -0.494726 0
1e-06 9 0.00154837 -0.492802 0
1e-06 9 0.00219671 -0.490081 0
1e-06 9 0.00311653 -0.486231 0
1e-06 9 0.0044215 -0.480793 0
1e-06 9 0.0062729 -0.473131 0
1e-06 9 0.00889953 -0.462362 0
1e-06 9 0.012626 -0.447283 0
1e-06 9 0.0179128 -0.426296 0
1e-06 9 0.0254134 -0.39732 0
1e-06 9 0.0360547 -0.357753 0
1e-06 9 0.0511518 -0.304637 0
1e-06 9 0.0725704 -0.235021 0
1e-06 9 0.102958 -0.146893 0
1e-06 9 0.146069 -0.0410204 0
1e-06 9 0.207231 0.0765011 0
1e-06 9 0.294005 0.191495 0
1e-06 9 0.417112 0.281839 0
1e-06 9 0.591769 0.32514 0
1e-06 9 0.839558 0.314379 0
1e-06 9 1.1911 0.2656 0
1e-06 9 1.68985 0.19778 0
1e-06 9 2.39743 0.124568 0
1e-06 9 3.4013 0.0697408 0
1e-06 9 4.82552 0.0402375 0
1e-06 9 6.8461 0.0218043 0
1e-06 9 9.71274 0.0104315 0
1e-06 9 13.7797 0.00393111 0
1e-06 9 19.5497 0.00252421 0
1e-06 9 27.7356 0.000943384 0
1e-06 9 39.3493 0.000327775 0
1e-06 9 55.8259 0.000173617 0
1e-06 9 79.2016 8.69451e-05 0
1e-06 9 112.365 5.15148e-05 0
1e-06 9 159.416 3.40287e-05 0
1e-06 9 226.168 2.1166e-05 0
1e-06 9 320.87 1.25939e-05 0
1e-06 9 455.227 8.6212e-06 0
1e-06 9 645.842 6.16301e-06 0
1e-06 9 916.274 3.87379e-06 0
1e-06 9 1299.94 2.59697e-06 0
1e-06 9 1844.26 1.97616e-06 0
1e-06 9 2616.5 1.54004e-06 0
1e-06 9 3712.11 1.12333e-06 0
1e-06 9 5266.46 8.26998e-07 0
1e-06 9 7471.67 6.2834e-07 0
1e-06 9 10600.3 4.84026e-07 0
1e-06 9 15038.9 3.71295e-07 0
1e-06 9 21336 2.80019e-07 0
1e-06 9 30270 2.05781e-07 0
1e-06 9 42944.9 1.46462e-07 0
1e-06 9 60927 1.00597e-07 0
1e-06 9 86438.8 6.66514e-08 0
1e-06 9 122633 4.27885e-08 0
1e-06 9 173983 2.67244e-08 0
1e-06 9 246834 1.60515e-08 0
1e-06 9 350190 9.09741e-09 0
1e-06 9 496824 4.81147e-09 0
1e-06 9 704857 2.18685e-09 0
1e-06 9 1e+06 6.78787e-10 0

2.43835e-06 9 1e-06 -0.499328 0
2.43835e-06 9 1.41873e-06 -0.499326 0
2.43835e-06 9 2.01279e-06 -0.499324 0
2.43835e-06 9 2.85559e-06 -0.49932 0
2.43835e-06 9 4.0513e-06 -0.499315 0
