#q_sq i k_sq Re(w) Im(w)
5.94557e-06 1 0.00012452 0.133845 0
5.94557e-06 1 0.00019307 0.134078 0
5.94557e-06 1 0.000299358 0.130998 0
5.94557e-06 1 0.000464159 0.129079 0
5.94557e-06 1 0.000719686 0.136119 0
5.94557e-06 1 0.00111588 0.133172 0
5.94557e-06 1 0.0017302 0.130216 0
5.94557e-06 1 0.0026827 0.127115 0
5.94557e-06 1 0.00415956 0.123666 0
5.94557e-06 1 0.00644947 0.129512 0
5.94557e-06 1 0.01 0.123541 0
5.94557e-06 1 0.0155052 0.115504 0
5.94557e-06 1 0.024041 0.104318 0
5.94557e-06 1 0.0372759 0.0884838 0
5.94557e-06 1 0.0577969 0.0660711 0
5.94557e-06 1 0.0896151 0.034911 0
5.94557e-06 1 0.13895 -0.0066641 0
5.94557e-06 1 0.215443 -0.0580437 0
5.94557e-06 1 0.334048 -0.113239 0
5.94557e-06 1 0.517947 -0.157957 0
5.94557e-06 1 0.803086 -0.172561 0
5.94557e-06 1 1.2452 -0.151314 0
5.94557e-06 1 1.9307 -0.0970687 0
5.94557e-06 1 2.99358 -0.0527587 0
5.94557e-06 1 4.64159 -0.026509 0
5.94557e-06 1 7.19686 -0.0128186 0
5.94557e-06 1 11.1588 -0.00604514 0
5.94557e-06 1 17.302 -0.00280851 0
5.94557e-06 1 26.827 -0.00129721 0
5.94557e-06 1 41.5956 -0.00060052 0
5.94557e-06 1 64.4947 -0.000280605 0
5.94557e-06 1 100 -0.000134434 0
5.94557e-06 1 155.052 -6.83809e-05 0
5.94557e-06 1 240.41 -3.27801e-05 0
5.94557e-06 1 372.759 -1.48445e-05 0
5.94557e-06 1 577.969 -6.9377e-06 0
5.94557e-06 1 896.151 -3.76268e-06 0
5.94557e-06 1 1389.5 -2.17744e-06 0
5.94557e-06 1 2154.43 -1.24608e-06 0
5.94557e-06 1 3340.48 -7.30385e-07 0
5.94557e-06 1 5179.47 -4.29994e-07 0
5.94557e-06 1 8030.86 -2.50049e-07 0
5.94557e-06 1 12452 -1.48629e-07 0
5.94557e-06 1 19307 -8.86924e-08 0
5.94557e-06 1 29935.8 -5.23609e-08 0
5.94557e-06 1 46415.9 -3.14881e-08 0
5.94557e-06 1 71968.6 -1.8749e-08 0
5.94557e-06 1 111588 -1.13496e-08 0
5.94557e-06 1 173020 -6.80908e-09 0
5.94557e-06 1 268270 -4.15002e-09 0
5.94557e-06 1 415956 -2.48954e-09 0
5.94557e-06 1 644947 -1.52562e-09 0
5.94557e-06 1 1e+06 -9.23426e-10 0

1.44974e-05 1 1e-06 0.133123 0
1.44974e-05 1 1.55052e-06 0.133318 0
1.44974e-05 1 2.4041e-06 0.133234 0
1.44974e-05 1 3.72759e-06 0.132604 0
1.44974e-05 1 5.77969e-06 0.132483 0
1.44974e-05 1 8.96151e-06 0.132972 0
1.44974e-05 1 1.3895e-05 0.132994 0
1.44974e-05 1 2.15443e-05 0.132296 0
1.44974e-05 1 3.34048e-05 0.132846 0
1.44974e-05 1 5.17947e-05 0.132888 0
