#q_sq i k_sq Re(fg) Im(fg)
1e-06 7 1e-06 3768.23 -0
1e-06 7 1.55052e-06 2429.9 -0
1e-06 7 2.4041e-06 1566.75 -0
1e-06 7 3.72759e-06 1010.06 -0
1e-06 7 5.77969e-06 651.027 -0
1e-06 7 8.96151e-06 419.469 -0
1e-06 7 1.3895e-05 270.127 -0
1e-06 7 2.15443e-05 173.81 -0
1e-06 7 3.34048e-05 111.69 -0
1e-06 7 5.17947e-05 71.6259 -0
1e-06 7 8.03086e-05 45.7869 -0
1e-06 7 0.00012452 29.1222 -0
1e-06 7 0.00019307 18.3746 -0
1e-06 7 0.000299358 11.4431 -0
1e-06 7 0.000464159 6.97309 -0
1e-06 7 0.000719686 4.09075 -0
1e-06 7 0.00111588 2.23268 -0
1e-06 7 0.0017302 1.03572 -0
1e-06 7 0.0026827 0.2659 -0
1e-06 7 0.00415956 -0.227276 0
1e-06 7 0.00644947 -0.540259 0
1e-06 7 0.01 -0.734312 0
1e-06 7 0.0155052 -0.847596 0
1e-06 7 0.024041 -0.902877 0
1e-06 7 0.0372759 -0.912256 0
1e-06 7 0.0577969 -0.880471 0
1e-06 7 0.0896151 -0.808005 0
1e-06 7 0.13895 -0.694298 0
1e-06 7 0.215443 -0.543294 0
1e-06 7 0.334048 -0.370811 0
1e-06 7 0.517947 -0.20724 0
1e-06 7 0.803086 -0.0876657 0
1e-06 7 1.2452 -0.026734 0
1e-06 7 1.9307 -0.00634554 0
1e-06 7 2.99358 -0.00153031 0
1e-06 7 4.64159 -0.000541059 0
1e-06 7 7.19686 -0.000212939 0
1e-06 7 11.1588 -8.46798e-05 0
1e-06 7 17.302 -3.43013e-05 0
1e-06 7 26.827 -1.37828e-05 0
1e-06 7 41.5956 -5.50493e-06 0
1e-06 7 64.4947 -2.20222e-06 0
1e-06 7 100 -8.81425e-07 0
1e-06 7 155.052 -3.52647e-07 0
1e-06 7 240.41 -1.4131e-07 0
1e-06 7 372.759 -5.66775e-08 0
1e-06 7 577.969 -2.27014e-08 0
1e-06 7 896.151 -9.07745e-09 0
1e-06 7 1389.5 -3.62287e-09 0
1e-06 7 2154.43 -1.43819e-09 0
1e-06 7 3340.48 -5.65941e-10 0
1e-06 7 5179.47 -2.19852e-10 0
1e-06 7 8030.86 -8.38311e-11 0
1e-06 7 12452 -3.11545e-11 0
1e-06 7 19307 -1.11904e-11 0
1e-06 7 29935.8 -3.8562e-12 0
1e-06 7 46415.9 -1.26891e-12 0
1e-06 7 71968.6 -3.98363e-13 0
1e-06 7 111588 -1.19711e-13 0
1e-06 7 173020 -3.4672e-14 0
1e-06 7 268270 -9.74938e-15 0
1e-06 7 415956 -2.68263e-15 0
1e-06 7 644947 -7.27096e-16 0
1e-06 7 1e+06 -1.95298e-16 0

2.43835e-06 7 1e-06 3768.22 -0
2.43835e-06 7 1.55052e-06 2429.9 -0
2.43835e-06 7 2.4041e-06 1566.75 -0
2.43835e-06 7 3.72759e-06 1010.06 -0
2.43835e-06 7 5.77969e-06 651.026 -0
2.43835e-06 7 8.96151e-06 419.469 -0
2.43835e-06 7 1.3895e-05 270.127 -0
2.43835e-06 7 2.15443e-05 173.809 -0
2.43835e-06 7 3.34048e-05 111.69 -0
2.43835e-06 7 5.17947e-05 71.6258 -0
2.43835e-06 7 8.03086e-05 45.7869 -0
2.43835e-06 7 0.00012452 29.1222 -0
2.43835e-06 7 0.00019307 18.3745 -0
2.43835e-06 7 0.000299358 11.4431 -0
2.43835e-06 7 0.000464159 6.97309 -0
2.43835e-06 7 0.000719686 4.09074 -0
2.43835e-06 7 0.00111588 2.23268 -0
2.43835e-06 7 0.0017302 1.03572 -0
2.43835e-06 7 0.0026827 0.265901 -0
2.43835e-06 7 0.00415956 -0.227275 0
2.43835e-06 7 0.00644947 -0.540257 0
2.43835e-06 7 0.01 -0.73431 0
2.43835e-06 7 0.0155052 -0.847594 0
2.43835e-06 7 0.024041 -0.902875 0
2.43835e-06 7 0.0372759 -0.912255 0
2.43835e-06 7 0.0577969 -0.88047 0
2.43835e-06 7 0.0896151 -0.808004 0
2.43835e-06 7 0.13895 -0.694297 0
2.43835e-06 7 0.215443 -0.543293 0
2.43835e-06 7 0.334048 -0.37081 0
2.43835e-06 7 0.517947 -0.20724 0
2.43835e-06 7 0.803086 -0.0876656 0
2.43835e-06 7 1.2452 -0.0267339 0
2.43835e-06 7 1.9307 -0.00634554 0
2.43835e-06 7 2.99358 -0.00153031 0
2.43835e-06 7 4.64159 -0.000541059 0
2.43835e-06 7 7.19686 -0.000212939 0
2.43835e-06 7 11.1588 -8.46798e-05 0
2.43835e-06 7 17.302 -3.43013e-05 0
2.43835e-06 7 26.827 -1.37828e-05 0
2.43835e-06 7 41.5956 -5.50493e-06 0
2.43835e-06 7 64.4947 -2.20222e-06 0
2.43835e-06 7 100 -8.81425e-07 0
2.43835e-06 7 155.052 -3.52647e-07 0
2.43835e-06 7 240.41 -1.4131e-07 0
2.43835e-06 7 372.759 -5.66775e-08 0
2.43835e-06 7 577.969 -2.27014e-08 0
2.43835e-06 7 896.151 -9.07745e-09 0
2.43835e-06 7 1389.5 -3.62287e-09 0
2.43835e-06 7 2154.43 -1.43819e-09 0
2.43835e-06 7 3340.48 -5.65941e-10 0
2.43835e-06 7 5179.47 -2.19852e-10 0
2.43835e-06 7 8030.86 -8.38311e-11 0
2.43835e-06 7 12452 -3.11545e-11 0
2.43835e-06 7 19307 -1.11904e-11 0
2.43835e-06 7 29935.8 -3.8562e-12 0
2.43835e-06 7 46415.9 -1.26891e-12 0
2.43835e-06 7 71968.6 -3.98363e-13 0
2.43835e-06 7 111588 -1.19711e-13 0
2.43835e-06 7 173020 -3.4672e-14 0
2.43835e-06 7 268270 -9.74937e-15 0
2.43835e-06 7 415956 -2.68263e-15 0
2.43835e-06 7 644947 -7.27096e-16 0
