#q_sq i k_sq z Re(fg) Im(fg)
1e-06 4 1e-06 -0.989401 18254.9 -0
1e-06 4 1e-06 -0.944575 18254.9 -0
1e-06 4 1e-06 -0.865631 18254.9 -0
1e-06 4 1e-06 -0.755404 18254.9 -0
1e-06 4 1e-06 -0.617876 18254.9 -0
1e-06 4 1e-06 -0.458017 18254.9 -0
1e-06 4 1e-06 -0.281604 18254.9 -0
1e-06 4 1e-06 -0.0950125 18254.9 -0
1e-06 4 1e-06 0.0950125 18254.9 -0
1e-06 4 1e-06 0.281604 18254.9 -0
1e-06 4 1e-06 0.458017 18254.9 -0
1e-06 4 1e-06 0.617876 18254.9 -0
1e-06 4 1e-06 0.755404 18254.9 -0
1e-06 4 1e-06 0.865631 18254.9 -0
1e-06 4 1e-06 0.944575 18254.9 -0
1e-06 4 1e-06 0.989401 18254.9 -0
1e-06 4 1.55052e-06 -0.989401 18254.9 -0
1e-06 4 1.55052e-06 -0.944575 18254.9 -0
1e-06 4 1.55052e-06 -0.865631 18254.9 -0
1e-06 4 1.55052e-06 -0.755404 18254.9 -0
1e-06 4 1.55052e-06 -0.617876 18254.9 -0
1e-06 4 1.55052e-06 -0.458017 18254.9 -0
1e-06 4 1.55052e-06 -0.281604 18254.9 -0
1e-06 4 1.55052e-06 -0.0950125 18254.9 -0
1e-06 4 1.55052e-06 0.0950125 18254.9 -0
1e-06 4 1.55052e-06 0.281604 18254.9 -0
1e-06 4 1.55052e-06 0.458017 18254.9 -0
1e-06 4 1.55052e-06 0.617876 18254.9 -0
1e-06 4 1.55052e-06 0.755404 18254.9 -0
1e-06 4 1.55052e-06 0.865631 18254.9 -0
1e-06 4 1.55052e-06 0.944575 18254.9 -0
1e-06 4 1.55052e-06 0.989401 18254.9 -0
1e-06 4 2.4041e-06 -0.989401 18254.9 -0
1e-06 4 2.4041e-06 -0.944575 18254.9 -0
1e-06 4 2.4041e-06 -0.865631 18254.9 -0
1e-06 4 2.4041e-06 -0.755404 18254.9 -0
1e-06 4 2.4041e-06 -0.617876 18254.9 -0
1e-06 4 2.4041e-06 -0.458017 18254.9 -0
1e-06 4 2.4041e-06 -0.281604 18254.9 -0
