#q_sq i k_sq z Re(w) Im(w)
1e-06 0 6.64944e-05 0.587716 1.54827 0
1e-06 0 6.64944e-05 0.663044 1.54827 0
1e-06 0 6.64944e-05 0.732182 1.54827 0
1e-06 0 6.64944e-05 0.794484 1.54827 0
1e-06 0 6.64944e-05 0.849368 1.54827 0
1e-06 0 6.64944e-05 0.896321 1.54827 0
1e-06 0 6.64944e-05 0.934906 1.54827 0
1e-06 0 6.64944e-05 0.964762 1.54827 0
1e-06 0 6.64944e-05 0.985612 1.54827 0
1e-06 0 6.64944e-05 0.997264 1.54827 0
1e-06 0 9.43373e-05 -0.997264 1.54827 0
1e-06 0 9.43373e-05 -0.985612 1.54827 0
1e-06 0 9.43373e-05 -0.964762 1.54827 0
1e-06 0 9.43373e-05 -0.934906 1.54827 0
1e-06 0 9.43373e-05 -0.896321 1.54827 0
1e-06 0 9.43373e-05 -0.849368 1.54827 0
1e-06 0 9.43373e-05 -0.794484 1.54827 0
1e-06 0 9.43373e-05 -0.732182 1.54827 0
1e-06 0 9.43373e-05 -0.663044 1.54827 0
1e-06 0 9.43373e-05 -0.587716 1.54827 0
1e-06 0 9.43373e-05 -0.5069 1.54827 0
1e-06 0 9.43373e-05 -0.421351 1.54827 0
1e-06 0 9.43373e-05 -0.331869 1.54827 0
1e-06 0 9.43373e-05 -0.239287 1.54827 0
1e-06 0 9.43373e-05 -0.144472 1.54827 0
1e-06 0 9.43373e-05 -0.0483077 1.54827 0
1e-06 0 9.43373e-05 0.0483077 1.54827 0
1e-06 0 9.43373e-05 0.144472 1.54827 0
1e-06 0 9.43373e-05 0.239287 1.54827 0
1e-06 0 9.43373e-05 0.331869 1.54827 0
1e-06 0 9.43373e-05 0.421351 1.54827 0
1e-06 0 9.43373e-05 0.5069 1.54827 0
1e-06 0 9.43373e-05 0.587716 1.54827 0
1e-06 0 9.43373e-05 0.663044 1.54827 0
1e-06 0 9.43373e-05 0.732182 1.54827 0
1e-06 0 9.43373e-05 0.794484 1.54827 0
1e-06 0 9.43373e-05 0.849368 1.54827 0
1e-06 0 9.43373e-05 0.896321 1.54827 0
1e-06 0 9.43373e-05 0.934906 1.54827 0
1e-06 0 9.43373e-05 0.964762 1.54827 0
1e-06 0 9.43373e-05 0.985612 1.54827 0
1e-06 0 9.43373e-05 0.997264 1.54827 0
1e-06 0 0.000133839 -0.997264 1.54828 0
1e-06 0 0.000133839 -0.985612 1.54828 0
1e-06 0 0.000133839 -0.964762 1.54828 0
1e-06 0 0.000133839 -0.934906 1.54828 0
1e-06 0 0.000133839 -0.896321 1.54828 0
1e-06 0 0.000133839 -0.849368 1.54828 0
1e-06 0 0.000133839 -0.794484 1.54828 0
1e-06 0 0.000133839 -0.732182 1.54828 0
1e-06 0 0.000133839 -0.663044 1.54828 0
1e-06 0 0.000133839 -0.587716 1.54828 0
1e-06 0 0.000133839 -0.5069 1.54828 0
1e-06 0 0.000133839 -0.421351 1.54828 0
1e-06 0 0.000133839 -0.331869 1.54828 0
1e-06 0 0.000133839 -0.239287 1.54828 0
1e-06 0 0.000133839 -0.144472 1.54828 0
1e-06 0 0.000133839 -0.0483077 1.54828 0
1e-06 0 0.000133839 0.0483077 1.54828 0
1e-06 0 0.000133839 0.144472 1.54828 0
1e-06 0 0.000133839 0.239287 1.54828 0
1e-06 0 0.000133839 0.331869 1.54828 0
1e-06 0 0.000133839 0.421351 1.54828 0
1e-06 0 0.000133839 0.5069 1.54828 0
1e-06 0 0.000133839 0.587716 1.54828 0
1e-06 0 0.000133839 0.663044 1.54828 0
1e-06 0 0.000133839 0.732182 1.54828 0
1e-06 0 0.000133839 0.794484 1.54828 0
1e-06 0 0.000133839 0.849368 1.54828 0
1e-06 0 0.000133839 0.896321 1.54828 0
1e-06 0 0.000133839 0.934906 1.54828 0
1e-06 0 0.000133839 0.964762 1.54828 0
1e-06 0 0.000133839 0.985612 1.54828 0
1e-06 0 0.000133839 0.997264 1.54828 0
1e-06 0 0.000189881 -0.997264 1.54829 0
1e-06 0 0.000189881 -0.985612 1.54829 0
1e-06 0 0.000189881 -0.964762 1.54829 0
1e-06 0 0.000189881 -0.934906 1.54829 0
1e-06 0 0.000189881 -0.896321 1.54829 0
1e-06 0 0.000189881 -0.849368 1.54829 0
1e-06 0 0.000189881 -0.794484 1.54829 0
1e-06 0 0.000189881 -0.732182 1.54829 0
1e-06 0 0.000189881 -0.663044 1.54829 0
1e-06 0 0.000189881 -0.587716 1.54829 0
1e-06 0 0.000189881 -0.5069 1.54829 0
1e-06 0 0.000189881 -0.421351 1.54829 0
1e-06 0 0.000189881 -0.331869 1.54829 0
1e-06 0 0.000189881 -0.239287 1.54829 0
1e-06 0 0.000189881 -0.144472 1.54829 0
1e-06 0 0.000189881 -0.0483077 1.54829 0
1e-06 0 0.000189881 0.0483077 1.54829 0
1e-06 0 0.000189881 0.144472 1.54829 0
1e-06 0 0.000189881 0.239287 1.54829 0
1e-06 0 0.000189881 0.331869 1.54829 0
1e-06 0 0.000189881 0.421351 1.54829 0
1e-06 0 0.000189881 0.5069 1.54829 0
1e-06 0 0.000189881 0.587716 1.54829 0
1e-06 0 0.000189881 0.663044 1.54829 0
1e-06 0 0.000189881 0.732182 1.54829 0
