#q_sq i k_sq Re(fg) Im(fg)
1e-06 4 1e-06 9402.58 -0
1e-06 4 1.41873e-06 9402.58 -0
1e-06 4 2.01279e-06 9402.58 -0
1e-06 4 2.85559e-06 9402.58 -0
1e-06 4 4.0513e-06 9402.58 -0
1e-06 4 5.74769e-06 9402.58 -0
1e-06 4 8.15441e-06 9402.59 -0
1e-06 4 1.15689e-05 9402.59 -0
1e-06 4 1.64131e-05 9402.6 -0
1e-06 4 2.32857e-05 9402.61 -0
1e-06 4 3.3036e-05 9402.62 -0
1e-06 4 4.6869e-05 9402.64 -0
1e-06 4 6.64944e-05 9402.67 -0
1e-06 4 9.43373e-05 9402.71 -0
1e-06 4 0.000133839 9402.77 -0
1e-06 4 0.000189881 9402.85 -0
1e-06 4 0.000269389 9402.97 -0
1e-06 4 0.000382189 9403.13 -0
1e-06 4 0.000542222 9403.36 -0
1e-06 4 0.000769265 9403.68 -0
1e-06 4 0.00109138 9404.13 -0
1e-06 4 0.00154837 9404.74 -0
1e-06 4 0.00219671 9405.56 -0
1e-06 4 0.00311653 9406.66 -0
1e-06 4 0.0044215 9408.04 -0
1e-06 4 0.0062729 9409.69 -0
1e-06 4 0.00889953 9411.38 -0
1e-06 4 0.012626 9412.53 -0
1e-06 4 0.0179128 9411.69 -0
1e-06 4 0.0254134 9405.73 -0
1e-06 4 0.0360547 9388.22 -0
1e-06 4 0.0511518 9346.6 -0
1e-06 4 0.0725704 9257.61 -0
1e-06 4 0.102958 9080.81 -0
1e-06 4 0.146069 8751.76 -0
1e-06 4 0.207231 8180.76 -0
1e-06 4 0.294005 7269.68 -0
1e-06 4 0.417112 5963.79 -0
1e-06 4 0.591769 4338.34 -0
1e-06 4 0.839558 2661.54 -0
1e-06 4 1.1911 1310.2 -0
1e-06 4 1.68985 506.814 -0
1e-06 4 2.39743 162.398 -0
1e-06 4 3.4013 51.4171 -0
1e-06 4 4.82552 18.336 -0
1e-06 4 6.8461 7.93601 -0
1e-06 4 9.71274 3.48417 -0
1e-06 4 13.7797 1.46849 -0
1e-06 4 19.5497 0.840292 -0
1e-06 4 27.7356 0.388444 -0
1e-06 4 39.3493 0.1853 -0
1e-06 4 55.8259 0.102965 -0
1e-06 4 79.2016 0.0591613 -0
1e-06 4 112.365 0.0370996 -0
1e-06 4 159.416 0.0245016 -0
1e-06 4 226.168 0.0161706 -0
1e-06 4 320.87 0.0105857 -0
1e-06 4 455.227 0.00708304 -0
1e-06 4 645.842 0.00482332 -0
1e-06 4 916.274 0.00318722 -0
1e-06 4 1299.94 0.00211297 -0
1e-06 4 1844.26 0.00141825 -0
1e-06 4 2616.5 0.000959453 -0
1e-06 4 3712.11 0.000636387 -0
1e-06 4 5266.46 0.000419306 -0
1e-06 4 7471.67 0.00027578 -0
1e-06 4 10600.3 0.000180562 -0
1e-06 4 15038.9 0.000117262 -0
1e-06 4 21336 7.52766e-05 -0
1e-06 4 30270 4.76126e-05 -0
1e-06 4 42944.9 2.95826e-05 -0
1e-06 4 60927 1.80064e-05 -0
1e-06 4 86438.8 1.07161e-05 -0
1e-06 4 122633 6.23859e-06 -0
1e-06 4 173983 3.57005e-06 -0
1e-06 4 246834 2.00403e-06 -0
1e-06 4 350190 1.08549e-06 -0
1e-06 4 496824 5.66545e-07 -0
1e-06 4 704857 2.73921e-07 -0
1e-06 4 1e+06 1.04409e-07 -0

2.43835e-06 4 1e-06 3856.36 -0
2.43835e-06 4 1.41873e-06 3856.36 -0
2.43835e-06 4 2.01279e-06 3856.36 -0
2.43835e-06 4 2.85559e-06 3856.36 -0
2.43835e-06 4 4.0513e-06 3856.36 -0
2.43835e-06 4 5.74769e-06 3856.36 -0
2.43835e-06 4 8.15441e-06 3856.36 -0
2.43835e-06 4 1.15689e-05 3856.36 -0
2.43835e-06 4 1.64131e-05 3856.37 -0
2.43835e-06 4 2.32857e-05 3856.37 -0
2.43835e-06 4 3.3036e-05 3856.38 -0
2.43835e-06 4 4.6869e-05 3856.38 -0
2.43835e-06 4 6.64944e-05 3856.4 -0
2.43835e-06 4 9.43373e-05 3856.41 -0
2.43835e-06 4 0.000133839 3856.44 -0
2.43835e-06 4 0.000189881 3856.47 -0
2.43835e-06 4 0.000269389 3856.52 -0
2.43835e-06 4 0.000382189 3856.59 -0
2.43835e-06 4 0.000542222 3856.68 -0
2.43835e-06 4 0.000769265 3856.81 -0
2.43835e-06 4 0.00109138 3856.99 -0
2.43835e-06 4 0.00154837 3857.24 -0
2.43835e-06 4 0.00219671 3857.58 -0
2.43835e-06 4 0.00311653 3858.03 -0
2.43835e-06 4 0.0044215 3858.6 -0
2.43835e-06 4 0.0062729 3859.27 -0
2.43835e-06 4 0.00889953 3859.96 -0
2.43835e-06 4 0.012626 3860.43 -0
2.43835e-06 4 0.0179128 3860.08 -0
2.43835e-06 4 0.0254134 3857.64 -0
2.43835e-06 4 0.0360547 3850.45 -0
2.43835e-06 4 0.0511518 3833.37 -0
2.43835e-06 4 0.0725704 3796.87 -0
2.43835e-06 4 0.102958 3724.35 -0
2.43835e-06 4 0.146069 3589.39 -0
2.43835e-06 4 0.207231 3355.19 -0
2.43835e-06 4 0.294005 2981.52 -0
2.43835e-06 4 0.417112 2445.93 -0
2.43835e-06 4 0.591769 1779.28 -0
2.43835e-06 4 0.839558 1091.58 -0
2.43835e-06 4 1.1911 537.354 -0
2.43835e-06 4 1.68985 207.86 -0
2.43835e-06 4 2.39743 66.6044 -0
2.43835e-06 4 3.4013 21.0876 -0
2.43835e-06 4 4.82552 7.52005 -0
2.43835e-06 4 6.8461 3.25475 -0
2.43835e-06 4 9.71274 1.42894 -0
2.43835e-06 4 13.7797 0.602264 -0
2.43835e-06 4 19.5497 0.344622 -0
2.43835e-06 4 27.7356 0.159309 -0
2.43835e-06 4 39.3493 0.0759957 -0
2.43835e-06 4 55.8259 0.0422282 -0
2.43835e-06 4 79.2016 0.0242632 -0
2.43835e-06 4 112.365 0.0152152 -0
2.43835e-06 4 159.416 0.0100485 -0
2.43835e-06 4 226.168 0.00663179 -0
2.43835e-06 4 320.87 0.00434135 -0
2.43835e-06 4 455.227 0.00290485 -0
2.43835e-06 4 645.842 0.00197811 -0
2.43835e-06 4 916.274 0.00130712 -0
2.43835e-06 4 1299.94 0.000866558 -0
2.43835e-06 4 1844.26 0.000581644 -0
2.43835e-06 4 2616.5 0.000393484 -0
2.43835e-06 4 3712.11 0.00026099 -0
2.43835e-06 4 5266.46 0.000171963 -0
2.43835e-06 4 7471.67 0.000113101 -0
2.43835e-06 4 10600.3 7.40507e-05 -0
2.43835e-06 4 15038.9 4.80908e-05 -0
2.43835e-06 4 21336 3.08719e-05 -0
2.43835e-06 4 30270 1.95265e-05 -0
2.43835e-06 4 42944.9 1.21322e-05 -0
2.43835e-06 4 60927 7.38464e-06 -0
2.43835e-06 4 86438.8 4.39483e-06 -0
2.43835e-06 4 122633 2.55853e-06 -0
2.43835e-06 4 173983 1.46412e-06 -0
2.43835e-06 4 246834 8.21879e-07 -0
2.43835e-06 4 350190 4.45173e-07 -0
2.43835e-06 4 496824 2.32348e-07 -0
2.43835e-06 4 704857 1.12338e-07 -0
2.43835e-06 4 1e+06 4.28195e-08 -0

5.94557e-06 4 1e-06 1581.78 -0
5.94557e-06 4 1.41873e-06 1581.78 -0
5.94557e-06 4 2.01279e-06 1581.78 -0
5.94557e-06 4 2.85559e-06 1581.78 -0
5.94557e-06 4 4.0513e-06 1581.78 -0
5.94557e-06 4 5.74769e-06 1581.78 -0
5.94557e-06 4 8.15441e-06 1581.78 -0
5.94557e-06 4 1.15689e-05 1581.79 -0
5.94557e-06 4 1.64131e-05 1581.79 -0
5.94557e-06 4 2.32857e-05 1581.79 -0
5.94557e-06 4 3.3036e-05 1581.79 -0
5.94557e-06 4 4.6869e-05 1581.79 -0
5.94557e-06 4 6.64944e-05 1581.8 -0
5.94557e-06 4 9.43373e-05 1581.81 -0
5.94557e-06 4 0.000133839 1581.82 -0
5.94557e-06 4 0.000189881 1581.83 -0
5.94557e-06 4 0.000269389 1581.85 -0
5.94557e-06 4 0.000382189 1581.88 -0
5.94557e-06 4 0.000542222 1581.91 -0
5.94557e-06 4 0.000769265 1581.97 -0
