#q_sq i k_sq Re(fg) Im(fg)
1e-06 8 1e-06 0.921797 0
1e-06 8 1.41873e-06 0.921797 0
1e-06 8 2.01279e-06 0.921796 0
1e-06 8 2.85559e-06 0.921795 0
1e-06 8 4.0513e-06 0.921795 0
1e-06 8 5.74769e-06 0.921793 0
1e-06 8 8.15441e-06 0.921792 0
1e-06 8 1.15689e-05 0.921789 0
1e-06 8 1.64131e-05 0.921786 0
1e-06 8 2.32857e-05 0.921781 0
1e-06 8 3.3036e-05 0.921774 0
1e-06 8 4.6869e-05 0.921765 0
1e-06 8 6.64944e-05 0.921751 0
1e-06 8 9.43373e-05 0.921731 0
1e-06 8 0.000133839 0.921704 0
1e-06 8 0.000189881 0.921665 0
1e-06 8 0.000269389 0.921609 0
1e-06 8 0.000382189 0.92153 0
1e-06 8 0.000542222 0.921418 0
1e-06 8 0.000769265 0.92126 0
1e-06 8 0.00109138 0.921035 0
1e-06 8 0.00154837 0.920717 0
1e-06 8 0.00219671 0.920266 0
1e-06 8 0.00311653 0.919629 0
1e-06 8 0.0044215 0.918728 0
1e-06 8 0.0062729 0.917459 0
1e-06 8 0.00889953 0.915673 0
1e-06 8 0.012626 0.913169 0
1e-06 8 0.0179128 0.909679 0
1e-06 8 0.0254134 0.904847 0
1e-06 8 0.0360547 0.898228 0
1e-06 8 0.0511518 0.889291 0
1e-06 8 0.0725704 0.87748 0
1e-06 8 0.102958 0.862335 0
1e-06 8 0.146069 0.843756 0
1e-06 8 0.207231 0.822411 0
1e-06 8 0.294005 0.800236 0
1e-06 8 0.417112 0.780771 0
1e-06 8 0.591769 0.768632 0
1e-06 8 0.839558 0.767336 0
1e-06 8 1.1911 0.776554 0
1e-06 8 1.68985 0.79267 0
1e-06 8 2.39743 0.813052 0
1e-06 8 3.4013 0.839997 0
1e-06 8 4.82552 0.867008 0
1e-06 8 6.8461 0.87886 0
1e-06 8 9.71274 0.90062 0
1e-06 8 13.7797 0.924541 0
1e-06 8 19.5497 0.923508 0
1e-06 8 27.7356 0.936311 0
1e-06 8 39.3493 0.943945 0
1e-06 8 55.8259 0.945488 0
1e-06 8 79.2016 0.947472 0
1e-06 8 112.365 0.948898 0
1e-06 8 159.416 0.949531 0
1e-06 8 226.168 0.950482 0
1e-06 8 320.87 0.951913 0
1e-06 8 455.227 0.95284 0
1e-06 8 645.842 0.953272 0
1e-06 8 916.274 0.954519 0
1e-06 8 1299.94 0.955741 0
1e-06 8 1844.26 0.956619 0
1e-06 8 2616.5 0.957239 0
1e-06 8 3712.11 0.958297 0
1e-06 8 5266.46 0.959514 0
1e-06 8 7471.67 0.960732 0
1e-06 8 10600.3 0.961945 0
1e-06 8 15038.9 0.963168 0
1e-06 8 21336 0.964417 0
