#q_sq i k_sq Re(fg) Im(fg)
5.94557e-06 5 5.77969e-06 -5.21599e+08 -0
5.94557e-06 5 8.96151e-06 -3.36403e+08 -0
5.94557e-06 5 1.3895e-05 -2.16961e+08 -0
5.94557e-06 5 2.15443e-05 -1.39927e+08 -0
5.94557e-06 5 3.34048e-05 -9.02442e+07 -0
5.94557e-06 5 5.17947e-05 -5.82016e+07 -0
5.94557e-06 5 8.03086e-05 -3.75358e+07 -0
5.94557e-06 5 0.00012452 -2.42075e+07 -0
5.94557e-06 5 0.00019307 -1.56114e+07 -0
5.94557e-06 5 0.000299358 -1.00674e+07 -0
5.94557e-06 5 0.000464159 -6.4918e+06 -0
5.94557e-06 5 0.000719686 -4.18574e+06 -0
5.94557e-06 5 0.00111588 -2.69846e+06 -0
5.94557e-06 5 0.0017302 -1.73924e+06 -0
5.94557e-06 5 0.0026827 -1.12061e+06 -0
5.94557e-06 5 0.00415956 -721636 -0
5.94557e-06 5 0.00644947 -464339 -0
5.94557e-06 5 0.01 -298425 -0
5.94557e-06 5 0.0155052 -191464 -0
5.94557e-06 5 0.024041 -122546 -0
5.94557e-06 5 0.0372759 -78196 -0
5.94557e-06 5 0.0577969 -49729.5 -0
5.94557e-06 5 0.0896151 -31552.4 -0
5.94557e-06 5 0.13895 -20044.5 -0
5.94557e-06 5 0.215443 -12820.9 -0
5.94557e-06 5 0.334048 -8249.88 -0
5.94557e-06 5 0.517947 -5182.74 -0
5.94557e-06 5 0.803086 -2966.55 -0
5.94557e-06 5 1.2452 -1524.82 -0
5.94557e-06 5 1.9307 -698.457 -0
5.94557e-06 5 2.99358 -132.415 -0
5.94557e-06 5 4.64159 72.4045 -0
5.94557e-06 5 7.19686 36.2825 -0
5.94557e-06 5 11.1588 84.9878 -0
5.94557e-06 5 17.302 19.4517 -0
5.94557e-06 5 26.827 -15.2443 -0
5.94557e-06 5 41.5956 -10.7713 -0
5.94557e-06 5 64.4947 -6.5029 -0
5.94557e-06 5 100 -4.0749 -0
5.94557e-06 5 155.052 -2.31996 -0
5.94557e-06 5 240.41 -1.29527 -0
5.94557e-06 5 372.759 -0.80287 -0
5.94557e-06 5 577.969 -0.468139 -0
5.94557e-06 5 896.151 -0.243898 -0
5.94557e-06 5 1389.5 -0.137836 -0
5.94557e-06 5 2154.43 -0.0785567 -0
5.94557e-06 5 3340.48 -0.0430705 -0
5.94557e-06 5 5179.47 -0.0225494 -0
5.94557e-06 5 8030.86 -0.0107467 -0
5.94557e-06 5 12452 -0.0051876 -0
5.94557e-06 5 19307 -0.00242795 -0
5.94557e-06 5 29935.8 -0.00101144 -0
5.94557e-06 5 46415.9 -0.000351964 -0
5.94557e-06 5 71968.6 -5.76514e-05 -0
5.94557e-06 5 111588 6.39298e-05 -0
5.94557e-06 5 173020 5.5694e-05 -0
5.94557e-06 5 268270 5.11115e-05 -0
5.94557e-06 5 415956 3.45587e-05 -0
5.94557e-06 5 644947 1.927e-05 -0
5.94557e-06 5 1e+06 3.261e-06 -0

1.44974e-05 5 1e-06 -1.23637e+09 -0
1.44974e-05 5 1.55052e-06 -7.9739e+08 -0
1.44974e-05 5 2.4041e-06 -5.14274e+08 -0
1.44974e-05 5 3.72759e-06 -3.31679e+08 -0
1.44974e-05 5 5.77969e-06 -2.13915e+08 -0
1.44974e-05 5 8.96151e-06 -1.37963e+08 -0
1.44974e-05 5 1.3895e-05 -8.89784e+07 -0
1.44974e-05 5 2.15443e-05 -5.73858e+07 -0
1.44974e-05 5 3.34048e-05 -3.70103e+07 -0
1.44974e-05 5 5.17947e-05 -2.38692e+07 -0
1.44974e-05 5 8.03086e-05 -1.53939e+07 -0
1.44974e-05 5 0.00012452 -9.92779e+06 -0
1.44974e-05 5 0.00019307 -6.40243e+06 -0
1.44974e-05 5 0.000299358 -4.12876e+06 -0
1.44974e-05 5 0.000464159 -2.66237e+06 -0
1.44974e-05 5 0.000719686 -1.71663e+06 -0
1.44974e-05 5 0.00111588 -1.10667e+06 -0
1.44974e-05 5 0.0017302 -713286 -0
1.44974e-05 5 0.0026827 -459576 -0
1.44974e-05 5 0.00415956 -295952 -0
1.44974e-05 5 0.00644947 -190431 -0
1.44974e-05 5 0.01 -122388 -0
1.44974e-05 5 0.0155052 -78521.6 -0
1.44974e-05 5 0.024041 -50257.6 -0
1.44974e-05 5 0.0372759 -32069 -0
1.44974e-05 5 0.0577969 -20394.5 -0
1.44974e-05 5 0.0896151 -12939.8 -0
1.44974e-05 5 0.13895 -8220.31 -0
1.44974e-05 5 0.215443 -5257.84 -0
1.44974e-05 5 0.334048 -3383.24 -0
1.44974e-05 5 0.517947 -2125.42 -0
1.44974e-05 5 0.803086 -1216.58 -0
1.44974e-05 5 1.2452 -625.33 -0
1.44974e-05 5 1.9307 -286.438 -0
1.44974e-05 5 2.99358 -54.3031 -0
1.44974e-05 5 4.64159 29.6946 -0
1.44974e-05 5 7.19686 14.8801 -0
1.44974e-05 5 11.1588 34.8546 -0
1.44974e-05 5 17.302 7.97741 -0
1.44974e-05 5 26.827 -6.25188 -0
1.44974e-05 5 41.5956 -4.41742 -0
1.44974e-05 5 64.4947 -2.66692 -0
1.44974e-05 5 100 -1.67117 -0
1.44974e-05 5 155.052 -0.951445 -0
1.44974e-05 5 240.41 -0.531205 -0
1.44974e-05 5 372.759 -0.329267 -0
1.44974e-05 5 577.969 -0.19199 -0
1.44974e-05 5 896.151 -0.100026 -0
1.44974e-05 5 1389.5 -0.0565281 -0
1.44974e-05 5 2154.43 -0.0322171 -0
1.44974e-05 5 3340.48 -0.0176638 -0
1.44974e-05 5 5179.47 -0.00924781 -0
1.44974e-05 5 8030.86 -0.00440735 -0
1.44974e-05 5 12452 -0.0021275 -0
1.44974e-05 5 19307 -0.000995734 -0
1.44974e-05 5 29935.8 -0.000414805 -0
1.44974e-05 5 46415.9 -0.000144345 -0
1.44974e-05 5 71968.6 -2.36436e-05 -0
1.44974e-05 5 111588 2.62184e-05 -0
1.44974e-05 5 173020 2.28408e-05 -0
1.44974e-05 5 268270 2.09615e-05 -0
1.44974e-05 5 415956 1.4173e-05 -0
1.44974e-05 5 644947 7.90286e-06 -0
1.44974e-05 5 1e+06 1.33738e-06 -0

3.53498e-05 5 1e-06 -5.07051e+08 -0
