#q_sq i k_sq Re(fg) Im(fg)
1e-06 11 1e-06 -0.000550133 0
1e-06 11 1.55052e-06 -0.000550131 0
1e-06 11 2.4041e-06 -0.00055013 0
1e-06 11 3.72759e-06 -0.000550127 0
1e-06 11 5.77969e-06 -0.000550123 0
1e-06 11 8.96151e-06 -0.000550117 0
1e-06 11 1.3895e-05 -0.000550107 0
1e-06 11 2.15443e-05 -0.000550093 0
1e-06 11 3.34048e-05 -0.000550069 0
1e-06 11 5.17947e-05 -0.000550034 0
1e-06 11 8.03086e-05 -0.000549978 0
1e-06 11 0.00012452 -0.000549892 0
1e-06 11 0.00019307 -0.000549759 0
1e-06 11 0.000299358 -0.000549552 0
1e-06 11 0.000464159 -0.000549232 0
1e-06 11 0.000719686 -0.000548736 0
1e-06 11 0.00111588 -0.000547967 0
1e-06 11 0.0017302 -0.000546777 0
1e-06 11 0.0026827 -0.000544938 0
1e-06 11 0.00415956 -0.000542098 0
1e-06 11 0.00644947 -0.000537725 0
1e-06 11 0.01 -0.000531013 0
1e-06 11 0.0155052 -0.000520773 0
1e-06 11 0.024041 -0.000505285 0
1e-06 11 0.0372759 -0.000482181 0
1e-06 11 0.0577969 -0.000448452 0
1e-06 11 0.0896151 -0.000400806 0
1e-06 11 0.13895 -0.00033688 0
1e-06 11 0.215443 -0.000257777 0
1e-06 11 0.334048 -0.000171182 0
1e-06 11 0.517947 -9.24272e-05 0
1e-06 11 0.803086 -3.75179e-05 0
1e-06 11 1.2452 -1.0098e-05 0
1e-06 11 1.9307 -1.37485e-06 0
1e-06 11 2.99358 -3.0408e-07 0
1e-06 11 4.64159 -5.35845e-08 0
1e-06 11 7.19686 -1.59353e-08 0
1e-06 11 11.1588 -4.52351e-09 0
1e-06 11 17.302 -1.02626e-09 0
1e-06 11 26.827 -2.54796e-10 0
1e-06 11 41.5956 -7.03317e-11 0
1e-06 11 64.4947 -1.96429e-11 0
1e-06 11 100 -5.55669e-12 0
1e-06 11 155.052 -1.64451e-12 0
1e-06 11 240.41 -4.91803e-13 0
1e-06 11 372.759 -1.47246e-13 0
1e-06 11 577.969 -4.61361e-14 0
1e-06 11 896.151 -1.51981e-14 0
1e-06 11 1389.5 -4.97367e-15 0
1e-06 11 2154.43 -1.66223e-15 0
1e-06 11 3340.48 -5.76513e-16 0
1e-06 11 5179.47 -2.0525e-16 0
1e-06 11 8030.86 -7.43608e-17 0
1e-06 11 12452 -2.68564e-17 0
1e-06 11 19307 -9.79556e-18 0
1e-06 11 29935.8 -3.63475e-18 0
1e-06 11 46415.9 -1.36278e-18 0
1e-06 11 71968.6 -5.15352e-19 0
1e-06 11 111588 -1.97029e-19 0
1e-06 11 173020 -7.43114e-20 0
1e-06 11 268270 -2.80357e-20 0
1e-06 11 415956 -1.03615e-20 0
1e-06 11 644947 -3.62064e-21 0
1e-06 11 1e+06 -1.09598e-21 0

2.43835e-06 11 1e-06 -0.000859044 0
2.43835e-06 11 1.55052e-06 -0.000859042 0
2.43835e-06 11 2.4041e-06 -0.000859039 0
2.43835e-06 11 3.72759e-06 -0.000859035 0
2.43835e-06 11 5.77969e-06 -0.000859029 0
2.43835e-06 11 8.96151e-06 -0.000859019 0
2.43835e-06 11 1.3895e-05 -0.000859004 0
2.43835e-06 11 2.15443e-05 -0.000858981 0
2.43835e-06 11 3.34048e-05 -0.000858945 0
2.43835e-06 11 5.17947e-05 -0.000858889 0
2.43835e-06 11 8.03086e-05 -0.000858803 0
2.43835e-06 11 0.00012452 -0.000858668 0
2.43835e-06 11 0.00019307 -0.00085846 0
2.43835e-06 11 0.000299358 -0.000858137 0
2.43835e-06 11 0.000464159 -0.000857637 0
2.43835e-06 11 0.000719686 -0.000856862 0
2.43835e-06 11 0.00111588 -0.000855662 0
2.43835e-06 11 0.0017302 -0.000853804 0
2.43835e-06 11 0.0026827 -0.000850932 0
2.43835e-06 11 0.00415956 -0.000846498 0
2.43835e-06 11 0.00644947 -0.000839668 0
2.43835e-06 11 0.01 -0.000829188 0
2.43835e-06 11 0.0155052 -0.000813197 0
2.43835e-06 11 0.024041 -0.000789013 0
2.43835e-06 11 0.0372759 -0.000752935 0
2.43835e-06 11 0.0577969 -0.000700268 0
2.43835e-06 11 0.0896151 -0.000625867 0
2.43835e-06 11 0.13895 -0.000526046 0
2.43835e-06 11 0.215443 -0.000402525 0
2.43835e-06 11 0.334048 -0.000267305 0
2.43835e-06 11 0.517947 -0.000144327 0
2.43835e-06 11 0.803086 -5.8585e-05 0
2.43835e-06 11 1.2452 -1.57683e-05 0
2.43835e-06 11 1.9307 -2.14687e-06 0
2.43835e-06 11 2.99358 -4.74828e-07 0
2.43835e-06 11 4.64159 -8.36734e-08 0
2.43835e-06 11 7.19686 -2.48833e-08 0
