#q_sq i k_sq z Re(fg) Im(fg)
1e-06 3 1e-06 -0.989401 -0.777323 0
1e-06 3 1e-06 -0.944575 -0.777323 0
1e-06 3 1e-06 -0.865631 -0.777323 0
1e-06 3 1e-06 -0.755404 -0.777323 0
1e-06 3 1e-06 -0.617876 -0.777323 0
1e-06 3 1e-06 -0.458017 -0.777323 0
1e-06 3 1e-06 -0.281604 -0.777323 0
1e-06 3 1e-06 -0.0950125 -0.777323 0
1e-06 3 1e-06 0.0950125 -0.777323 0
1e-06 3 1e-06 0.281604 -0.777323 0
1e-06 3 1e-06 0.458017 -0.777323 0
1e-06 3 1e-06 0.617876 -0.777323 0
1e-06 3 1e-06 0.755404 -0.777323 0
1e-06 3 1e-06 0.865631 -0.777323 0
1e-06 3 1e-06 0.944575 -0.777323 0
1e-06 3 1e-06 0.989401 -0.777323 0
1e-06 3 1.55052e-06 -0.989401 -0.777322 0
1e-06 3 1.55052e-06 -0.944575 -0.777322 0
1e-06 3 1.55052e-06 -0.865631 -0.777322 0
1e-06 3 1.55052e-06 -0.755404 -0.777322 0
1e-06 3 1.55052e-06 -0.617876 -0.777322 0
1e-06 3 1.55052e-06 -0.458017 -0.777322 0
1e-06 3 1.55052e-06 -0.281604 -0.777322 0
1e-06 3 1.55052e-06 -0.0950125 -0.777322 0
1e-06 3 1.55052e-06 0.0950125 -0.777322 0
1e-06 3 1.55052e-06 0.281604 -0.777322 0
1e-06 3 1.55052e-06 0.458017 -0.777322 0
1e-06 3 1.55052e-06 0.617876 -0.777322 0
1e-06 3 1.55052e-06 0.755404 -0.777322 0
1e-06 3 1.55052e-06 0.865631 -0.777322 0
1e-06 3 1.55052e-06 0.944575 -0.777322 0
1e-06 3 1.55052e-06 0.989401 -0.777322 0
1e-06 3 2.4041e-06 -0.989401 -0.777321 0
1e-06 3 2.4041e-06 -0.944575 -0.777321 0
1e-06 3 2.4041e-06 -0.865631 -0.777321 0
1e-06 3 2.4041e-06 -0.755404 -0.777321 0
1e-06 3 2.4041e-06 -0.617876 -0.777321 0
1e-06 3 2.4041e-06 -0.458017 -0.777321 0
1e-06 3 2.4041e-06 -0.281604 -0.777321 0
1e-06 3 2.4041e-06 -0.0950125 -0.777321 0
1e-06 3 2.4041e-06 0.0950125 -0.777321 0
1e-06 3 2.4041e-06 0.281604 -0.777321 0
1e-06 3 2.4041e-06 0.458017 -0.777321 0
1e-06 3 2.4041e-06 0.617876 -0.777321 0
1e-06 3 2.4041e-06 0.755404 -0.777321 0
1e-06 3 2.4041e-06 0.865631 -0.777321 0
1e-06 3 2.4041e-06 0.944575 -0.777321 0
1e-06 3 2.4041e-06 0.989401 -0.777321 0
1e-06 3 3.72759e-06 -0.989401 -0.77732 0
1e-06 3 3.72759e-06 -0.944575 -0.77732 0
1e-06 3 3.72759e-06 -0.865631 -0.77732 0
1e-06 3 3.72759e-06 -0.755404 -0.77732 0
