#q_sq i k_sq z Re(fg) Im(fg)
1e-06 6 1e-06 -0.989401 -8.41152e+11 -0
1e-06 6 1e-06 -0.944575 -1.64564e+11 -0
1e-06 6 1e-06 -0.865631 -7.07523e+10 -0
1e-06 6 1e-06 -0.755404 -4.13085e+10 -0
1e-06 6 1e-06 -0.617876 -2.86891e+10 -0
1e-06 6 1e-06 -0.458017 -2.24449e+10 -0
1e-06 6 1e-06 -0.281604 -1.92641e+10 -0
1e-06 6 1e-06 -0.0950125 -1.7898e+10 -0
1e-06 6 1e-06 0.0950125 -1.7898e+10 -0
1e-06 6 1e-06 0.281604 -1.92641e+10 -0
1e-06 6 1e-06 0.458017 -2.24449e+10 -0
1e-06 6 1e-06 0.617876 -2.86891e+10 -0
1e-06 6 1e-06 0.755404 -4.13085e+10 -0
1e-06 6 1e-06 0.865631 -7.07523e+10 -0
1e-06 6 1e-06 0.944575 -1.64564e+11 -0
1e-06 6 1e-06 0.989401 -8.41152e+11 -0
1e-06 6 1.55052e-06 -0.989401 -5.42498e+11 -0
1e-06 6 1.55052e-06 -0.944575 -1.06135e+11 -0
1e-06 6 1.55052e-06 -0.865631 -4.56315e+10 -0
1e-06 6 1.55052e-06 -0.755404 -2.66418e+10 -0
1e-06 6 1.55052e-06 -0.617876 -1.85029e+10 -0
1e-06 6 1.55052e-06 -0.458017 -1.44758e+10 -0
1e-06 6 1.55052e-06 -0.281604 -1.24243e+10 -0
1e-06 6 1.55052e-06 -0.0950125 -1.15433e+10 -0
1e-06 6 1.55052e-06 0.0950125 -1.15433e+10 -0
1e-06 6 1.55052e-06 0.281604 -1.24243e+10 -0
1e-06 6 1.55052e-06 0.458017 -1.44758e+10 -0
1e-06 6 1.55052e-06 0.617876 -1.85029e+10 -0
1e-06 6 1.55052e-06 0.755404 -2.66418e+10 -0
1e-06 6 1.55052e-06 0.865631 -4.56315e+10 -0
1e-06 6 1.55052e-06 0.944575 -1.06135e+11 -0
1e-06 6 1.55052e-06 0.989401 -5.42498e+11 -0
1e-06 6 2.4041e-06 -0.989401 -3.49882e+11 -0
1e-06 6 2.4041e-06 -0.944575 -6.84512e+10 -0
1e-06 6 2.4041e-06 -0.865631 -2.94298e+10 -0
1e-06 6 2.4041e-06 -0.755404 -1.71825e+10 -0
1e-06 6 2.4041e-06 -0.617876 -1.19334e+10 -0
1e-06 6 2.4041e-06 -0.458017 -9.33612e+09 -0
1e-06 6 2.4041e-06 -0.281604 -8.01304e+09 -0
1e-06 6 2.4041e-06 -0.0950125 -7.44482e+09 -0
1e-06 6 2.4041e-06 0.0950125 -7.44482e+09 -0
1e-06 6 2.4041e-06 0.281604 -8.01304e+09 -0
1e-06 6 2.4041e-06 0.458017 -9.33612e+09 -0
1e-06 6 2.4041e-06 0.617876 -1.19334e+10 -0
1e-06 6 2.4041e-06 0.755404 -1.71825e+10 -0
1e-06 6 2.4041e-06 0.865631 -2.94298e+10 -0
1e-06 6 2.4041e-06 0.944575 -6.84512e+10 -0
1e-06 6 2.4041e-06 0.989401 -3.49882e+11 -0
1e-06 6 3.72759e-06 -0.989401 -2.25655e+11 -0
1e-06 6 3.72759e-06 -0.944575 -4.41473e+10 -0
1e-06 6 3.72759e-06 -0.865631 -1.89807e+10 -0
1e-06 6 3.72759e-06 -0.755404 -1.10818e+10 -0
1e-06 6 3.72759e-06 -0.617876 -7.69643e+09 -0
1e-06 6 3.72759e-06 -0.458017 -6.02132e+09 -0
1e-06 6 3.72759e-06 -0.281604 -5.168e+09 -0
1e-06 6 3.72759e-06 -0.0950125 -4.80153e+09 -0
1e-06 6 3.72759e-06 0.0950125 -4.80153e+09 -0
1e-06 6 3.72759e-06 0.281604 -5.168e+09 -0
1e-06 6 3.72759e-06 0.458017 -6.02132e+09 -0
1e-06 6 3.72759e-06 0.617876 -7.69643e+09 -0
1e-06 6 3.72759e-06 0.755404 -1.10818e+10 -0
1e-06 6 3.72759e-06 0.865631 -1.89807e+10 -0
1e-06 6 3.72759e-06 0.944575 -4.41473e+10 -0
1e-06 6 3.72759e-06 0.989401 -2.25655e+11 -0
1e-06 6 5.77969e-06 -0.989401 -1.45535e+11 -0
1e-06 6 5.77969e-06 -0.944575 -2.84726e+10 -0
1e-06 6 5.77969e-06 -0.865631 -1.22415e+10 -0
1e-06 6 5.77969e-06 -0.755404 -7.14719e+09 -0
1e-06 6 5.77969e-06 -0.617876 -4.9638e+09 -0
1e-06 6 5.77969e-06 -0.458017 -3.88344e+09 -0
1e-06 6 5.77969e-06 -0.281604 -3.33311e+09 -0
1e-06 6 5.77969e-06 -0.0950125 -3.09675e+09 -0
1e-06 6 5.77969e-06 0.0950125 -3.09675e+09 -0
1e-06 6 5.77969e-06 0.281604 -3.33311e+09 -0
