#q_sq i k_sq z Re(fg) Im(fg)
1e-06 1 1e-06 -0.989401 -1.65771e+11 0
1e-06 1 1e-06 -0.944575 -3.24315e+10 0
1e-06 1 1e-06 -0.865631 -1.39435e+10 0
1e-06 1 1e-06 -0.755404 -8.14085e+09 0
1e-06 1 1e-06 -0.617876 -5.65387e+09 0
1e-06 1 1e-06 -0.458017 -4.42329e+09 0
1e-06 1 1e-06 -0.281604 -3.79643e+09 0
1e-06 1 1e-06 -0.0950125 -3.52721e+09 0
1e-06 1 1e-06 0.0950125 -3.52721e+09 0
1e-06 1 1e-06 0.281604 -3.79643e+09 0
1e-06 1 1e-06 0.458017 -4.42329e+09 0
1e-06 1 1e-06 0.617876 -5.65387e+09 0
1e-06 1 1e-06 0.755404 -8.14085e+09 0
1e-06 1 1e-06 0.865631 -1.39435e+10 0
1e-06 1 1e-06 0.944575 -3.24315e+10 0
1e-06 1 1e-06 0.989401 -1.65771e+11 0
1e-06 1 1.55052e-06 -0.989401 -1.06913e+11 0
1e-06 1 1.55052e-06 -0.944575 -2.09166e+10 0
1e-06 1 1.55052e-06 -0.865631 -8.99281e+09 0
1e-06 1 1.55052e-06 -0.755404 -5.2504e+09 0
1e-06 1 1.55052e-06 -0.617876 -3.64643e+09 0
1e-06 1 1.55052e-06 -0.458017 -2.85278e+09 0
1e-06 1 1.55052e-06 -0.281604 -2.44849e+09 0
1e-06 1 1.55052e-06 -0.0950125 -2.27485e+09 0
1e-06 1 1.55052e-06 0.0950125 -2.27485e+09 0
1e-06 1 1.55052e-06 0.281604 -2.44849e+09 0
1e-06 1 1.55052e-06 0.458017 -2.85278e+09 0
1e-06 1 1.55052e-06 0.617876 -3.64643e+09 0
1e-06 1 1.55052e-06 0.755404 -5.2504e+09 0
1e-06 1 1.55052e-06 0.865631 -8.99281e+09 0
1e-06 1 1.55052e-06 0.944575 -2.09166e+10 0
1e-06 1 1.55052e-06 0.989401 -1.06913e+11 0
1e-06 1 2.4041e-06 -0.989401 -6.89533e+10 0
1e-06 1 2.4041e-06 -0.944575 -1.34901e+10 0
1e-06 1 2.4041e-06 -0.865631 -5.79987e+09 0
1e-06 1 2.4041e-06 -0.755404 -3.38622e+09 0
1e-06 1 2.4041e-06 -0.617876 -2.35174e+09 0
1e-06 1 2.4041e-06 -0.458017 -1.83988e+09 0
1e-06 1 2.4041e-06 -0.281604 -1.57913e+09 0
1e-06 1 2.4041e-06 -0.0950125 -1.46715e+09 0
1e-06 1 2.4041e-06 0.0950125 -1.46715e+09 0
1e-06 1 2.4041e-06 0.281604 -1.57913e+09 0
1e-06 1 2.4041e-06 0.458017 -1.83988e+09 0
1e-06 1 2.4041e-06 0.617876 -2.35174e+09 0
1e-06 1 2.4041e-06 0.755404 -3.38622e+09 0
1e-06 1 2.4041e-06 0.865631 -5.79987e+09 0
1e-06 1 2.4041e-06 0.944575 -1.34901e+10 0
1e-06 1 2.4041e-06 0.989401 -6.89533e+10 0
1e-06 1 3.72759e-06 -0.989401 -4.44712e+10 0
1e-06 1 3.72759e-06 -0.944575 -8.70036e+09 0
1e-06 1 3.72759e-06 -0.865631 -3.7406e+09 0
1e-06 1 3.72759e-06 -0.755404 -2.18392e+09 0
1e-06 1 3.72759e-06 -0.617876 -1.51674e+09 0
1e-06 1 3.72759e-06 -0.458017 -1.18661e+09 0
1e-06 1 3.72759e-06 -0.281604 -1.01845e+09 0
1e-06 1 3.72759e-06 -0.0950125 -9.46222e+08 0
1e-06 1 3.72759e-06 0.0950125 -9.46222e+08 0
1e-06 1 3.72759e-06 0.281604 -1.01845e+09 0
1e-06 1 3.72759e-06 0.458017 -1.18661e+09 0
1e-06 1 3.72759e-06 0.617876 -1.51674e+09 0
1e-06 1 3.72759e-06 0.755404 -2.18392e+09 0
1e-06 1 3.72759e-06 0.865631 -3.7406e+09 0
1e-06 1 3.72759e-06 0.944575 -8.70036e+09 0
1e-06 1 3.72759e-06 0.989401 -4.44712e+10 0
1e-06 1 5.77969e-06 -0.989401 -2.86816e+10 0
1e-06 1 5.77969e-06 -0.944575 -5.61126e+09 0
1e-06 1 5.77969e-06 -0.865631 -2.41248e+09 0
1e-06 1 5.77969e-06 -0.755404 -1.4085e+09 0
