#q_sq i k_sq z Re(fg) Im(fg)
1e-06 7 1e-06 -0.989401 165770 -0
1e-06 7 1e-06 -0.944575 32430.6 -0
1e-06 7 1e-06 -0.865631 13942.6 -0
1e-06 7 1e-06 -0.755404 8139.94 -0
1e-06 7 1e-06 -0.617876 5652.96 -0
1e-06 7 1e-06 -0.458017 4422.38 -0
1e-06 7 1e-06 -0.281604 3795.52 -0
1e-06 7 1e-06 -0.0950125 3526.3 -0
1e-06 7 1e-06 0.0950125 3526.3 -0
1e-06 7 1e-06 0.281604 3795.52 -0
1e-06 7 1e-06 0.458017 4422.38 -0
1e-06 7 1e-06 0.617876 5652.96 -0
1e-06 7 1e-06 0.755404 8139.94 -0
1e-06 7 1e-06 0.865631 13942.6 -0
1e-06 7 1e-06 0.944575 32430.6 -0
1e-06 7 1e-06 0.989401 165770 -0
1e-06 7 1.55052e-06 -0.989401 106912 -0
1e-06 7 1.55052e-06 -0.944575 20915.6 -0
1e-06 7 1.55052e-06 -0.865631 8991.9 -0
1e-06 7 1.55052e-06 -0.755404 5249.49 -0
1e-06 7 1.55052e-06 -0.617876 3645.52 -0
1e-06 7 1.55052e-06 -0.458017 2851.87 -0
1e-06 7 1.55052e-06 -0.281604 2447.58 -0
1e-06 7 1.55052e-06 -0.0950125 2273.94 -0
1e-06 7 1.55052e-06 0.0950125 2273.94 -0
1e-06 7 1.55052e-06 0.281604 2447.58 -0
1e-06 7 1.55052e-06 0.458017 2851.87 -0
1e-06 7 1.55052e-06 0.617876 3645.52 -0
1e-06 7 1.55052e-06 0.755404 5249.49 -0
1e-06 7 1.55052e-06 0.865631 8991.9 -0
1e-06 7 1.55052e-06 0.944575 20915.6 -0
1e-06 7 1.55052e-06 0.989401 106912 -0
1e-06 7 2.4041e-06 -0.989401 68952.4 -0
1e-06 7 2.4041e-06 -0.944575 13489.1 -0
1e-06 7 2.4041e-06 -0.865631 5798.96 -0
1e-06 7 2.4041e-06 -0.755404 3385.31 -0
1e-06 7 2.4041e-06 -0.617876 2350.83 -0
1e-06 7 2.4041e-06 -0.458017 1838.97 -0
1e-06 7 2.4041e-06 -0.281604 1578.22 -0
1e-06 7 2.4041e-06 -0.0950125 1466.24 -0
1e-06 7 2.4041e-06 0.0950125 1466.24 -0
1e-06 7 2.4041e-06 0.281604 1578.22 -0
1e-06 7 2.4041e-06 0.458017 1838.97 -0
1e-06 7 2.4041e-06 0.617876 2350.83 -0
1e-06 7 2.4041e-06 0.755404 3385.31 -0
1e-06 7 2.4041e-06 0.865631 5798.96 -0
1e-06 7 2.4041e-06 0.944575 13489.1 -0
1e-06 7 2.4041e-06 0.989401 68952.4 -0
1e-06 7 3.72759e-06 -0.989401 44470.3 -0
1e-06 7 3.72759e-06 -0.944575 8699.45 -0
1e-06 7 3.72759e-06 -0.865631 3739.69 -0
1e-06 7 3.72759e-06 -0.755404 2183.01 -0
1e-06 7 3.72759e-06 -0.617876 1515.83 -0
1e-06 7 3.72759e-06 -0.458017 1185.7 -0
1e-06 7 3.72759e-06 -0.281604 1017.53 -0
1e-06 7 3.72759e-06 -0.0950125 945.311 -0
1e-06 7 3.72759e-06 0.0950125 945.311 -0
1e-06 7 3.72759e-06 0.281604 1017.53 -0
1e-06 7 3.72759e-06 0.458017 1185.7 -0
1e-06 7 3.72759e-06 0.617876 1515.83 -0
1e-06 7 3.72759e-06 0.755404 2183.01 -0
1e-06 7 3.72759e-06 0.865631 3739.69 -0
1e-06 7 3.72759e-06 0.944575 8699.45 -0
1e-06 7 3.72759e-06 0.989401 44470.3 -0
1e-06 7 5.77969e-06 -0.989401 28680.7 -0
1e-06 7 5.77969e-06 -0.944575 5610.35 -0
1e-06 7 5.77969e-06 -0.865631 2411.57 -0
1e-06 7 5.77969e-06 -0.755404 1407.59 -0
1e-06 7 5.77969e-06 -0.617876 977.294 -0
1e-06 7 5.77969e-06 -0.458017 764.381 -0
1e-06 7 5.77969e-06 -0.281604 655.922 -0
1e-06 7 5.77969e-06 -0.0950125 609.341 -0
1e-06 7 5.77969e-06 0.0950125 609.341 -0
1e-06 7 5.77969e-06 0.281604 655.922 -0
1e-06 7 5.77969e-06 0.458017 764.381 -0
1e-06 7 5.77969e-06 0.617876 977.294 -0
1e-06 7 5.77969e-06 0.755404 1407.59 -0
1e-06 7 5.77969e-06 0.865631 2411.57 -0
1e-06 7 5.77969e-06 0.944575 5610.35 -0
1e-06 7 5.77969e-06 0.989401 28680.7 -0
1e-06 7 8.96151e-06 -0.989401 18497.2 -0
1e-06 7 8.96151e-06 -0.944575 3618.04 -0
1e-06 7 8.96151e-06 -0.865631 1555 -0
1e-06 7 8.96151e-06 -0.755404 907.488 -0
1e-06 7 8.96151e-06 -0.617876 629.969 -0
1e-06 7 8.96151e-06 -0.458017 492.651 -0
1e-06 7 8.96151e-06 -0.281604 422.701 -0
1e-06 7 8.96151e-06 -0.0950125 392.659 -0
1e-06 7 8.96151e-06 0.0950125 392.659 -0
1e-06 7 8.96151e-06 0.281604 422.701 -0
1e-06 7 8.96151e-06 0.458017 492.651 -0
1e-06 7 8.96151e-06 0.617876 629.969 -0
1e-06 7 8.96151e-06 0.755404 907.488 -0
1e-06 7 8.96151e-06 0.865631 1555 -0
1e-06 7 8.96151e-06 0.944575 3618.04 -0
1e-06 7 8.96151e-06 0.989401 18497.2 -0
1e-06 7 1.3895e-05 -0.989401 11929.4 -0
1e-06 7 1.3895e-05 -0.944575 2333.11 -0
1e-06 7 1.3895e-05 -0.865631 1002.56 -0
1e-06 7 1.3895e-05 -0.755404 584.948 -0
1e-06 7 1.3895e-05 -0.617876 405.963 -0
1e-06 7 1.3895e-05 -0.458017 317.4 -0
1e-06 7 1.3895e-05 -0.281604 272.285 -0
1e-06 7 1.3895e-05 -0.0950125 252.91 -0
1e-06 7 1.3895e-05 0.0950125 252.91 -0
1e-06 7 1.3895e-05 0.281604 272.285 -0
1e-06 7 1.3895e-05 0.458017 317.4 -0
1e-06 7 1.3895e-05 0.617876 405.963 -0
1e-06 7 1.3895e-05 0.755404 584.948 -0
1e-06 7 1.3895e-05 0.865631 1002.56 -0
1e-06 7 1.3895e-05 0.944575 2333.11 -0
1e-06 7 1.3895e-05 0.989401 11929.4 -0
1e-06 7 2.15443e-05 -0.989401 7693.49 -0
1e-06 7 2.15443e-05 -0.944575 1504.4 -0
1e-06 7 2.15443e-05 -0.865631 646.263 -0
1e-06 7 2.15443e-05 -0.755404 376.927 -0
1e-06 7 2.15443e-05 -0.617876 261.49 -0
1e-06 7 2.15443e-05 -0.458017 204.372 -0
1e-06 7 2.15443e-05 -0.281604 175.275 -0
1e-06 7 2.15443e-05 -0.0950125 162.779 -0
1e-06 7 2.15443e-05 0.0950125 162.779 -0
1e-06 7 2.15443e-05 0.281604 175.275 -0
1e-06 7 2.15443e-05 0.458017 204.372 -0
1e-06 7 2.15443e-05 0.617876 261.49 -0
1e-06 7 2.15443e-05 0.755404 376.927 -0
1e-06 7 2.15443e-05 0.865631 646.263 -0
1e-06 7 2.15443e-05 0.944575 1504.4 -0
1e-06 7 2.15443e-05 0.989401 7693.49 -0
1e-06 7 3.34048e-05 -0.989401 4961.57 -0
1e-06 7 3.34048e-05 -0.944575 969.929 -0
1e-06 7 3.34048e-05 -0.865631 416.472 -0
1e-06 7 3.34048e-05 -0.755404 242.764 -0
1e-06 7 3.34048e-05 -0.617876 168.314 -0
1e-06 7 3.34048e-05 -0.458017 131.475 -0
1e-06 7 3.34048e-05 -0.281604 112.709 -0
1e-06 7 3.34048e-05 -0.0950125 104.65 -0
1e-06 7 3.34048e-05 0.0950125 104.65 -0
1e-06 7 3.34048e-05 0.281604 112.709 -0
1e-06 7 3.34048e-05 0.458017 131.475 -0
1e-06 7 3.34048e-05 0.617876 168.314 -0
1e-06 7 3.34048e-05 0.755404 242.764 -0
1e-06 7 3.34048e-05 0.865631 416.472 -0
1e-06 7 3.34048e-05 0.944575 969.929 -0
1e-06 7 3.34048e-05 0.989401 4961.57 -0
1e-06 7 5.17947e-05 -0.989401 3199.63 -0
1e-06 7 5.17947e-05 -0.944575 625.221 -0
1e-06 7 5.17947e-05 -0.865631 268.27 -0
1e-06 7 5.17947e-05 -0.755404 156.236 -0
1e-06 7 5.17947e-05 -0.617876 108.219 -0
1e-06 7 5.17947e-05 -0.458017 84.4605 -0
