#q_sq i k_sq Re(fg) Im(fg)
1e-06 2 1e-06 -0.0852662 0
1e-06 2 1.55052e-06 -0.0852657 0
1e-06 2 2.4041e-06 -0.085265 0
1e-06 2 3.72759e-06 -0.085264 0
1e-06 2 5.77969e-06 -0.0852623 0
1e-06 2 8.96151e-06 -0.0852597 0
1e-06 2 1.3895e-05 -0.0852557 0
1e-06 2 2.15443e-05 -0.0852496 0
1e-06 2 3.34048e-05 -0.08524 0
1e-06 2 5.17947e-05 -0.0852251 0
1e-06 2 8.03086e-05 -0.0852021 0
1e-06 2 0.00012452 -0.0851664 0
1e-06 2 0.00019307 -0.0851111 0
1e-06 2 0.000299358 -0.0850254 0
1e-06 2 0.000464159 -0.0848926 0
1e-06 2 0.000719686 -0.0846869 0
1e-06 2 0.00111588 -0.0843686 0
1e-06 2 0.0017302 -0.0838764 0
1e-06 2 0.0026827 -0.0831164 0
1e-06 2 0.00415956 -0.081946 0
1e-06 2 0.00644947 -0.0801498 0
1e-06 2 0.01 -0.0774091 0
1e-06 2 0.0155052 -0.0732645 0
1e-06 2 0.024041 -0.0670829 0
1e-06 2 0.0372759 -0.0580617 0
1e-06 2 0.0577969 -0.0453422 0
1e-06 2 0.0896151 -0.0283609 0
1e-06 2 0.13895 -0.0076295 0
1e-06 2 0.215443 0.0140764 0
1e-06 2 0.334048 0.0309831 0
1e-06 2 0.517947 0.0362082 0
1e-06 2 0.803086 0.0281443 0
1e-06 2 1.2452 0.0150294 0
1e-06 2 1.9307 0.00602086 0
1e-06 2 2.99358 0.00225101 0
1e-06 2 4.64159 0.00122042 0
1e-06 2 7.19686 0.000740378 0
1e-06 2 11.1588 0.00046262 0
1e-06 2 17.302 0.000290047 0
1e-06 2 26.827 0.000180657 0
1e-06 2 41.5956 0.000112222 0
1e-06 2 64.4947 6.98201e-05 0
1e-06 2 100 4.34445e-05 0
1e-06 2 155.052 2.70268e-05 0
1e-06 2 240.41 1.68446e-05 0
1e-06 2 372.759 1.05161e-05 0
1e-06 2 577.969 6.56764e-06 0
1e-06 2 896.151 4.10594e-06 0
1e-06 2 1389.5 2.57225e-06 0
1e-06 2 2154.43 1.61302e-06 0
1e-06 2 3340.48 1.01225e-06 0
1e-06 2 5179.47 6.35858e-07 0
1e-06 2 8030.86 3.99848e-07 0
1e-06 2 12452 2.5172e-07 0
1e-06 2 19307 1.58587e-07 0
1e-06 2 29935.8 9.99753e-08 0
1e-06 2 46415.9 6.30697e-08 0
1e-06 2 71968.6 3.98149e-08 0
1e-06 2 111588 2.51517e-08 0
1e-06 2 173020 1.59014e-08 0
1e-06 2 268270 1.00588e-08 0
1e-06 2 415956 6.36691e-09 0
1e-06 2 644947 4.0325e-09 0
1e-06 2 1e+06 2.5548e-09 0

2.43835e-06 2 1e-06 -0.0852661 0
2.43835e-06 2 1.55052e-06 -0.0852657 0
2.43835e-06 2 2.4041e-06 -0.085265 0
2.43835e-06 2 3.72759e-06 -0.0852639 0
2.43835e-06 2 5.77969e-06 -0.0852622 0
2.43835e-06 2 8.96151e-06 -0.0852597 0
2.43835e-06 2 1.3895e-05 -0.0852557 0
2.43835e-06 2 2.15443e-05 -0.0852495 0
2.43835e-06 2 3.34048e-05 -0.0852399 0
2.43835e-06 2 5.17947e-05 -0.0852251 0
2.43835e-06 2 8.03086e-05 -0.0852021 0
2.43835e-06 2 0.00012452 -0.0851664 0
2.43835e-06 2 0.00019307 -0.0851111 0
2.43835e-06 2 0.000299358 -0.0850254 0
2.43835e-06 2 0.000464159 -0.0848926 0
2.43835e-06 2 0.000719686 -0.0846869 0
2.43835e-06 2 0.00111588 -0.0843686 0
2.43835e-06 2 0.0017302 -0.0838763 0
2.43835e-06 2 0.0026827 -0.0831164 0
2.43835e-06 2 0.00415956 -0.0819459 0
2.43835e-06 2 0.00644947 -0.0801497 0
2.43835e-06 2 0.01 -0.0774091 0
2.43835e-06 2 0.0155052 -0.0732645 0
2.43835e-06 2 0.024041 -0.0670828 0
2.43835e-06 2 0.0372759 -0.0580616 0
2.43835e-06 2 0.0577969 -0.0453422 0
2.43835e-06 2 0.0896151 -0.0283609 0
2.43835e-06 2 0.13895 -0.00762951 0
2.43835e-06 2 0.215443 0.0140763 0
2.43835e-06 2 0.334048 0.0309831 0
2.43835e-06 2 0.517947 0.0362081 0
2.43835e-06 2 0.803086 0.0281443 0
2.43835e-06 2 1.2452 0.0150294 0
2.43835e-06 2 1.9307 0.00602086 0
2.43835e-06 2 2.99358 0.00225101 0
2.43835e-06 2 4.64159 0.00122042 0
2.43835e-06 2 7.19686 0.000740378 0
2.43835e-06 2 11.1588 0.00046262 0
2.43835e-06 2 17.302 0.000290047 0
2.43835e-06 2 26.827 0.000180657 0
2.43835e-06 2 41.5956 0.000112222 0
2.43835e-06 2 64.4947 6.98201e-05 0
2.43835e-06 2 100 4.34445e-05 0
2.43835e-06 2 155.052 2.70268e-05 0
2.43835e-06 2 240.41 1.68446e-05 0
2.43835e-06 2 372.759 1.05161e-05 0
2.43835e-06 2 577.969 6.56764e-06 0
2.43835e-06 2 896.151 4.10594e-06 0
2.43835e-06 2 1389.5 2.57225e-06 0
2.43835e-06 2 2154.43 1.61302e-06 0
2.43835e-06 2 3340.48 1.01225e-06 0
2.43835e-06 2 5179.47 6.35857e-07 0
2.43835e-06 2 8030.86 3.99848e-07 0
2.43835e-06 2 12452 2.5172e-07 0
2.43835e-06 2 19307 1.58587e-07 0
2.43835e-06 2 29935.8 9.99753e-08 0
2.43835e-06 2 46415.9 6.30697e-08 0
