#q_sq i k_sq z Re(fg) Im(fg)
1e-06 2 1.3895e-05 0.865631 -0.085256 0
1e-06 2 1.3895e-05 0.944575 -0.085256 0
1e-06 2 1.3895e-05 0.989401 -0.085256 0
1e-06 2 2.15443e-05 -0.989401 -0.08525 0
1e-06 2 2.15443e-05 -0.944575 -0.08525 0
1e-06 2 2.15443e-05 -0.865631 -0.0852499 0
1e-06 2 2.15443e-05 -0.755404 -0.0852498 0
1e-06 2 2.15443e-05 -0.617876 -0.0852497 0
1e-06 2 2.15443e-05 -0.458017 -0.0852497 0
1e-06 2 2.15443e-05 -0.281604 -0.0852496 0
1e-06 2 2.15443e-05 -0.0950125 -0.0852496 0
1e-06 2 2.15443e-05 0.0950125 -0.0852496 0
1e-06 2 2.15443e-05 0.281604 -0.0852496 0
1e-06 2 2.15443e-05 0.458017 -0.0852497 0
1e-06 2 2.15443e-05 0.617876 -0.0852497 0
1e-06 2 2.15443e-05 0.755404 -0.0852498 0
1e-06 2 2.15443e-05 0.865631 -0.0852499 0
1e-06 2 2.15443e-05 0.944575 -0.08525 0
1e-06 2 2.15443e-05 0.989401 -0.08525 0
1e-06 2 3.34048e-05 -0.989401 -0.0852407 0
1e-06 2 3.34048e-05 -0.944575 -0.0852406 0
1e-06 2 3.34048e-05 -0.865631 -0.0852405 0
1e-06 2 3.34048e-05 -0.755404 -0.0852404 0
1e-06 2 3.34048e-05 -0.617876 -0.0852402 0
1e-06 2 3.34048e-05 -0.458017 -0.0852401 0
1e-06 2 3.34048e-05 -0.281604 -0.08524 0
1e-06 2 3.34048e-05 -0.0950125 -0.08524 0
1e-06 2 3.34048e-05 0.0950125 -0.08524 0
1e-06 2 3.34048e-05 0.281604 -0.08524 0
1e-06 2 3.34048e-05 0.458017 -0.0852401 0
1e-06 2 3.34048e-05 0.617876 -0.0852402 0
1e-06 2 3.34048e-05 0.755404 -0.0852404 0
1e-06 2 3.34048e-05 0.865631 -0.0852405 0
1e-06 2 3.34048e-05 0.944575 -0.0852406 0
1e-06 2 3.34048e-05 0.989401 -0.0852407 0
1e-06 2 5.17947e-05 -0.989401 -0.0852262 0
1e-06 2 5.17947e-05 -0.944575 -0.0852261 0
1e-06 2 5.17947e-05 -0.865631 -0.0852259 0
1e-06 2 5.17947e-05 -0.755404 -0.0852257 0
1e-06 2 5.17947e-05 -0.617876 -0.0852255 0
1e-06 2 5.17947e-05 -0.458017 -0.0852254 0
1e-06 2 5.17947e-05 -0.281604 -0.0852252 0
1e-06 2 5.17947e-05 -0.0950125 -0.0852251 0
1e-06 2 5.17947e-05 0.0950125 -0.0852251 0
1e-06 2 5.17947e-05 0.281604 -0.0852252 0
1e-06 2 5.17947e-05 0.458017 -0.0852254 0
1e-06 2 5.17947e-05 0.617876 -0.0852255 0
1e-06 2 5.17947e-05 0.755404 -0.0852257 0
1e-06 2 5.17947e-05 0.865631 -0.0852259 0
1e-06 2 5.17947e-05 0.944575 -0.0852261 0
1e-06 2 5.17947e-05 0.989401 -0.0852262 0
1e-06 2 8.03086e-05 -0.989401 -0.0852037 0
1e-06 2 8.03086e-05 -0.944575 -0.0852036 0
1e-06 2 8.03086e-05 -0.865631 -0.0852033 0
1e-06 2 8.03086e-05 -0.755404 -0.0852031 0
1e-06 2 8.03086e-05 -0.617876 -0.0852027 0
1e-06 2 8.03086e-05 -0.458017 -0.0852025 0
1e-06 2 8.03086e-05 -0.281604 -0.0852022 0
1e-06 2 8.03086e-05 -0.0950125 -0.0852021 0
1e-06 2 8.03086e-05 0.0950125 -0.0852021 0
1e-06 2 8.03086e-05 0.281604 -0.0852022 0
1e-06 2 8.03086e-05 0.458017 -0.0852025 0
1e-06 2 8.03086e-05 0.617876 -0.0852027 0
1e-06 2 8.03086e-05 0.755404 -0.0852031 0
1e-06 2 8.03086e-05 0.865631 -0.0852033 0
1e-06 2 8.03086e-05 0.944575 -0.0852036 0
1e-06 2 8.03086e-05 0.989401 -0.0852037 0
1e-06 2 0.00012452 -0.989401 -0.0851689 0
1e-06 2 0.00012452 -0.944575 -0.0851687 0
