#q_sq i k_sq z Re(w) Im(w)
1e-06 2 2.15443e-05 -0.989401 -1.04812 0
1e-06 2 2.15443e-05 -0.944575 -1.04812 0
1e-06 2 2.15443e-05 -0.865631 -1.04812 0
1e-06 2 2.15443e-05 -0.755404 -1.04812 0
1e-06 2 2.15443e-05 -0.617876 -1.04812 0
1e-06 2 2.15443e-05 -0.458017 -1.04812 0
1e-06 2 2.15443e-05 -0.281604 -1.04812 0
1e-06 2 2.15443e-05 -0.0950125 -1.04812 0
1e-06 2 2.15443e-05 0.0950125 -1.04812 0
1e-06 2 2.15443e-05 0.281604 -1.04812 0
1e-06 2 2.15443e-05 0.458017 -1.04812 0
1e-06 2 2.15443e-05 0.617876 -1.04812 0
1e-06 2 2.15443e-05 0.755404 -1.04812 0
1e-06 2 2.15443e-05 0.865631 -1.04812 0
1e-06 2 2.15443e-05 0.944575 -1.04812 0
1e-06 2 2.15443e-05 0.989401 -1.04812 0
1e-06 2 3.34048e-05 -0.989401 -1.04812 0
1e-06 2 3.34048e-05 -0.944575 -1.04812 0
1e-06 2 3.34048e-05 -0.865631 -1.04812 0
1e-06 2 3.34048e-05 -0.755404 -1.04812 0
1e-06 2 3.34048e-05 -0.617876 -1.04812 0
1e-06 2 3.34048e-05 -0.458017 -1.04812 0
1e-06 2 3.34048e-05 -0.281604 -1.04812 0
1e-06 2 3.34048e-05 -0.0950125 -1.04812 0
1e-06 2 3.34048e-05 0.0950125 -1.04812 0
1e-06 2 3.34048e-05 0.281604 -1.04812 0
1e-06 2 3.34048e-05 0.458017 -1.04812 0
1e-06 2 3.34048e-05 0.617876 -1.04812 0
1e-06 2 3.34048e-05 0.755404 -1.04812 0
1e-06 2 3.34048e-05 0.865631 -1.04812 0
1e-06 2 3.34048e-05 0.944575 -1.04812 0
1e-06 2 3.34048e-05 0.989401 -1.04812 0
1e-06 2 5.17947e-05 -0.989401 -1.04812 0
1e-06 2 5.17947e-05 -0.944575 -1.04812 0
1e-06 2 5.17947e-05 -0.865631 -1.04812 0
1e-06 2 5.17947e-05 -0.755404 -1.04812 0
1e-06 2 5.17947e-05 -0.617876 -1.04812 0
1e-06 2 5.17947e-05 -0.458017 -1.04812 0
1e-06 2 5.17947e-05 -0.281604 -1.04812 0
1e-06 2 5.17947e-05 -0.0950125 -1.04812 0
1e-06 2 5.17947e-05 0.0950125 -1.04812 0
1e-06 2 5.17947e-05 0.281604 -1.04812 0
1e-06 2 5.17947e-05 0.458017 -1.04812 0
1e-06 2 5.17947e-05 0.617876 -1.04812 0
1e-06 2 5.17947e-05 0.755404 -1.04812 0
1e-06 2 5.17947e-05 0.865631 -1.04812 0
1e-06 2 5.17947e-05 0.944575 -1.04812 0
1e-06 2 5.17947e-05 0.989401 -1.04812 0
1e-06 2 8.03086e-05 -0.989401 -1.04812 0
1e-06 2 8.03086e-05 -0.944575 -1.04812 0
1e-06 2 8.03086e-05 -0.865631 -1.04812 0
1e-06 2 8.03086e-05 -0.755404 -1.04812 0
1e-06 2 8.03086e-05 -0.617876 -1.04812 0
1e-06 2 8.03086e-05 -0.458017 -1.04812 0
1e-06 2 8.03086e-05 -0.281604 -1.04812 0
1e-06 2 8.03086e-05 -0.0950125 -1.04812 0
1e-06 2 8.03086e-05 0.0950125 -1.04812 0
1e-06 2 8.03086e-05 0.281604 -1.04812 0
1e-06 2 8.03086e-05 0.458017 -1.04812 0
1e-06 2 8.03086e-05 0.617876 -1.04812 0
1e-06 2 8.03086e-05 0.755404 -1.04812 0
1e-06 2 8.03086e-05 0.865631 -1.04812 0
1e-06 2 8.03086e-05 0.944575 -1.04812 0
1e-06 2 8.03086e-05 0.989401 -1.04812 0
1e-06 2 0.00012452 -0.989401 -1.04811 0
1e-06 2 0.00012452 -0.944575 -1.04811 0
1e-06 2 0.00012452 -0.865631 -1.04811 0
1e-06 2 0.00012452 -0.755404 -1.04811 0
1e-06 2 0.00012452 -0.617876 -1.04811 0
1e-06 2 0.00012452 -0.458017 -1.04811 0
1e-06 2 0.00012452 -0.281604 -1.04811 0
1e-06 2 0.00012452 -0.0950125 -1.04811 0
1e-06 2 0.00012452 0.0950125 -1.04811 0
1e-06 2 0.00012452 0.281604 -1.04811 0
1e-06 2 0.00012452 0.458017 -1.04811 0
1e-06 2 0.00012452 0.617876 -1.04811 0
1e-06 2 0.00012452 0.755404 -1.04811 0
1e-06 2 0.00012452 0.865631 -1.04811 0
1e-06 2 0.00012452 0.944575 -1.04811 0
1e-06 2 0.00012452 0.989401 -1.04811 0
1e-06 2 0.00019307 -0.989401 -1.04811 0
1e-06 2 0.00019307 -0.944575 -1.04811 0
1e-06 2 0.00019307 -0.865631 -1.04811 0
1e-06 2 0.00019307 -0.755404 -1.04811 0
1e-06 2 0.00019307 -0.617876 -1.04811 0
1e-06 2 0.00019307 -0.458017 -1.04811 0
1e-06 2 0.00019307 -0.281604 -1.04811 0
1e-06 2 0.00019307 -0.0950125 -1.04811 0
1e-06 2 0.00019307 0.0950125 -1.04811 0
1e-06 2 0.00019307 0.281604 -1.04811 0
1e-06 2 0.00019307 0.458017 -1.04811 0
1e-06 2 0.00019307 0.617876 -1.04811 0
1e-06 2 0.00019307 0.755404 -1.04811 0
1e-06 2 0.00019307 0.865631 -1.04811 0
1e-06 2 0.00019307 0.944575 -1.04811 0
1e-06 2 0.00019307 0.989401 -1.04811 0
1e-06 2 0.000299358 -0.989401 -1.0481 0
1e-06 2 0.000299358 -0.944575 -1.0481 0
1e-06 2 0.000299358 -0.865631 -1.0481 0
1e-06 2 0.000299358 -0.755404 -1.0481 0
1e-06 2 0.000299358 -0.617876 -1.0481 0
1e-06 2 0.000299358 -0.458017 -1.0481 0
1e-06 2 0.000299358 -0.281604 -1.0481 0
1e-06 2 0.000299358 -0.0950125 -1.0481 0
1e-06 2 0.000299358 0.0950125 -1.0481 0
1e-06 2 0.000299358 0.281604 -1.0481 0
1e-06 2 0.000299358 0.458017 -1.0481 0
1e-06 2 0.000299358 0.617876 -1.0481 0
1e-06 2 0.000299358 0.755404 -1.0481 0
1e-06 2 0.000299358 0.865631 -1.0481 0
1e-06 2 0.000299358 0.944575 -1.0481 0
1e-06 2 0.000299358 0.989401 -1.0481 0
1e-06 2 0.000464159 -0.989401 -1.04808 0
1e-06 2 0.000464159 -0.944575 -1.04808 0
1e-06 2 0.000464159 -0.865631 -1.04808 0
1e-06 2 0.000464159 -0.755404 -1.04808 0
1e-06 2 0.000464159 -0.617876 -1.04808 0
1e-06 2 0.000464159 -0.458017 -1.04808 0
1e-06 2 0.000464159 -0.281604 -1.04808 0
1e-06 2 0.000464159 -0.0950125 -1.04808 0
1e-06 2 0.000464159 0.0950125 -1.04808 0
1e-06 2 0.000464159 0.281604 -1.04808 0
1e-06 2 0.000464159 0.458017 -1.04808 0
1e-06 2 0.000464159 0.617876 -1.04808 0
1e-06 2 0.000464159 0.755404 -1.04808 0
1e-06 2 0.000464159 0.865631 -1.04808 0
1e-06 2 0.000464159 0.944575 -1.04808 0
1e-06 2 0.000464159 0.989401 -1.04808 0
1e-06 2 0.000719686 -0.989401 -1.04806 0
1e-06 2 0.000719686 -0.944575 -1.04806 0
1e-06 2 0.000719686 -0.865631 -1.04806 0
1e-06 2 0.000719686 -0.755404 -1.04806 0
1e-06 2 0.000719686 -0.617876 -1.04806 0
1e-06 2 0.000719686 -0.458017 -1.04806 0
1e-06 2 0.000719686 -0.281604 -1.04806 0
1e-06 2 0.000719686 -0.0950125 -1.04806 0
1e-06 2 0.000719686 0.0950125 -1.04806 0
1e-06 2 0.000719686 0.281604 -1.04806 0
1e-06 2 0.000719686 0.458017 -1.04806 0
1e-06 2 0.000719686 0.617876 -1.04806 0
1e-06 2 0.000719686 0.755404 -1.04806 0
1e-06 2 0.000719686 0.865631 -1.04806 0
1e-06 2 0.000719686 0.944575 -1.04806 0
1e-06 2 0.000719686 0.989401 -1.04806 0
1e-06 2 0.00111588 -0.989401 -1.04802 0
1e-06 2 0.00111588 -0.944575 -1.04802 0
1e-06 2 0.00111588 -0.865631 -1.04802 0
1e-06 2 0.00111588 -0.755404 -1.04802 0
1e-06 2 0.00111588 -0.617876 -1.04802 0
1e-06 2 0.00111588 -0.458017 -1.04802 0
1e-06 2 0.00111588 -0.281604 -1.04802 0
1e-06 2 0.00111588 -0.0950125 -1.04802 0
1e-06 2 0.00111588 0.0950125 -1.04802 0
1e-06 2 0.00111588 0.281604 -1.04802 0
1e-06 2 0.00111588 0.458017 -1.04802 0
1e-06 2 0.00111588 0.617876 -1.04802 0
1e-06 2 0.00111588 0.755404 -1.04802 0
1e-06 2 0.00111588 0.865631 -1.04802 0
1e-06 2 0.00111588 0.944575 -1.04802 0
1e-06 2 0.00111588 0.989401 -1.04802 0
1e-06 2 0.0017302 -0.989401 -1.04795 0
1e-06 2 0.0017302 -0.944575 -1.04795 0
1e-06 2 0.0017302 -0.865631 -1.04795 0
1e-06 2 0.0017302 -0.755404 -1.04795 0
1e-06 2 0.0017302 -0.617876 -1.04795 0
1e-06 2 0.0017302 -0.458017 -1.04795 0
1e-06 2 0.0017302 -0.281604 -1.04795 0
1e-06 2 0.0017302 -0.0950125 -1.04795 0
1e-06 2 0.0017302 0.0950125 -1.04795 0
1e-06 2 0.0017302 0.281604 -1.04795 0
1e-06 2 0.0017302 0.458017 -1.04795 0
1e-06 2 0.0017302 0.617876 -1.04795 0
1e-06 2 0.0017302 0.755404 -1.04795 0
1e-06 2 0.0017302 0.865631 -1.04795 0
1e-06 2 0.0017302 0.944575 -1.04795 0
1e-06 2 0.0017302 0.989401 -1.04795 0
1e-06 2 0.0026827 -0.989401 -1.04784 0
1e-06 2 0.0026827 -0.944575 -1.04784 0
1e-06 2 0.0026827 -0.865631 -1.04784 0
1e-06 2 0.0026827 -0.755404 -1.04784 0
1e-06 2 0.0026827 -0.617876 -1.04784 0
1e-06 2 0.0026827 -0.458017 -1.04784 0
1e-06 2 0.0026827 -0.281604 -1.04784 0
1e-06 2 0.0026827 -0.0950125 -1.04784 0
1e-06 2 0.0026827 0.0950125 -1.04784 0
1e-06 2 0.0026827 0.281604 -1.04784 0
1e-06 2 0.0026827 0.458017 -1.04784 0
1e-06 2 0.0026827 0.617876 -1.04784 0
1e-06 2 0.0026827 0.755404 -1.04784 0
1e-06 2 0.0026827 0.865631 -1.04784 0
1e-06 2 0.0026827 0.944575 -1.04784 0
1e-06 2 0.0026827 0.989401 -1.04784 0
1e-06 2 0.00415956 -0.989401 -1.04765 0
1e-06 2 0.00415956 -0.944575 -1.04765 0
1e-06 2 0.00415956 -0.865631 -1.04765 0
1e-06 2 0.00415956 -0.755404 -1.04765 0
1e-06 2 0.00415956 -0.617876 -1.04765 0
1e-06 2 0.00415956 -0.458017 -1.04765 0
1e-06 2 0.00415956 -0.281604 -1.04765 0
1e-06 2 0.00415956 -0.0950125 -1.04765 0
1e-06 2 0.00415956 0.0950125 -1.04765 0
1e-06 2 0.00415956 0.281604 -1.04765 0
1e-06 2 0.00415956 0.458017 -1.04765 0
1e-06 2 0.00415956 0.617876 -1.04765 0
1e-06 2 0.00415956 0.755404 -1.04765 0
1e-06 2 0.00415956 0.865631 -1.04765 0
1e-06 2 0.00415956 0.944575 -1.04765 0
1e-06 2 0.00415956 0.989401 -1.04765 0
1e-06 2 0.00644947 -0.989401 -1.0473 0
1e-06 2 0.00644947 -0.944575 -1.0473 0
1e-06 2 0.00644947 -0.865631 -1.0473 0
1e-06 2 0.00644947 -0.755404 -1.0473 0
1e-06 2 0.00644947 -0.617876 -1.0473 0
1e-06 2 0.00644947 -0.458017 -1.0473 0
1e-06 2 0.00644947 -0.281604 -1.0473 0
