#q_sq i k_sq Re(w) Im(w)
1.44974e-05 1 5.77969e-06 0.20159 0
1.44974e-05 1 8.96151e-06 0.201579 0
1.44974e-05 1 1.3895e-05 0.201563 0
1.44974e-05 1 2.15443e-05 0.201537 0
1.44974e-05 1 3.34048e-05 0.201497 0
1.44974e-05 1 5.17947e-05 0.201435 0
1.44974e-05 1 8.03086e-05 0.201338 0
1.44974e-05 1 0.00012452 0.201189 0
1.44974e-05 1 0.00019307 0.200958 0
1.44974e-05 1 0.000299358 0.2006 0
1.44974e-05 1 0.000464159 0.200045 0
1.44974e-05 1 0.000719686 0.199185 0
1.44974e-05 1 0.00111588 0.197855 0
1.44974e-05 1 0.0017302 0.1958 0
1.44974e-05 1 0.0026827 0.192628 0
1.44974e-05 1 0.00415956 0.187746 0
1.44974e-05 1 0.00644947 0.180266 0
1.44974e-05 1 0.01 0.168878 0
1.44974e-05 1 0.0155052 0.151718 0
1.44974e-05 1 0.024041 0.126274 0
1.44974e-05 1 0.0372759 0.0895048 0
1.44974e-05 1 0.0577969 0.0385241 0
1.44974e-05 1 0.0896151 -0.0275367 0
1.44974e-05 1 0.13895 -0.103919 0
1.44974e-05 1 0.215443 -0.175921 0
1.44974e-05 1 0.334048 -0.2195 0
1.44974e-05 1 0.517947 -0.215626 0
1.44974e-05 1 0.803086 -0.172311 0
1.44974e-05 1 1.2452 -0.120517 0
1.44974e-05 1 1.9307 -0.0807302 0
1.44974e-05 1 2.99358 -0.0533995 0
1.44974e-05 1 4.64159 -0.0337761 0
1.44974e-05 1 7.19686 -0.0190853 0
1.44974e-05 1 11.1588 -0.00882976 0
1.44974e-05 1 17.302 -0.00314014 0
1.44974e-05 1 26.827 -0.000975137 0
1.44974e-05 1 41.5956 -0.000393341 0
1.44974e-05 1 64.4947 -0.00020294 0
1.44974e-05 1 100 -0.000109496 0
1.44974e-05 1 155.052 -5.99082e-05 0
1.44974e-05 1 240.41 -3.31778e-05 0
1.44974e-05 1 372.759 -1.85748e-05 0
1.44974e-05 1 577.969 -1.04998e-05 0
1.44974e-05 1 896.151 -5.98598e-06 0
1.44974e-05 1 1389.5 -3.4384e-06 0
1.44974e-05 1 2154.43 -1.98825e-06 0
1.44974e-05 1 3340.48 -1.15654e-06 0
1.44974e-05 1 5179.47 -6.76306e-07 0
1.44974e-05 1 8030.86 -3.97365e-07 0
1.44974e-05 1 12452 -2.34475e-07 0
1.44974e-05 1 19307 -1.38897e-07 0
1.44974e-05 1 29935.8 -8.25707e-08 0
1.44974e-05 1 46415.9 -4.92459e-08 0
1.44974e-05 1 71968.6 -2.94586e-08 0
1.44974e-05 1 111588 -1.76706e-08 0
1.44974e-05 1 173020 -1.06268e-08 0
1.44974e-05 1 268270 -6.40597e-09 0
1.44974e-05 1 415956 -3.87018e-09 0
1.44974e-05 1 644947 -2.34304e-09 0
1.44974e-05 1 1e+06 -1.42126e-09 0

3.53498e-05 1 1e-06 0.201589 0
3.53498e-05 1 1.55052e-06 0.201587 0
3.53498e-05 1 2.4041e-06 0.201584 0
3.53498e-05 1 3.72759e-06 0.201579 0
3.53498e-05 1 5.77969e-06 0.201572 0
3.53498e-05 1 8.96151e-06 0.201562 0
3.53498e-05 1 1.3895e-05 0.201545 0
3.53498e-05 1 2.15443e-05 0.201519 0
3.53498e-05 1 3.34048e-05 0.201479 0
3.53498e-05 1 5.17947e-05 0.201417 0
3.53498e-05 1 8.03086e-05 0.201321 0
3.53498e-05 1 0.00012452 0.201172 0
3.53498e-05 1 0.00019307 0.200941 0
3.53498e-05 1 0.000299358 0.200582 0
3.53498e-05 1 0.000464159 0.200027 0
3.53498e-05 1 0.000719686 0.199168 0
3.53498e-05 1 0.00111588 0.197838 0
3.53498e-05 1 0.0017302 0.195782 0
3.53498e-05 1 0.0026827 0.19261 0
3.53498e-05 1 0.00415956 0.187729 0
3.53498e-05 1 0.00644947 0.180249 0
3.53498e-05 1 0.01 0.168862 0
3.53498e-05 1 0.0155052 0.151702 0
3.53498e-05 1 0.024041 0.126258 0
3.53498e-05 1 0.0372759 0.0894909 0
3.53498e-05 1 0.0577969 0.0385121 0
3.53498e-05 1 0.0896151 -0.0275463 0
3.53498e-05 1 0.13895 -0.103925 0
3.53498e-05 1 0.215443 -0.175925 0
3.53498e-05 1 0.334048 -0.2195 0
3.53498e-05 1 0.517947 -0.215626 0
3.53498e-05 1 0.803086 -0.17231 0
3.53498e-05 1 1.2452 -0.120517 0
3.53498e-05 1 1.9307 -0.08073 0
3.53498e-05 1 2.99358 -0.0533994 0
3.53498e-05 1 4.64159 -0.033776 0
3.53498e-05 1 7.19686 -0.0190852 0
3.53498e-05 1 11.1588 -0.00882975 0
3.53498e-05 1 17.302 -0.00314014 0
3.53498e-05 1 26.827 -0.000975136 0
3.53498e-05 1 41.5956 -0.000393341 0
3.53498e-05 1 64.4947 -0.00020294 0
3.53498e-05 1 100 -0.000109496 0
3.53498e-05 1 155.052 -5.99082e-05 0
3.53498e-05 1 240.41 -3.31778e-05 0
3.53498e-05 1 372.759 -1.85748e-05 0
3.53498e-05 1 577.969 -1.04998e-05 0
3.53498e-05 1 896.151 -5.98598e-06 0
3.53498e-05 1 1389.5 -3.4384e-06 0
3.53498e-05 1 2154.43 -1.98825e-06 0
3.53498e-05 1 3340.48 -1.15654e-06 0
3.53498e-05 1 5179.47 -6.76306e-07 0
3.53498e-05 1 8030.86 -3.97365e-07 0
3.53498e-05 1 12452 -2.34475e-07 0
3.53498e-05 1 19307 -1.38897e-07 0
3.53498e-05 1 29935.8 -8.25707e-08 0
3.53498e-05 1 46415.9 -4.92459e-08 0
3.53498e-05 1 71968.6 -2.94586e-08 0
3.53498e-05 1 111588 -1.76706e-08 0
3.53498e-05 1 173020 -1.06268e-08 0
3.53498e-05 1 268270 -6.40597e-09 0
3.53498e-05 1 415956 -3.87018e-09 0
3.53498e-05 1 644947 -2.34304e-09 0
3.53498e-05 1 1e+06 -1.42126e-09 0

8.61954e-05 1 1e-06 0.201546 0
8.61954e-05 1 1.55052e-06 0.201544 0
8.61954e-05 1 2.4041e-06 0.201541 0
8.61954e-05 1 3.72759e-06 0.201536 0
8.61954e-05 1 5.77969e-06 0.201529 0
8.61954e-05 1 8.96151e-06 0.201519 0
8.61954e-05 1 1.3895e-05 0.201502 0
8.61954e-05 1 2.15443e-05 0.201476 0
8.61954e-05 1 3.34048e-05 0.201436 0
8.61954e-05 1 5.17947e-05 0.201374 0
8.61954e-05 1 8.03086e-05 0.201278 0
8.61954e-05 1 0.00012452 0.201129 0
8.61954e-05 1 0.00019307 0.200898 0
8.61954e-05 1 0.000299358 0.200539 0
8.61954e-05 1 0.000464159 0.199984 0
8.61954e-05 1 0.000719686 0.199125 0
8.61954e-05 1 0.00111588 0.197795 0
8.61954e-05 1 0.0017302 0.19574 0
8.61954e-05 1 0.0026827 0.192568 0
8.61954e-05 1 0.00415956 0.187687 0
8.61954e-05 1 0.00644947 0.180208 0
8.61954e-05 1 0.01 0.168822 0
8.61954e-05 1 0.0155052 0.151663 0
8.61954e-05 1 0.024041 0.126222 0
8.61954e-05 1 0.0372759 0.0894572 0
8.61954e-05 1 0.0577969 0.0384827 0
8.61954e-05 1 0.0896151 -0.0275697 0
8.61954e-05 1 0.13895 -0.103941 0
8.61954e-05 1 0.215443 -0.175933 0
8.61954e-05 1 0.334048 -0.219502 0
8.61954e-05 1 0.517947 -0.215624 0
8.61954e-05 1 0.803086 -0.172308 0
8.61954e-05 1 1.2452 -0.120516 0
8.61954e-05 1 1.9307 -0.0807295 0
8.61954e-05 1 2.99358 -0.0533992 0
8.61954e-05 1 4.64159 -0.0337759 0
8.61954e-05 1 7.19686 -0.0190852 0
8.61954e-05 1 11.1588 -0.00882973 0
8.61954e-05 1 17.302 -0.00314013 0
8.61954e-05 1 26.827 -0.000975135 0
8.61954e-05 1 41.5956 -0.000393341 0
8.61954e-05 1 64.4947 -0.00020294 0
8.61954e-05 1 100 -0.000109496 0
8.61954e-05 1 155.052 -5.99082e-05 0
8.61954e-05 1 240.41 -3.31778e-05 0
8.61954e-05 1 372.759 -1.85748e-05 0
8.61954e-05 1 577.969 -1.04998e-05 0
8.61954e-05 1 896.151 -5.98598e-06 0
8.61954e-05 1 1389.5 -3.4384e-06 0
8.61954e-05 1 2154.43 -1.98825e-06 0
8.61954e-05 1 3340.48 -1.15654e-06 0
8.61954e-05 1 5179.47 -6.76306e-07 0
8.61954e-05 1 8030.86 -3.97365e-07 0
8.61954e-05 1 12452 -2.34475e-07 0
8.61954e-05 1 19307 -1.38897e-07 0
8.61954e-05 1 29935.8 -8.25707e-08 0
8.61954e-05 1 46415.9 -4.92459e-08 0
8.61954e-05 1 71968.6 -2.94586e-08 0
8.61954e-05 1 111588 -1.76706e-08 0
8.61954e-05 1 173020 -1.06268e-08 0
8.61954e-05 1 268270 -6.40597e-09 0
8.61954e-05 1 415956 -3.87019e-09 0
8.61954e-05 1 644947 -2.34304e-09 0
8.61954e-05 1 1e+06 -1.42126e-09 0

0.000210175 1 1e-06 0.201441 0
0.000210175 1 1.55052e-06 0.201439 0
0.000210175 1 2.4041e-06 0.201436 0
0.000210175 1 3.72759e-06 0.201432 0
0.000210175 1 5.77969e-06 0.201425 0
0.000210175 1 8.96151e-06 0.201414 0
0.000210175 1 1.3895e-05 0.201397 0
0.000210175 1 2.15443e-05 0.201372 0
0.000210175 1 3.34048e-05 0.201332 0
0.000210175 1 5.17947e-05 0.20127 0
0.000210175 1 8.03086e-05 0.201173 0
0.000210175 1 0.00012452 0.201024 0
0.000210175 1 0.00019307 0.200793 0
0.000210175 1 0.000299358 0.200435 0
0.000210175 1 0.000464159 0.19988 0
0.000210175 1 0.000719686 0.199021 0
0.000210175 1 0.00111588 0.197691 0
0.000210175 1 0.0017302 0.195636 0
0.000210175 1 0.0026827 0.192465 0
0.000210175 1 0.00415956 0.187586 0
0.000210175 1 0.00644947 0.180108 0
0.000210175 1 0.01 0.168723 0
0.000210175 1 0.0155052 0.151568 0
0.000210175 1 0.024041 0.126132 0
0.000210175 1 0.0372759 0.0893749 0
0.000210175 1 0.0577969 0.0384111 0
0.000210175 1 0.0896151 -0.0276269 0
0.000210175 1 0.13895 -0.103981 0
0.000210175 1 0.215443 -0.175953 0
0.000210175 1 0.334048 -0.219506 0
0.000210175 1 0.517947 -0.21562 0
0.000210175 1 0.803086 -0.172304 0
0.000210175 1 1.2452 -0.120513 0
0.000210175 1 1.9307 -0.0807283 0
0.000210175 1 2.99358 -0.0533987 0
0.000210175 1 4.64159 -0.0337757 0
0.000210175 1 7.19686 -0.0190851 0
0.000210175 1 11.1588 -0.00882968 0
0.000210175 1 17.302 -0.00314012 0
0.000210175 1 26.827 -0.000975132 0
0.000210175 1 41.5956 -0.00039334 0
0.000210175 1 64.4947 -0.00020294 0
0.000210175 1 100 -0.000109496 0
0.000210175 1 155.052 -5.99082e-05 0
0.000210175 1 240.41 -3.31778e-05 0
0.000210175 1 372.759 -1.85748e-05 0
0.000210175 1 577.969 -1.04998e-05 0
0.000210175 1 896.151 -5.98598e-06 0
0.000210175 1 1389.5 -3.4384e-06 0
0.000210175 1 2154.43 -1.98825e-06 0
0.000210175 1 3340.48 -1.15654e-06 0
0.000210175 1 5179.47 -6.76306e-07 0
0.000210175 1 8030.86 -3.97365e-07 0
0.000210175 1 12452 -2.34475e-07 0
0.000210175 1 19307 -1.38897e-07 0
0.000210175 1 29935.8 -8.25707e-08 0
0.000210175 1 46415.9 -4.92459e-08 0
0.000210175 1 71968.6 -2.94586e-08 0
0.000210175 1 111588 -1.76706e-08 0
0.000210175 1 173020 -1.06268e-08 0
0.000210175 1 268270 -6.40597e-09 0
0.000210175 1 415956 -3.87018e-09 0
0.000210175 1 644947 -2.34304e-09 0
0.000210175 1 1e+06 -1.42126e-09 0

0.000512481 1 1e-06 0.201186 0
0.000512481 1 1.55052e-06 0.201184 0
0.000512481 1 2.4041e-06 0.201181 0
0.000512481 1 3.72759e-06 0.201177 0
0.000512481 1 5.77969e-06 0.20117 0
0.000512481 1 8.96151e-06 0.201159 0
0.000512481 1 1.3895e-05 0.201143 0
0.000512481 1 2.15443e-05 0.201117 0
0.000512481 1 3.34048e-05 0.201077 0
0.000512481 1 5.17947e-05 0.201015 0
0.000512481 1 8.03086e-05 0.200919 0
0.000512481 1 0.00012452 0.200769 0
0.000512481 1 0.00019307 0.200538 0
0.000512481 1 0.000299358 0.20018 0
0.000512481 1 0.000464159 0.199626 0
0.000512481 1 0.000719686 0.198767 0
0.000512481 1 0.00111588 0.197438 0
0.000512481 1 0.0017302 0.195384 0
0.000512481 1 0.0026827 0.192214 0
0.000512481 1 0.00415956 0.187337 0
0.000512481 1 0.00644947 0.179863 0
0.000512481 1 0.01 0.168484 0
0.000512481 1 0.0155052 0.151337 0
0.000512481 1 0.024041 0.125913 0
0.000512481 1 0.0372759 0.0891744 0
0.000512481 1 0.0577969 0.0382366 0
0.000512481 1 0.0896151 -0.027766 0
0.000512481 1 0.13895 -0.104076 0
0.000512481 1 0.215443 -0.176002 0
0.000512481 1 0.334048 -0.219517 0
0.000512481 1 0.517947 -0.215611 0
0.000512481 1 0.803086 -0.172293 0
0.000512481 1 1.2452 -0.120507 0
0.000512481 1 1.9307 -0.0807254 0
0.000512481 1 2.99358 -0.0533974 0
0.000512481 1 4.64159 -0.0337751 0
0.000512481 1 7.19686 -0.0190848 0
0.000512481 1 11.1588 -0.00882956 0
0.000512481 1 17.302 -0.00314008 0
0.000512481 1 26.827 -0.000975126 0
0.000512481 1 41.5956 -0.000393339 0
0.000512481 1 64.4947 -0.000202939 0
0.000512481 1 100 -0.000109496 0
0.000512481 1 155.052 -5.99082e-05 0
0.000512481 1 240.41 -3.31778e-05 0
0.000512481 1 372.759 -1.85747e-05 0
0.000512481 1 577.969 -1.04998e-05 0
0.000512481 1 896.151 -5.98598e-06 0
0.000512481 1 1389.5 -3.4384e-06 0
0.000512481 1 2154.43 -1.98825e-06 0
0.000512481 1 3340.48 -1.15654e-06 0
0.000512481 1 5179.47 -6.76306e-07 0
0.000512481 1 8030.86 -3.97365e-07 0
0.000512481 1 12452 -2.34475e-07 0
0.000512481 1 19307 -1.38897e-07 0
0.000512481 1 29935.8 -8.25707e-08 0
0.000512481 1 46415.9 -4.92459e-08 0
0.000512481 1 71968.6 -2.94586e-08 0
0.000512481 1 111588 -1.76706e-08 0
0.000512481 1 173020 -1.06268e-08 0
0.000512481 1 268270 -6.40597e-09 0
0.000512481 1 415956 -3.87018e-09 0
0.000512481 1 644947 -2.34304e-09 0
0.000512481 1 1e+06 -1.42126e-09 0

0.00124961 1 1e-06 0.200565 0
0.00124961 1 1.55052e-06 0.200563 0
0.00124961 1 2.4041e-06 0.20056 0
0.00124961 1 3.72759e-06 0.200556 0
0.00124961 1 5.77969e-06 0.200549 0
0.00124961 1 8.96151e-06 0.200538 0
0.00124961 1 1.3895e-05 0.200521 0
0.00124961 1 2.15443e-05 0.200495 0
0.00124961 1 3.34048e-05 0.200456 0
0.00124961 1 5.17947e-05 0.200394 0
0.00124961 1 8.03086e-05 0.200298 0
0.00124961 1 0.00012452 0.200149 0
0.00124961 1 0.00019307 0.199918 0
0.00124961 1 0.000299358 0.19956 0
0.00124961 1 0.000464159 0.199006 0
0.00124961 1 0.000719686 0.198149 0
0.00124961 1 0.00111588 0.196821 0
0.00124961 1 0.0017302 0.194769 0
0.00124961 1 0.0026827 0.191604 0
0.00124961 1 0.00415956 0.186732 0
0.00124961 1 0.00644947 0.179266 0
0.00124961 1 0.01 0.1679 0
0.00124961 1 0.0155052 0.150773 0
0.00124961 1 0.024041 0.12538 0
0.00124961 1 0.0372759 0.0886858 0
0.00124961 1 0.0577969 0.0378116 0
0.00124961 1 0.0896151 -0.0281051 0
0.00124961 1 0.13895 -0.104309 0
0.00124961 1 0.215443 -0.176121 0
0.00124961 1 0.334048 -0.219543 0
0.00124961 1 0.517947 -0.215588 0
0.00124961 1 0.803086 -0.172265 0
0.00124961 1 1.2452 -0.120491 0
0.00124961 1 1.9307 -0.0807184 0
0.00124961 1 2.99358 -0.0533942 0
0.00124961 1 4.64159 -0.0337735 0
0.00124961 1 7.19686 -0.0190841 0
0.00124961 1 11.1588 -0.00882927 0
0.00124961 1 17.302 -0.00314 0
0.00124961 1 26.827 -0.000975109 0
0.00124961 1 41.5956 -0.000393336 0
0.00124961 1 64.4947 -0.000202939 0
0.00124961 1 100 -0.000109496 0
0.00124961 1 155.052 -5.99081e-05 0
0.00124961 1 240.41 -3.31777e-05 0
0.00124961 1 372.759 -1.85747e-05 0
0.00124961 1 577.969 -1.04998e-05 0
0.00124961 1 896.151 -5.98598e-06 0
0.00124961 1 1389.5 -3.4384e-06 0
0.00124961 1 2154.43 -1.98825e-06 0
0.00124961 1 3340.48 -1.15654e-06 0
0.00124961 1 5179.47 -6.76306e-07 0
0.00124961 1 8030.86 -3.97365e-07 0
0.00124961 1 12452 -2.34475e-07 0
0.00124961 1 19307 -1.38897e-07 0
0.00124961 1 29935.8 -8.25707e-08 0
0.00124961 1 46415.9 -4.92459e-08 0
0.00124961 1 71968.6 -2.94586e-08 0
0.00124961 1 111588 -1.76706e-08 0
0.00124961 1 173020 -1.06268e-08 0
0.00124961 1 268270 -6.40597e-09 0
0.00124961 1 415956 -3.87018e-09 0
0.00124961 1 644947 -2.34304e-09 0
0.00124961 1 1e+06 -1.42126e-09 0

0.00304699 1 1e-06 0.199053 0
0.00304699 1 1.55052e-06 0.199051 0
0.00304699 1 2.4041e-06 0.199048 0
0.00304699 1 3.72759e-06 0.199044 0
0.00304699 1 5.77969e-06 0.199037 0
0.00304699 1 8.96151e-06 0.199026 0
0.00304699 1 1.3895e-05 0.199009 0
0.00304699 1 2.15443e-05 0.198984 0
0.00304699 1 3.34048e-05 0.198944 0
0.00304699 1 5.17947e-05 0.198882 0
0.00304699 1 8.03086e-05 0.198786 0
0.00304699 1 0.00012452 0.198638 0
0.00304699 1 0.00019307 0.198408 0
0.00304699 1 0.000299358 0.198051 0
0.00304699 1 0.000464159 0.197499 0
0.00304699 1 0.000719686 0.196643 0
0.00304699 1 0.00111588 0.19532 0
0.00304699 1 0.0017302 0.193274 0
0.00304699 1 0.0026827 0.190117 0
0.00304699 1 0.00415956 0.185259 0
0.00304699 1 0.00644947 0.177814 0
0.00304699 1 0.01 0.16648 0
0.00304699 1 0.0155052 0.149403 0
0.00304699 1 0.024041 0.124083 0
0.00304699 1 0.0372759 0.0874969 0
0.00304699 1 0.0577969 0.0367774 0
0.00304699 1 0.0896151 -0.0289301 0
0.00304699 1 0.13895 -0.104875 0
0.00304699 1 0.215443 -0.176412 0
