#q_sq i k_sq Re(fg) Im(fg)
1e-06 11 1e-06 -0.000550334 0
1e-06 11 1.55052e-06 -0.000550333 0
1e-06 11 2.4041e-06 -0.000550331 0
1e-06 11 3.72759e-06 -0.000550329 0
1e-06 11 5.77969e-06 -0.000550325 0
1e-06 11 8.96151e-06 -0.000550318 0
1e-06 11 1.3895e-05 -0.000550309 0
1e-06 11 2.15443e-05 -0.000550294 0
1e-06 11 3.34048e-05 -0.000550271 0
1e-06 11 5.17947e-05 -0.000550235 0
1e-06 11 8.03086e-05 -0.00055018 0
1e-06 11 0.00012452 -0.000550093 0
1e-06 11 0.00019307 -0.00054996 0
1e-06 11 0.000299358 -0.000549753 0
1e-06 11 0.000464159 -0.000549433 0
1e-06 11 0.000719686 -0.000548936 0
1e-06 11 0.00111588 -0.000548168 0
1e-06 11 0.0017302 -0.000546978 0
1e-06 11 0.0026827 -0.000545138 0
1e-06 11 0.00415956 -0.000542297 0
1e-06 11 0.00644947 -0.000537921 0
1e-06 11 0.01 -0.000531207 0
1e-06 11 0.0155052 -0.000520963 0
1e-06 11 0.024041 -0.00050547 0
1e-06 11 0.0372759 -0.000482357 0
1e-06 11 0.0577969 -0.000448616 0
1e-06 11 0.0896151 -0.000400953 0
1e-06 11 0.13895 -0.000337003 0
1e-06 11 0.215443 -0.000257871 0
1e-06 11 0.334048 -0.000171245 0
1e-06 11 0.517947 -9.24607e-05 0
1e-06 11 0.803086 -3.75314e-05 0
1e-06 11 1.2452 -1.01016e-05 0
1e-06 11 1.9307 -1.37534e-06 0
1e-06 11 2.99358 -3.04185e-07 0
1e-06 11 4.64159 -5.35998e-08 0
1e-06 11 7.19686 -1.59391e-08 0
1e-06 11 11.1588 -4.52427e-09 0
1e-06 11 17.302 -1.02624e-09 0
1e-06 11 26.827 -2.54723e-10 0
1e-06 11 41.5956 -7.02849e-11 0
1e-06 11 64.4947 -1.96181e-11 0
1e-06 11 100 -5.54443e-12 0
1e-06 11 155.052 -1.63857e-12 0
1e-06 11 240.41 -4.8892e-13 0
1e-06 11 372.759 -1.45847e-13 0
1e-06 11 577.969 -4.54435e-14 0
1e-06 11 896.151 -1.4845e-14 0
1e-06 11 1389.5 -4.79257e-15 0
1e-06 11 2154.43 -1.56854e-15 0
1e-06 11 3340.48 -5.27397e-16 0
1e-06 11 5179.47 -1.7931e-16 0
1e-06 11 8030.86 -6.07059e-17 0
1e-06 11 12452 -1.98348e-17 0
1e-06 11 19307 -6.29077e-18 0
1e-06 11 29935.8 -1.9429e-18 0
1e-06 11 46415.9 -5.77531e-19 0
1e-06 11 71968.6 -1.65139e-19 0
1e-06 11 111588 -4.64579e-20 0
1e-06 11 173020 -1.23532e-20 0
1e-06 11 268270 -3.30808e-21 0
1e-06 11 415956 -8.74332e-22 0
1e-06 11 644947 -2.20833e-22 0
1e-06 11 1e+06 -3.72621e-23 0

2.43835e-06 11 1e-06 -0.000859358 0
2.43835e-06 11 1.55052e-06 -0.000859356 0
2.43835e-06 11 2.4041e-06 -0.000859354 0
2.43835e-06 11 3.72759e-06 -0.00085935 0
2.43835e-06 11 5.77969e-06 -0.000859344 0
2.43835e-06 11 8.96151e-06 -0.000859334 0
2.43835e-06 11 1.3895e-05 -0.000859319 0
2.43835e-06 11 2.15443e-05 -0.000859296 0
