#q_sq i k_sq Re(fg) Im(fg)
1e-06 2 1e-06 -0.0853966 0
1e-06 2 1.55052e-06 -0.0853962 0
1e-06 2 2.4041e-06 -0.0853955 0
1e-06 2 3.72759e-06 -0.0853944 0
1e-06 2 5.77969e-06 -0.0853928 0
1e-06 2 8.96151e-06 -0.0853902 0
1e-06 2 1.3895e-05 -0.0853862 0
1e-06 2 2.15443e-05 -0.08538 0
1e-06 2 3.34048e-05 -0.0853704 0
1e-06 2 5.17947e-05 -0.0853555 0
1e-06 2 8.03086e-05 -0.0853325 0
1e-06 2 0.00012452 -0.0852968 0
1e-06 2 0.00019307 -0.0852414 0
1e-06 2 0.000299358 -0.0851555 0
1e-06 2 0.000464159 -0.0850225 0
1e-06 2 0.000719686 -0.0848165 0
1e-06 2 0.00111588 -0.0844977 0
1e-06 2 0.0017302 -0.0840047 0
1e-06 2 0.0026827 -0.0832436 0
1e-06 2 0.00415956 -0.0820713 0
1e-06 2 0.00644947 -0.0802724 0
1e-06 2 0.01 -0.0775275 0
1e-06 2 0.0155052 -0.0733766 0
1e-06 2 0.024041 -0.0671857 0
1e-06 2 0.0372759 -0.058151 0
1e-06 2 0.0577969 -0.0454131 0
1e-06 2 0.0896151 -0.028408 0
1e-06 2 0.13895 -0.00764896 0
1e-06 2 0.215443 0.0140835 0
1e-06 2 0.334048 0.0310079 0
1e-06 2 0.517947 0.0362357 0
1e-06 2 0.803086 0.0281623 0
1e-06 2 1.2452 0.0150367 0
1e-06 2 1.9307 0.00602303 0
1e-06 2 2.99358 0.00225181 0
1e-06 2 4.64159 0.00122086 0
1e-06 2 7.19686 0.000740609 0
1e-06 2 11.1588 0.000462718 0
1e-06 2 17.302 0.000290063 0
1e-06 2 26.827 0.000180623 0
1e-06 2 41.5956 0.000112159 0
1e-06 2 64.4947 6.97401e-05 0
1e-06 2 100 4.33556e-05 0
1e-06 2 155.052 2.69338e-05 0
1e-06 2 240.41 1.67504e-05 0
1e-06 2 372.759 1.04224e-05 0
1e-06 2 577.969 6.47568e-06 0
1e-06 2 896.151 4.01646e-06 0
1e-06 2 1389.5 2.4858e-06 0
1e-06 2 2154.43 1.53018e-06 0
1e-06 2 3340.48 9.33707e-07 0
1e-06 2 5179.47 5.62434e-07 0
1e-06 2 8030.86 3.32539e-07 0
1e-06 2 12452 1.91615e-07 0
1e-06 2 19307 1.06715e-07 0
1e-06 2 29935.8 5.70197e-08 0
1e-06 2 46415.9 2.90926e-08 0
1e-06 2 71968.6 1.4162e-08 0
1e-06 2 111588 6.59925e-09 0
1e-06 2 173020 2.9637e-09 0
1e-06 2 268270 1.29229e-09 0
1e-06 2 415956 5.5141e-10 0
1e-06 2 644947 2.31738e-10 0
1e-06 2 1e+06 9.64445e-11 0

2.43835e-06 2 1e-06 -0.0853966 0
