#q_sq i k_sq z Re(fg) Im(fg)
1e-06 5 1e-06 -0.989401 -7.90672e+11 -0
1e-06 5 1e-06 -0.944575 -1.54688e+11 -0
1e-06 5 1e-06 -0.865631 -6.65062e+10 -0
1e-06 5 1e-06 -0.755404 -3.88294e+10 -0
1e-06 5 1e-06 -0.617876 -2.69673e+10 -0
1e-06 5 1e-06 -0.458017 -2.10978e+10 -0
1e-06 5 1e-06 -0.281604 -1.81079e+10 -0
1e-06 5 1e-06 -0.0950125 -1.68238e+10 -0
1e-06 5 1e-06 0.0950125 -1.68238e+10 -0
1e-06 5 1e-06 0.281604 -1.81079e+10 -0
1e-06 5 1e-06 0.458017 -2.10978e+10 -0
1e-06 5 1e-06 0.617876 -2.69673e+10 -0
1e-06 5 1e-06 0.755404 -3.88294e+10 -0
1e-06 5 1e-06 0.865631 -6.65062e+10 -0
1e-06 5 1e-06 0.944575 -1.54688e+11 -0
1e-06 5 1e-06 0.989401 -7.90672e+11 -0
1e-06 5 1.55052e-06 -0.989401 -5.09941e+11 -0
1e-06 5 1.55052e-06 -0.944575 -9.97652e+10 -0
1e-06 5 1.55052e-06 -0.865631 -4.28929e+10 -0
1e-06 5 1.55052e-06 -0.755404 -2.50429e+10 -0
1e-06 5 1.55052e-06 -0.617876 -1.73924e+10 -0
1e-06 5 1.55052e-06 -0.458017 -1.3607e+10 -0
1e-06 5 1.55052e-06 -0.281604 -1.16786e+10 -0
1e-06 5 1.55052e-06 -0.0950125 -1.08505e+10 -0
1e-06 5 1.55052e-06 0.0950125 -1.08505e+10 -0
1e-06 5 1.55052e-06 0.281604 -1.16786e+10 -0
1e-06 5 1.55052e-06 0.458017 -1.3607e+10 -0
1e-06 5 1.55052e-06 0.617876 -1.73924e+10 -0
1e-06 5 1.55052e-06 0.755404 -2.50429e+10 -0
1e-06 5 1.55052e-06 0.865631 -4.28929e+10 -0
1e-06 5 1.55052e-06 0.944575 -9.97652e+10 -0
1e-06 5 1.55052e-06 0.989401 -5.09941e+11 -0
1e-06 5 2.4041e-06 -0.989401 -3.28884e+11 -0
1e-06 5 2.4041e-06 -0.944575 -6.43432e+10 -0
1e-06 5 2.4041e-06 -0.865631 -2.76636e+10 -0
1e-06 5 2.4041e-06 -0.755404 -1.61513e+10 -0
1e-06 5 2.4041e-06 -0.617876 -1.12172e+10 -0
1e-06 5 2.4041e-06 -0.458017 -8.77576e+09 -0
1e-06 5 2.4041e-06 -0.281604 -7.53209e+09 -0
1e-06 5 2.4041e-06 -0.0950125 -6.99797e+09 -0
1e-06 5 2.4041e-06 0.0950125 -6.99797e+09 -0
1e-06 5 2.4041e-06 0.281604 -7.53209e+09 -0
