#q_sq i k_sq z Re(fg) Im(fg)
1e-06 11 1e-06 -0.989401 -0.000550334 0
1e-06 11 1e-06 -0.944575 -0.000550334 0
1e-06 11 1e-06 -0.865631 -0.000550334 0
1e-06 11 1e-06 -0.755404 -0.000550334 0
1e-06 11 1e-06 -0.617876 -0.000550334 0
1e-06 11 1e-06 -0.458017 -0.000550334 0
1e-06 11 1e-06 -0.281604 -0.000550334 0
1e-06 11 1e-06 -0.0950125 -0.000550334 0
1e-06 11 1e-06 0.0950125 -0.000550334 0
1e-06 11 1e-06 0.281604 -0.000550334 0
1e-06 11 1e-06 0.458017 -0.000550334 0
1e-06 11 1e-06 0.617876 -0.000550334 0
1e-06 11 1e-06 0.755404 -0.000550334 0
1e-06 11 1e-06 0.865631 -0.000550334 0
1e-06 11 1e-06 0.944575 -0.000550334 0
1e-06 11 1e-06 0.989401 -0.000550334 0
1e-06 11 1.55052e-06 -0.989401 -0.000550333 0
1e-06 11 1.55052e-06 -0.944575 -0.000550333 0
1e-06 11 1.55052e-06 -0.865631 -0.000550333 0
1e-06 11 1.55052e-06 -0.755404 -0.000550333 0
1e-06 11 1.55052e-06 -0.617876 -0.000550333 0
1e-06 11 1.55052e-06 -0.458017 -0.000550333 0
1e-06 11 1.55052e-06 -0.281604 -0.000550333 0
1e-06 11 1.55052e-06 -0.0950125 -0.000550333 0
1e-06 11 1.55052e-06 0.0950125 -0.000550333 0
1e-06 11 1.55052e-06 0.281604 -0.000550333 0
1e-06 11 1.55052e-06 0.458017 -0.000550333 0
1e-06 11 1.55052e-06 0.617876 -0.000550333 0
1e-06 11 1.55052e-06 0.755404 -0.000550333 0
1e-06 11 1.55052e-06 0.865631 -0.000550333 0
1e-06 11 1.55052e-06 0.944575 -0.000550333 0
1e-06 11 1.55052e-06 0.989401 -0.000550333 0
1e-06 11 2.4041e-06 -0.989401 -0.000550331 0
1e-06 11 2.4041e-06 -0.944575 -0.000550331 0
1e-06 11 2.4041e-06 -0.865631 -0.000550331 0
1e-06 11 2.4041e-06 -0.755404 -0.000550331 0
1e-06 11 2.4041e-06 -0.617876 -0.000550331 0
1e-06 11 2.4041e-06 -0.458017 -0.000550331 0
1e-06 11 2.4041e-06 -0.281604 -0.000550331 0
1e-06 11 2.4041e-06 -0.0950125 -0.000550331 0
1e-06 11 2.4041e-06 0.0950125 -0.000550331 0
1e-06 11 2.4041e-06 0.281604 -0.000550331 0
1e-06 11 2.4041e-06 0.458017 -0.000550331 0
1e-06 11 2.4041e-06 0.617876 -0.000550331 0
1e-06 11 2.4041e-06 0.755404 -0.000550331 0
1e-06 11 2.4041e-06 0.865631 -0.000550331 0
1e-06 11 2.4041e-06 0.944575 -0.000550331 0
1e-06 11 2.4041e-06 0.989401 -0.000550331 0
1e-06 11 3.72759e-06 -0.989401 -0.000550329 0
1e-06 11 3.72759e-06 -0.944575 -0.000550329 0
1e-06 11 3.72759e-06 -0.865631 -0.000550329 0
1e-06 11 3.72759e-06 -0.755404 -0.000550329 0
1e-06 11 3.72759e-06 -0.617876 -0.000550329 0
1e-06 11 3.72759e-06 -0.458017 -0.000550329 0
1e-06 11 3.72759e-06 -0.281604 -0.000550329 0
1e-06 11 3.72759e-06 -0.0950125 -0.000550329 0
1e-06 11 3.72759e-06 0.0950125 -0.000550329 0
1e-06 11 3.72759e-06 0.281604 -0.000550329 0
1e-06 11 3.72759e-06 0.458017 -0.000550329 0
1e-06 11 3.72759e-06 0.617876 -0.000550329 0
1e-06 11 3.72759e-06 0.755404 -0.000550329 0
1e-06 11 3.72759e-06 0.865631 -0.000550329 0
1e-06 11 3.72759e-06 0.944575 -0.000550329 0
1e-06 11 3.72759e-06 0.989401 -0.000550329 0
1e-06 11 5.77969e-06 -0.989401 -0.000550325 0
1e-06 11 5.77969e-06 -0.944575 -0.000550325 0
1e-06 11 5.77969e-06 -0.865631 -0.000550325 0
1e-06 11 5.77969e-06 -0.755404 -0.000550325 0
1e-06 11 5.77969e-06 -0.617876 -0.000550325 0
1e-06 11 5.77969e-06 -0.458017 -0.000550325 0
1e-06 11 5.77969e-06 -0.281604 -0.000550325 0
1e-06 11 5.77969e-06 -0.0950125 -0.000550325 0
1e-06 11 5.77969e-06 0.0950125 -0.000550325 0
1e-06 11 5.77969e-06 0.281604 -0.000550325 0
1e-06 11 5.77969e-06 0.458017 -0.000550325 0
1e-06 11 5.77969e-06 0.617876 -0.000550325 0
1e-06 11 5.77969e-06 0.755404 -0.000550325 0
1e-06 11 5.77969e-06 0.865631 -0.000550325 0
1e-06 11 5.77969e-06 0.944575 -0.000550325 0
1e-06 11 5.77969e-06 0.989401 -0.000550325 0
1e-06 11 8.96151e-06 -0.989401 -0.000550319 0
1e-06 11 8.96151e-06 -0.944575 -0.000550319 0
1e-06 11 8.96151e-06 -0.865631 -0.000550319 0
1e-06 11 8.96151e-06 -0.755404 -0.000550319 0
1e-06 11 8.96151e-06 -0.617876 -0.000550319 0
1e-06 11 8.96151e-06 -0.458017 -0.000550318 0
1e-06 11 8.96151e-06 -0.281604 -0.000550318 0
1e-06 11 8.96151e-06 -0.0950125 -0.000550318 0
1e-06 11 8.96151e-06 0.0950125 -0.000550318 0
1e-06 11 8.96151e-06 0.281604 -0.000550318 0
1e-06 11 8.96151e-06 0.458017 -0.000550318 0
1e-06 11 8.96151e-06 0.617876 -0.000550319 0
1e-06 11 8.96151e-06 0.755404 -0.000550319 0
1e-06 11 8.96151e-06 0.865631 -0.000550319 0
1e-06 11 8.96151e-06 0.944575 -0.000550319 0
1e-06 11 8.96151e-06 0.989401 -0.000550319 0
1e-06 11 1.3895e-05 -0.989401 -0.000550309 0
1e-06 11 1.3895e-05 -0.944575 -0.000550309 0
1e-06 11 1.3895e-05 -0.865631 -0.000550309 0
1e-06 11 1.3895e-05 -0.755404 -0.000550309 0
1e-06 11 1.3895e-05 -0.617876 -0.000550309 0
1e-06 11 1.3895e-05 -0.458017 -0.000550309 0
1e-06 11 1.3895e-05 -0.281604 -0.000550309 0
1e-06 11 1.3895e-05 -0.0950125 -0.000550309 0
1e-06 11 1.3895e-05 0.0950125 -0.000550309 0
1e-06 11 1.3895e-05 0.281604 -0.000550309 0
1e-06 11 1.3895e-05 0.458017 -0.000550309 0
1e-06 11 1.3895e-05 0.617876 -0.000550309 0
1e-06 11 1.3895e-05 0.755404 -0.000550309 0
1e-06 11 1.3895e-05 0.865631 -0.000550309 0
1e-06 11 1.3895e-05 0.944575 -0.000550309 0
1e-06 11 1.3895e-05 0.989401 -0.000550309 0
1e-06 11 2.15443e-05 -0.989401 -0.000550295 0
1e-06 11 2.15443e-05 -0.944575 -0.000550294 0
1e-06 11 2.15443e-05 -0.865631 -0.000550294 0
1e-06 11 2.15443e-05 -0.755404 -0.000550294 0
1e-06 11 2.15443e-05 -0.617876 -0.000550294 0
1e-06 11 2.15443e-05 -0.458017 -0.000550294 0
1e-06 11 2.15443e-05 -0.281604 -0.000550294 0
