#q_sq i k_sq Re(w) Im(w)
5.94557e-06 0 0.01 1.59466 0
5.94557e-06 0 0.0155052 1.59554 0
5.94557e-06 0 0.024041 1.59673 0
5.94557e-06 0 0.0372759 1.59815 0
5.94557e-06 0 0.0577969 1.59945 0
5.94557e-06 0 0.0896151 1.59959 0
5.94557e-06 0 0.13895 1.59623 0
5.94557e-06 0 0.215443 1.58523 0
5.94557e-06 0 0.334048 1.56118 0
5.94557e-06 0 0.517947 1.52044 0
5.94557e-06 0 0.803086 1.46499 0
5.94557e-06 0 1.2452 1.40133 0
5.94557e-06 0 1.9307 1.33417 0
5.94557e-06 0 2.99358 1.26482 0
5.94557e-06 0 4.64159 1.19496 0
5.94557e-06 0 7.19686 1.12972 0
5.94557e-06 0 11.1588 1.07741 0
5.94557e-06 0 17.302 1.04413 0
5.94557e-06 0 26.827 1.02729 0
5.94557e-06 0 41.5956 1.01842 0
5.94557e-06 0 64.4947 1.01204 0
5.94557e-06 0 100 1.00679 0
5.94557e-06 0 155.052 1.00237 0
5.94557e-06 0 240.41 0.998592 0
5.94557e-06 0 372.759 0.995333 0
5.94557e-06 0 577.969 0.99249 0
5.94557e-06 0 896.151 0.989988 0
5.94557e-06 0 1389.5 0.987768 0
5.94557e-06 0 2154.43 0.985783 0
5.94557e-06 0 3340.48 0.983999 0
5.94557e-06 0 5179.47 0.982386 0
5.94557e-06 0 8030.86 0.98092 0
5.94557e-06 0 12452 0.979581 0
5.94557e-06 0 19307 0.978354 0
5.94557e-06 0 29935.8 0.977224 0
5.94557e-06 0 46415.9 0.976182 0
5.94557e-06 0 71968.6 0.975216 0
5.94557e-06 0 111588 0.97432 0
5.94557e-06 0 173020 0.973485 0
5.94557e-06 0 268270 0.972705 0
5.94557e-06 0 415956 0.971975 0
5.94557e-06 0 644947 0.971291 0
5.94557e-06 0 1e+06 0.970649 0

1.44974e-05 0 1e-06 1.59281 0
1.44974e-05 0 1.55052e-06 1.59281 0
1.44974e-05 0 2.4041e-06 1.59281 0
