#q_sq i k_sq z Re(w) Im(w)
1e-06 1 2.15443e-05 -0.617876 0.201548 0
1e-06 1 2.15443e-05 -0.458017 0.201548 0
1e-06 1 2.15443e-05 -0.281604 0.201548 0
1e-06 1 2.15443e-05 -0.0950125 0.201548 0
1e-06 1 2.15443e-05 0.0950125 0.201548 0
1e-06 1 2.15443e-05 0.281604 0.201548 0
1e-06 1 2.15443e-05 0.458017 0.201548 0
1e-06 1 2.15443e-05 0.617876 0.201548 0
1e-06 1 2.15443e-05 0.755404 0.201548 0
1e-06 1 2.15443e-05 0.865631 0.201548 0
1e-06 1 2.15443e-05 0.944575 0.201548 0
1e-06 1 2.15443e-05 0.989401 0.201548 0
1e-06 1 3.34048e-05 -0.989401 0.201508 0
1e-06 1 3.34048e-05 -0.944575 0.201508 0
1e-06 1 3.34048e-05 -0.865631 0.201508 0
1e-06 1 3.34048e-05 -0.755404 0.201508 0
1e-06 1 3.34048e-05 -0.617876 0.201508 0
1e-06 1 3.34048e-05 -0.458017 0.201508 0
1e-06 1 3.34048e-05 -0.281604 0.201508 0
1e-06 1 3.34048e-05 -0.0950125 0.201508 0
1e-06 1 3.34048e-05 0.0950125 0.201508 0
1e-06 1 3.34048e-05 0.281604 0.201508 0
1e-06 1 3.34048e-05 0.458017 0.201508 0
1e-06 1 3.34048e-05 0.617876 0.201508 0
1e-06 1 3.34048e-05 0.755404 0.201508 0
1e-06 1 3.34048e-05 0.865631 0.201508 0
1e-06 1 3.34048e-05 0.944575 0.201508 0
1e-06 1 3.34048e-05 0.989401 0.201508 0
1e-06 1 5.17947e-05 -0.989401 0.201446 0
1e-06 1 5.17947e-05 -0.944575 0.201446 0
1e-06 1 5.17947e-05 -0.865631 0.201446 0
1e-06 1 5.17947e-05 -0.755404 0.201446 0
1e-06 1 5.17947e-05 -0.617876 0.201446 0
1e-06 1 5.17947e-05 -0.458017 0.201446 0
1e-06 1 5.17947e-05 -0.281604 0.201446 0
1e-06 1 5.17947e-05 -0.0950125 0.201446 0
1e-06 1 5.17947e-05 0.0950125 0.201446 0
1e-06 1 5.17947e-05 0.281604 0.201446 0
1e-06 1 5.17947e-05 0.458017 0.201446 0
1e-06 1 5.17947e-05 0.617876 0.201446 0
1e-06 1 5.17947e-05 0.755404 0.201446 0
1e-06 1 5.17947e-05 0.865631 0.201446 0
1e-06 1 5.17947e-05 0.944575 0.201446 0
1e-06 1 5.17947e-05 0.989401 0.201446 0
1e-06 1 8.03086e-05 -0.989401 0.20135 0
1e-06 1 8.03086e-05 -0.944575 0.20135 0
1e-06 1 8.03086e-05 -0.865631 0.20135 0
1e-06 1 8.03086e-05 -0.755404 0.20135 0
1e-06 1 8.03086e-05 -0.617876 0.20135 0
1e-06 1 8.03086e-05 -0.458017 0.20135 0
1e-06 1 8.03086e-05 -0.281604 0.20135 0
1e-06 1 8.03086e-05 -0.0950125 0.20135 0
1e-06 1 8.03086e-05 0.0950125 0.20135 0
1e-06 1 8.03086e-05 0.281604 0.20135 0
